project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
2024,20251229_103113,1be89237a822e0951d1a0c75d06de27e3a854cf0,1724400151,same. did not work as intended,original,0,0,0,0,0,2,0.72,x,original,0.0,0.0,1.0796847343444824,0.0,1.0796847343444824,,,,,,,,,,
2024,20251229_103113,1be89237a822e0951d1a0c75d06de27e3a854cf0,1724400151,same. did not work as intended,pymop,0,0,0,0,0,2,0.69,x,pymop,0.27213072776794434,0.48140382766723633,2.453596353530884,0.0,3.2071309089660645,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,46,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,323,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
2024,20251229_103113,1be89237a822e0951d1a0c75d06de27e3a854cf0,1724400151,same. did not work as intended,dylin,6,0,0,0,0,0,4.36,x,dylin,8.786138772964478,0.0,5.891753435134888,0.34703731536865234,15.024929523468018,0,,0,,,,,,,
2024,20251229_103113,009cffb27ed6d21fbcdebca3e6bd9a352864edcd,1724400320,N,original,0,0,0,0,0,2,0.70,x,original,0.0,0.0,1.061056137084961,0.0,1.061056137084961,,,,,,,,,,
2024,20251229_103113,009cffb27ed6d21fbcdebca3e6bd9a352864edcd,1724400320,N,pymop,0,0,0,0,0,2,0.68,x,pymop,0.2912461757659912,0.5191917419433594,2.3792221546173096,0.0,3.18966007232666,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,46,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,323,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
2024,20251229_103113,009cffb27ed6d21fbcdebca3e6bd9a352864edcd,1724400320,N,dylin,6,0,0,0,0,0,4.30,x,dylin,8.339062213897705,0.0,5.856537103652954,0.42734265327453613,14.622941970825195,0,,0,,,,,,,
2024,20251229_103113,bdce5648a9b02a1e9407f4374442ed369a6012a0,1724401418,shows progress bar for pacs.protosonline.in,original,0,0,0,0,0,2,0.69,x,original,0.0,0.0,1.0426859855651855,0.0,1.0426859855651855,,,,,,,,,,
2024,20251229_103113,bdce5648a9b02a1e9407f4374442ed369a6012a0,1724401418,shows progress bar for pacs.protosonline.in,pymop,0,0,0,0,0,2,0.70,x,pymop,0.33095622062683105,0.5285377502441406,2.4797298908233643,0.0,3.339223861694336,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,46,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,323,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
2024,20251229_103113,bdce5648a9b02a1e9407f4374442ed369a6012a0,1724401418,shows progress bar for pacs.protosonline.in,dylin,6,0,0,0,0,0,4.23,x,dylin,9.070765733718872,0.0,5.748939514160156,0.37316226959228516,15.192867517471313,0,,0,,,,,,,
2024,20251229_103113,296e725b37a7fde73c72af72a41b03f197067413,1724409692,latest,original,0,0,0,0,0,2,0.68,x,original,0.0,0.0,1.0212609767913818,0.0,1.0212609767913818,,,,,,,,,,
