project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
Hamster-code-generator,20251229_103324,fad3eaa12a38f0b40957fe340086c6304fddd1df,1723656394,Added app to get keys,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3729567527770996,0.0,0.3729567527770996,,,,,,,,,,
Hamster-code-generator,20251229_103324,fad3eaa12a38f0b40957fe340086c6304fddd1df,1723656394,Added app to get keys,pymop,x,x,x,x,x,x,x,x,pymop,0.17077040672302246,0.5890064239501953,2.061795949935913,0.0,2.821572780609131,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,fad3eaa12a38f0b40957fe340086c6304fddd1df,1723656394,Added app to get keys,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,3943ee4d391c6b66a7aad63f2d83a32c2674c27c,1723825478,Create a bot with a language option,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3787562847137451,0.0,0.3787562847137451,,,,,,,,,,
Hamster-code-generator,20251229_103324,3943ee4d391c6b66a7aad63f2d83a32c2674c27c,1723825478,Create a bot with a language option,pymop,x,x,x,x,x,x,x,x,pymop,0.23540449142456055,0.6355926990509033,2.063558578491211,0.0,2.934555768966675,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,3943ee4d391c6b66a7aad63f2d83a32c2674c27c,1723825478,Create a bot with a language option,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,86b0ffe4cd272dde65982816de38a00c654829e9,1723825599,Added language selection command,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3939039707183838,0.0,0.3939039707183838,,,,,,,,,,
Hamster-code-generator,20251229_103324,86b0ffe4cd272dde65982816de38a00c654829e9,1723825599,Added language selection command,pymop,x,x,x,x,x,x,x,x,pymop,0.24399304389953613,0.5770044326782227,2.0533664226531982,0.0,2.874363899230957,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,86b0ffe4cd272dde65982816de38a00c654829e9,1723825599,Added language selection command,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,98b2dda40a2924f7a780b901395627f7554f2bfa,1723825763,Created a commands list menu. Added a button for change the language,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4281497001647949,0.0,0.4281497001647949,,,,,,,,,,
Hamster-code-generator,20251229_103324,98b2dda40a2924f7a780b901395627f7554f2bfa,1723825763,Created a commands list menu. Added a button for change the language,pymop,x,x,x,x,x,x,x,x,pymop,0.20393633842468262,0.6029391288757324,2.1223433017730713,0.0,2.9292187690734863,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,98b2dda40a2924f7a780b901395627f7554f2bfa,1723825763,Created a commands list menu. Added a button for change the language,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,202b794b3434e82522542887956e0e51f04c9995,1723828628,Added image and button name output for games,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3864481449127197,0.0,0.3864481449127197,,,,,,,,,,
Hamster-code-generator,20251229_103324,202b794b3434e82522542887956e0e51f04c9995,1723828628,Added image and button name output for games,pymop,x,x,x,x,x,x,x,x,pymop,0.2521092891693115,0.6168360710144043,2.0652575492858887,0.0,2.9342029094696045,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,202b794b3434e82522542887956e0e51f04c9995,1723828628,Added image and button name output for games,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,03c06c9850d85d3227ed4dd3638a23a05e063873,1723829113,Changed the position of the buttons,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.42333531379699707,0.0,0.42333531379699707,,,,,,,,,,
Hamster-code-generator,20251229_103324,03c06c9850d85d3227ed4dd3638a23a05e063873,1723829113,Changed the position of the buttons,pymop,x,x,x,x,x,x,x,x,pymop,0.23116493225097656,0.6105451583862305,2.0536701679229736,0.0,2.8953802585601807,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,03c06c9850d85d3227ed4dd3638a23a05e063873,1723829113,Changed the position of the buttons,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,ea6260adf68d433ff56088d11063d9fe13287a47,1723830579,"Created a connection to the database, created a user table",original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3705317974090576,0.0,0.3705317974090576,,,,,,,,,,
Hamster-code-generator,20251229_103324,ea6260adf68d433ff56088d11063d9fe13287a47,1723830579,"Created a connection to the database, created a user table",pymop,x,x,x,x,x,x,x,x,pymop,0.2467665672302246,0.6202054023742676,1.974395513534546,0.0,2.841367483139038,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Hamster-code-generator,20251229_103324,ea6260adf68d433ff56088d11063d9fe13287a47,1723830579,"Created a connection to the database, created a user table",dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Hamster-code-generator,20251229_103324,254818b93c2f38a9f585f2817b65e3bd71857dd6,1723912715,Added saving info about user in database. Automatic language setting. Separate button for language change,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4188070297241211,0.0,0.4188070297241211,,,,,,,,,,
