project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
Lang2SQL,20251229_105620,1ae0242cb2d050590e46535250ca8ea5eee8f58c,1738040941,feat: Add core project structure for SQL query generation (POC),original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5590455532073975,0.0,0.5590455532073975,,,,,,,,,,
Lang2SQL,20251229_105620,1ae0242cb2d050590e46535250ca8ea5eee8f58c,1738040941,feat: Add core project structure for SQL query generation (POC),pymop,x,x,x,x,x,x,x,x,pymop,0.1742570400238037,0.618854284286499,2.414602279663086,0.0,3.2077136039733887,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Lang2SQL,20251229_105620,1ae0242cb2d050590e46535250ca8ea5eee8f58c,1738040941,feat: Add core project structure for SQL query generation (POC),dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Lang2SQL,20251229_105620,24be8bd6a8cc0294b48aa932844841bae1419071,1738046406,feat: Create Streamlit app for AutoSQL query generation,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5948166847229004,0.0,0.5948166847229004,,,,,,,,,,
Lang2SQL,20251229_105620,24be8bd6a8cc0294b48aa932844841bae1419071,1738046406,feat: Create Streamlit app for AutoSQL query generation,pymop,x,x,x,x,x,x,x,x,pymop,0.2579786777496338,0.654310941696167,2.417959451675415,0.0,3.330249071121216,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Lang2SQL,20251229_105620,24be8bd6a8cc0294b48aa932844841bae1419071,1738046406,feat: Create Streamlit app for AutoSQL query generation,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Lang2SQL,20251229_105620,f758a0fb33848570338150e2ad4a000a13684dae,1738046437,refactor: Update query maker chain system prompt with more detailed example,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.6681418418884277,0.0,0.6681418418884277,,,,,,,,,,
Lang2SQL,20251229_105620,f758a0fb33848570338150e2ad4a000a13684dae,1738046437,refactor: Update query maker chain system prompt with more detailed example,pymop,x,x,x,x,x,x,x,x,pymop,0.18831992149353027,0.6659512519836426,2.5000553131103516,0.0,3.3543264865875244,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Lang2SQL,20251229_105620,f758a0fb33848570338150e2ad4a000a13684dae,1738046437,refactor: Update query maker chain system prompt with more detailed example,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Lang2SQL,20251229_105620,b95c5f2b7dc81f88ea8ab2ac2ed2e4d18a969ef3,1738300106,chore: Clean up DataHub metadata fetcher and remove debug print,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.549353837966919,0.0,0.549353837966919,,,,,,,,,,
