project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
ON1Builder,20251229_103258,0c7f088fe69c7c0f51f16c91bc98d9131a489e48,1737531723,Initial commit of project,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38947582244873047,0.0,0.38947582244873047,,,,,,,,,,
ON1Builder,20251229_103258,0c7f088fe69c7c0f51f16c91bc98d9131a489e48,1737531723,Initial commit of project,pymop,x,x,x,x,x,x,x,x,pymop,0.1989285945892334,0.6226823329925537,3.3564083576202393,0.0,4.178019285202026,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
ON1Builder,20251229_103258,0c7f088fe69c7c0f51f16c91bc98d9131a489e48,1737531723,Initial commit of project,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
ON1Builder,20251229_103258,5e0d747bace34fca58af1290a8495b7400e9a978,1737534894,Update import statements and enhance .gitignore for better environment management,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3840763568878174,0.0,0.3840763568878174,,,,,,,,,,
ON1Builder,20251229_103258,5e0d747bace34fca58af1290a8495b7400e9a978,1737534894,Update import statements and enhance .gitignore for better environment management,pymop,x,x,x,x,x,x,x,x,pymop,0.14892864227294922,0.6083552837371826,3.016132116317749,0.0,3.773416042327881,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
ON1Builder,20251229_103258,5e0d747bace34fca58af1290a8495b7400e9a978,1737534894,Update import statements and enhance .gitignore for better environment management,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
ON1Builder,20251229_103258,65f228b274b621c5408bb31be1ac72abc539decf,1737558051,Fix import statement and update logging level in ABI_Registry class,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4134237766265869,0.0,0.4134237766265869,,,,,,,,,,
ON1Builder,20251229_103258,65f228b274b621c5408bb31be1ac72abc539decf,1737558051,Fix import statement and update logging level in ABI_Registry class,pymop,x,x,x,x,x,x,x,x,pymop,0.18031954765319824,0.6417312622070312,3.4593794345855713,0.0,4.281430244445801,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
ON1Builder,20251229_103258,65f228b274b621c5408bb31be1ac72abc539decf,1737558051,Fix import statement and update logging level in ABI_Registry class,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
ON1Builder,20251229_103258,b58c530aadaf88442ec7d95db24ee70aa2b0c09a,1737558057,Fix logger initialization and update log level in configuration.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3444364070892334,0.0,0.3444364070892334,,,,,,,,,,
