project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
PDFMathTranslate,20260208_164659,1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,1725607075,init,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4485337734222412,0.0,0.4485337734222412,,,,,,,,,,
PDFMathTranslate,20260208_164659,1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,1725607075,init,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2505795955657959,0.5137159824371338,2.0359385013580322,0.0,2.800234079360962,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
PDFMathTranslate,20260208_164659,1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,1725607075,init,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PDFMathTranslate,20260208_164659,f719b6115b9638a8d5c6789ab29caae7e163e145,1725608443,fix regex,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.37729525566101074,0.0,0.37729525566101074,,,,,,,,,,
PDFMathTranslate,20260208_164659,f719b6115b9638a8d5c6789ab29caae7e163e145,1725608443,fix regex,True,pymop,x,x,x,x,x,x,x,x,pymop,0.3246591091156006,0.5889229774475098,1.898287057876587,0.0,2.8118691444396973,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
PDFMathTranslate,20260208_164659,f719b6115b9638a8d5c6789ab29caae7e163e145,1725608443,fix regex,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PDFMathTranslate,20260208_164659,1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,1725609818,fix args,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4003276824951172,0.0,0.4003276824951172,,,,,,,,,,
PDFMathTranslate,20260208_164659,1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,1725609818,fix args,True,pymop,x,x,x,x,x,x,x,x,pymop,0.27165818214416504,0.5522031784057617,1.9992520809173584,0.0,2.823113441467285,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
PDFMathTranslate,20260208_164659,1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,1725609818,fix args,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PDFMathTranslate,20260208_164659,cc852707fd782929da0620abbc1d32470e492c98,1725611401,remove git ver,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.39932847023010254,0.0,0.39932847023010254,,,,,,,,,,
