project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
PiFinder,20251229_105905,42b31b3c58c3845b2818f82b057a40933a6ae5d2,1694420548,rolling back websocket changes,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.481356143951416,0.0,0.481356143951416,,,,,,,,,,
PiFinder,20251229_105905,42b31b3c58c3845b2818f82b057a40933a6ae5d2,1694420548,rolling back websocket changes,pymop,x,x,x,x,x,x,x,x,pymop,0.25002145767211914,0.5454671382904053,1.9817101955413818,0.0,2.7771987915039062,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
PiFinder,20251229_105905,42b31b3c58c3845b2818f82b057a40933a6ae5d2,1694420548,rolling back websocket changes,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PiFinder,20251229_105905,e179c0232829d8a4efb33f3140e478740558e852,1694442738,More comments,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.481259822845459,0.0,0.481259822845459,,,,,,,,,,
PiFinder,20251229_105905,e179c0232829d8a4efb33f3140e478740558e852,1694442738,More comments,pymop,x,x,x,x,x,x,x,x,pymop,0.23460888862609863,0.5718026161193848,2.0098068714141846,0.0,2.816218376159668,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
PiFinder,20251229_105905,e179c0232829d8a4efb33f3140e478740558e852,1694442738,More comments,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PiFinder,20251229_105905,f56a7b2ff44d343e7a59f6e6b8eddd95943d94a3,1694466935,better handling of non-existing observation db,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.48693180084228516,0.0,0.48693180084228516,,,,,,,,,,
PiFinder,20251229_105905,f56a7b2ff44d343e7a59f6e6b8eddd95943d94a3,1694466935,better handling of non-existing observation db,pymop,x,x,x,x,x,x,x,x,pymop,0.17252159118652344,0.5063567161560059,1.9281866550445557,0.0,2.607064962387085,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
PiFinder,20251229_105905,f56a7b2ff44d343e7a59f6e6b8eddd95943d94a3,1694466935,better handling of non-existing observation db,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PiFinder,20251229_105905,327f54746e5aaab5b22914ca98bd0fac62a38bf3,1694500345,screen should be in shared_state for remote ui to work,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.470564603805542,0.0,0.470564603805542,,,,,,,,,,
