project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
Update_All_MiSTer,20260217_231434,df34aec7eb043a87c4101f05cf64ceb4e9753168,1635094778,Update write_downloader_ini.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.43056273460388184,0.0,0.43056273460388184,,,,,,,,,,
Update_All_MiSTer,20260217_231434,df34aec7eb043a87c4101f05cf64ceb4e9753168,1635094778,Update write_downloader_ini.py,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2035508155822754,0.648223876953125,2.0134589672088623,0.0,2.8652336597442627,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,df34aec7eb043a87c4101f05cf64ceb4e9753168,1635094778,Update write_downloader_ini.py,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,343782808ce8b89f1b64da5f2048b3e9bc92b0c3,1635094890,Update write_downloader_ini.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.39310169219970703,0.0,0.39310169219970703,,,,,,,,,,
Update_All_MiSTer,20260217_231434,343782808ce8b89f1b64da5f2048b3e9bc92b0c3,1635094890,Update write_downloader_ini.py,True,pymop,x,x,x,x,x,x,x,x,pymop,0.20205926895141602,0.6280727386474609,2.038201332092285,0.0,2.868333339691162,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,343782808ce8b89f1b64da5f2048b3e9bc92b0c3,1635094890,Update write_downloader_ini.py,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,da0e9d97cd57c374691433426244da5f1894d1d2,1635107489,More efficient usage of the Downloader.,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.35891103744506836,0.0,0.35891103744506836,,,,,,,,,,
Update_All_MiSTer,20260217_231434,da0e9d97cd57c374691433426244da5f1894d1d2,1635107489,More efficient usage of the Downloader.,True,pymop,x,x,x,x,x,x,x,x,pymop,0.21584486961364746,0.6090807914733887,2.089503526687622,0.0,2.914429187774658,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,da0e9d97cd57c374691433426244da5f1894d1d2,1635107489,More efficient usage of the Downloader.,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,b0b20d2dd5cbaa03dbe4d2be5d120ce87d652ab5,1635719012,Update write_downloader_ini.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.40576696395874023,0.0,0.40576696395874023,,,,,,,,,,
Update_All_MiSTer,20260217_231434,b0b20d2dd5cbaa03dbe4d2be5d120ce87d652ab5,1635719012,Update write_downloader_ini.py,True,pymop,x,x,x,x,x,x,x,x,pymop,0.20422887802124023,0.6550047397613525,2.1425817012786865,0.0,3.0018153190612793,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,b0b20d2dd5cbaa03dbe4d2be5d120ce87d652ab5,1635719012,Update write_downloader_ini.py,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,7bd6b0d6e95439085136b5728516971f8e4a3680,1635838257,Moving DB to atrac17 user,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.43202853202819824,0.0,0.43202853202819824,,,,,,,,,,
Update_All_MiSTer,20260217_231434,7bd6b0d6e95439085136b5728516971f8e4a3680,1635838257,Moving DB to atrac17 user,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2053055763244629,0.6471171379089355,2.076779365539551,0.0,2.929202079772949,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,7bd6b0d6e95439085136b5728516971f8e4a3680,1635838257,Moving DB to atrac17 user,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,f6503e56e5f1e9ae96a8719a64b26a44c5f9b654,1636293798,Update write_downloader_ini.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.42035937309265137,0.0,0.42035937309265137,,,,,,,,,,
Update_All_MiSTer,20260217_231434,f6503e56e5f1e9ae96a8719a64b26a44c5f9b654,1636293798,Update write_downloader_ini.py,True,pymop,x,x,x,x,x,x,x,x,pymop,0.24030494689941406,0.6480872631072998,2.146932601928711,0.0,3.035324811935425,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,f6503e56e5f1e9ae96a8719a64b26a44c5f9b654,1636293798,Update write_downloader_ini.py,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,47212018c09a1b6fa5f7d1767503f664a822c4d9,1636295478,Adding names.txt db to downloader.,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4194798469543457,0.0,0.4194798469543457,,,,,,,,,,
Update_All_MiSTer,20260217_231434,47212018c09a1b6fa5f7d1767503f664a822c4d9,1636295478,Adding names.txt db to downloader.,True,pymop,x,x,x,x,x,x,x,x,pymop,0.21007633209228516,0.6225574016571045,2.145988702774048,0.0,2.9786224365234375,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,47212018c09a1b6fa5f7d1767503f664a822c4d9,1636295478,Adding names.txt db to downloader.,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,174bdaacbbe852d83122880c9445a74763b4c0e9,1636298573,Adding tty2oled files db for Downloader.,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.41977357864379883,0.0,0.41977357864379883,,,,,,,,,,
Update_All_MiSTer,20260217_231434,174bdaacbbe852d83122880c9445a74763b4c0e9,1636298573,Adding tty2oled files db for Downloader.,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2725651264190674,0.6417207717895508,2.109994411468506,0.0,3.024280309677124,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
Update_All_MiSTer,20260217_231434,174bdaacbbe852d83122880c9445a74763b4c0e9,1636298573,Adding tty2oled files db for Downloader.,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
Update_All_MiSTer,20260217_231434,9edfdff07edc465162cab05c3a3b84a16bc7c0e1,1636737608,MiSTer SAM database option,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.44004106521606445,0.0,0.44004106521606445,,,,,,,,,,
