project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
clickhouse-connect,20251229_104427,ed54db3ff6e0ce08ce324aeb5c20ee3f935cf841,1645216266,Minimal initial work,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3745565414428711,0.0,0.3745565414428711,,,,,,,,,,
clickhouse-connect,20251229_104427,ed54db3ff6e0ce08ce324aeb5c20ee3f935cf841,1645216266,Minimal initial work,pymop,x,x,x,x,x,x,x,x,pymop,0.24869656562805176,0.5532371997833252,2.0603253841400146,0.0,2.8622591495513916,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
clickhouse-connect,20251229_104427,ed54db3ff6e0ce08ce324aeb5c20ee3f935cf841,1645216266,Minimal initial work,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
clickhouse-connect,20251229_104427,56e36781cf9fd04ce446a86343e8dd93b59989b2,1645378794,Checkpoint for type handling,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3839249610900879,0.0,0.3839249610900879,,,,,,,,,,
clickhouse-connect,20251229_104427,56e36781cf9fd04ce446a86343e8dd93b59989b2,1645378794,Checkpoint for type handling,pymop,x,x,x,x,x,x,x,x,pymop,0.2136378288269043,0.5311496257781982,1.9025604724884033,0.0,2.647347927093506,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
clickhouse-connect,20251229_104427,56e36781cf9fd04ce446a86343e8dd93b59989b2,1645378794,Checkpoint for type handling,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
clickhouse-connect,20251229_104427,040463ffe8edbf9a001bc6b5a3aa24c89c2423bf,1645560115,Additional types and bug fixes,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.34075927734375,0.0,0.34075927734375,,,,,,,,,,
clickhouse-connect,20251229_104427,040463ffe8edbf9a001bc6b5a3aa24c89c2423bf,1645560115,Additional types and bug fixes,pymop,x,x,x,x,x,x,x,x,pymop,0.21169734001159668,0.5269880294799805,1.955305576324463,0.0,2.69399094581604,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
clickhouse-connect,20251229_104427,040463ffe8edbf9a001bc6b5a3aa24c89c2423bf,1645560115,Additional types and bug fixes,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
clickhouse-connect,20251229_104427,d2068d0c1d24ee7f5bd12375d9a5541b9878ff71,1645655774,Type rework + enums,original,0,0,0,0,0,2,0.05,x,original,0.0,0.0,0.39002346992492676,0.0,0.39002346992492676,,,,,,,,,,
