project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
data-questionnaire-agent,20251229_105824,de8e7dcfbe08255b3a9d10c036d2a559d5094aac,1695400171,First commit,original,0,0,0,0,0,3,1.25,x,original,0.0,0.0,1.7816393375396729,0.0,1.7816393375396729,,,,,,,,,,
data-questionnaire-agent,20251229_105824,de8e7dcfbe08255b3a9d10c036d2a559d5094aac,1695400171,First commit,pymop,0,0,0,0,0,3,0.86,x,pymop,0.2310497760772705,0.6348576545715332,3.070557117462158,0.0,3.936464548110962,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,49,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,de8e7dcfbe08255b3a9d10c036d2a559d5094aac,1695400171,First commit,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,5751d631293f3dc82f6d731557bc43a3cf498ef8,1695403393,Added first steps on the command line application,original,0,0,0,0,0,3,1.31,x,original,0.0,0.0,1.937635898590088,0.0,1.937635898590088,,,,,,,,,,
data-questionnaire-agent,20251229_105824,5751d631293f3dc82f6d731557bc43a3cf498ef8,1695403393,Added first steps on the command line application,pymop,0,0,0,0,0,3,0.83,x,pymop,0.19768261909484863,0.6023495197296143,2.880113124847412,0.0,3.680145263671875,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,49,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,5751d631293f3dc82f6d731557bc43a3cf498ef8,1695403393,Added first steps on the command line application,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,45dd147c39527efec0757b357e733461c3f879fe,1695463800,Added more steps to the CLI implementation,original,0,0,0,0,0,3,1.25,x,original,0.0,0.0,1.8569762706756592,0.0,1.8569762706756592,,,,,,,,,,
data-questionnaire-agent,20251229_105824,45dd147c39527efec0757b357e733461c3f879fe,1695463800,Added more steps to the CLI implementation,pymop,0,0,0,0,0,3,0.80,x,pymop,0.24385619163513184,0.6093904972076416,3.0113797187805176,0.0,3.864626407623291,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,49,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,45dd147c39527efec0757b357e733461c3f879fe,1695463800,Added more steps to the CLI implementation,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,cf614bc4285d7e9e79d534d4f71d76af191a579f,1695463944,Added further match case to cli client,original,0,0,0,0,0,3,1.39,x,original,0.0,0.0,2.021904230117798,0.0,2.021904230117798,,,,,,,,,,
data-questionnaire-agent,20251229_105824,cf614bc4285d7e9e79d534d4f71d76af191a579f,1695463944,Added further match case to cli client,pymop,0,0,0,0,0,3,0.91,x,pymop,0.22066235542297363,0.6248366832733154,3.0529561042785645,0.0,3.8984551429748535,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,49,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,cf614bc4285d7e9e79d534d4f71d76af191a579f,1695463944,Added further match case to cli client,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,805607be5b1c5577b8ef81f4dec5be5cf4949b98,1695570774,Finished CLI implementation,original,0,0,0,0,0,3,1.33,x,original,0.0,0.0,1.9551711082458496,0.0,1.9551711082458496,,,,,,,,,,
data-questionnaire-agent,20251229_105824,805607be5b1c5577b8ef81f4dec5be5cf4949b98,1695570774,Finished CLI implementation,pymop,0,0,0,0,0,3,0.89,x,pymop,0.1944873332977295,0.6532714366912842,3.0583982467651367,0.0,3.9061570167541504,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,49,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,805607be5b1c5577b8ef81f4dec5be5cf4949b98,1695570774,Finished CLI implementation,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,47e1a2e75b3c70f292e434a31c55f5741984f05c,1695807085,Added first steps for Chainlit integration,original,0,0,0,0,0,3,1.25,x,original,0.0,0.0,1.813406229019165,0.0,1.813406229019165,,,,,,,,,,
data-questionnaire-agent,20251229_105824,47e1a2e75b3c70f292e434a31c55f5741984f05c,1695807085,Added first steps for Chainlit integration,pymop,0,0,0,0,0,3,0.83,x,pymop,0.20657062530517578,0.6406283378601074,2.827828884124756,0.0,3.675027847290039,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,50,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=6<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,47e1a2e75b3c70f292e434a31c55f5741984f05c,1695807085,Added first steps for Chainlit integration,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,491c4c22dab9eae0733a04f75ff58edd91678f8f,1695895338,First full version with PDF generation.,original,0,0,0,0,0,3,1.39,x,original,0.0,0.0,1.9722621440887451,0.0,1.9722621440887451,,,,,,,,,,
data-questionnaire-agent,20251229_105824,491c4c22dab9eae0733a04f75ff58edd91678f8f,1695895338,First full version with PDF generation.,pymop,0,0,0,0,0,3,0.89,x,pymop,0.2702195644378662,0.6340792179107666,3.0591797828674316,0.0,3.9634785652160645,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,50,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=6<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,334,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
data-questionnaire-agent,20251229_105824,491c4c22dab9eae0733a04f75ff58edd91678f8f,1695895338,First full version with PDF generation.,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,2e95425ea6446fdbdf72b435542a34cab0121014,1696105645,Added mail support,original,0,0,0,0,0,4,1.52,x,original,0.0,0.0,2.0801150798797607,0.0,2.0801150798797607,,,,,,,,,,
data-questionnaire-agent,20251229_105824,2e95425ea6446fdbdf72b435542a34cab0121014,1696105645,Added mail support,pymop,0,0,0,0,0,4,1.05,x,pymop,0.21412110328674316,0.5674006938934326,3.290098190307617,0.0,4.071619987487793,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=16<>Pydocs_UselessFileOpen=9,339,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=9<>File_MustClose=close=8<>File_MustClose=end=7<>Pydocs_UselessFileOpen=open=9<>Pydocs_UselessFileOpen=write=9
data-questionnaire-agent,20251229_105824,2e95425ea6446fdbdf72b435542a34cab0121014,1696105645,Added mail support,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,67e94313e4f042a9c397431977f75fcf595a6027,1696189429,Version with dynamically large contexts,original,0,0,0,0,0,4,1.56,x,original,0.0,0.0,2.12259840965271,0.0,2.12259840965271,,,,,,,,,,
data-questionnaire-agent,20251229_105824,67e94313e4f042a9c397431977f75fcf595a6027,1696189429,Version with dynamically large contexts,pymop,0,0,0,0,0,4,1.06,x,pymop,0.21358132362365723,0.7096607685089111,3.9682226181030273,0.0,4.891464710235596,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=16<>Pydocs_UselessFileOpen=9,339,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=9<>File_MustClose=close=8<>File_MustClose=end=7<>Pydocs_UselessFileOpen=open=9<>Pydocs_UselessFileOpen=write=9
data-questionnaire-agent,20251229_105824,67e94313e4f042a9c397431977f75fcf595a6027,1696189429,Version with dynamically large contexts,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,059df8b206678a3cfd53ac43f09b294e28d235bd,1696190823,Caching the vector database,original,0,0,0,0,0,4,1.60,x,original,0.0,0.0,2.24996280670166,0.0,2.24996280670166,,,,,,,,,,
data-questionnaire-agent,20251229_105824,059df8b206678a3cfd53ac43f09b294e28d235bd,1696190823,Caching the vector database,pymop,0,0,0,0,0,4,1.15,x,pymop,0.20367789268493652,0.6367752552032471,4.150187253952026,0.0,4.99064040184021,281,KeyInList=281,4,KeyInList=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/enum.py:444=11,,52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=5<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=16<>Pydocs_UselessFileOpen=9,339,KeyInList=list_contains=281<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=9<>File_MustClose=close=8<>File_MustClose=end=7<>Pydocs_UselessFileOpen=open=9<>Pydocs_UselessFileOpen=write=9
data-questionnaire-agent,20251229_105824,059df8b206678a3cfd53ac43f09b294e28d235bd,1696190823,Caching the vector database,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
data-questionnaire-agent,20251229_105824,054bed5fad5697228d4adab8fd35d9baeedc6e0f,1696233033,Implemented caching of all LLM chains and vector store.,original,0,0,0,0,0,4,1.62,x,original,0.0,0.0,2.158784866333008,0.0,2.158784866333008,,,,,,,,,,
