project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
databricks-ai-bridge,20251229_104301,eca75b32362fa706405edb908793b09b79c5a6d0,1729144118,Create initial package structure,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4097254276275635,0.0,0.4097254276275635,,,,,,,,,,
databricks-ai-bridge,20251229_104301,eca75b32362fa706405edb908793b09b79c5a6d0,1729144118,Create initial package structure,pymop,x,x,x,x,x,x,x,x,pymop,0.2589571475982666,0.663992166519165,2.092845916748047,0.0,3.0157952308654785,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
databricks-ai-bridge,20251229_104301,eca75b32362fa706405edb908793b09b79c5a6d0,1729144118,Create initial package structure,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
databricks-ai-bridge,20251229_104301,66ce7238c5eed6cb04b0b9d3ca1d3ea5a462c01e,1729144792,Create Genie API wrapper,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4084150791168213,0.0,0.4084150791168213,,,,,,,,,,
databricks-ai-bridge,20251229_104301,66ce7238c5eed6cb04b0b9d3ca1d3ea5a462c01e,1729144792,Create Genie API wrapper,pymop,x,x,x,x,x,x,x,x,pymop,0.20672941207885742,0.6573374271392822,1.948699712753296,0.0,2.8127665519714355,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
databricks-ai-bridge,20251229_104301,66ce7238c5eed6cb04b0b9d3ca1d3ea5a462c01e,1729144792,Create Genie API wrapper,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
databricks-ai-bridge,20251229_104301,ded9ec25a38d6a4cd19b9baff3ef9d2c6fb3140e,1729145906,update tests,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.248363733291626,0.0,1.248363733291626,,,,,,,,,,
databricks-ai-bridge,20251229_104301,ded9ec25a38d6a4cd19b9baff3ef9d2c6fb3140e,1729145906,update tests,pymop,x,x,x,x,x,x,x,x,pymop,0.2162485122680664,0.6538348197937012,2.8428661823272705,0.0,3.712949514389038,373,KeyInList=373,7,KeyInList=7,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/typing.py:286=11;KeyInList:/usr/lib/python3.12/typing.py:1862=12;KeyInList:/usr/lib/python3.12/typing.py:290=14;KeyInList:/usr/lib/python3.12/enum.py:444=66,,94,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=47<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=16<>Pydocs_UselessFileOpen=9,431,KeyInList=list_contains=373<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=9<>File_MustClose=close=8<>File_MustClose=end=7<>Pydocs_UselessFileOpen=open=9<>Pydocs_UselessFileOpen=write=8<>Pydocs_UselessFileOpen=read=1
databricks-ai-bridge,20251229_104301,ded9ec25a38d6a4cd19b9baff3ef9d2c6fb3140e,1729145906,update tests,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
databricks-ai-bridge,20251229_104301,845776644954cf68a8bbdd6cbf3a8539b372fa06,1729629285,remove match,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.3644227981567383,0.0,1.3644227981567383,,,,,,,,,,
