project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
dyana,20251229_105625,cd7fd4cd3600232f812c7e4c9b52f7f77f6ed0ac,1734874422,reset,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38231515884399414,0.0,0.38231515884399414,,,,,,,,,,
dyana,20251229_105625,cd7fd4cd3600232f812c7e4c9b52f7f77f6ed0ac,1734874422,reset,pymop,x,x,x,x,x,x,x,x,pymop,0.24692893028259277,0.6296586990356445,2.0938057899475098,0.0,2.970393419265747,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,cd7fd4cd3600232f812c7e4c9b52f7f77f6ed0ac,1734874422,reset,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,d9af6701bf260d9e986a6b6272fd81270880267f,1734959765,chore: minor refactor,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.35126805305480957,0.0,0.35126805305480957,,,,,,,,,,
dyana,20251229_105625,d9af6701bf260d9e986a6b6272fd81270880267f,1734959765,chore: minor refactor,pymop,x,x,x,x,x,x,x,x,pymop,0.23819613456726074,0.6149392127990723,2.052919864654541,0.0,2.906055212020874,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,d9af6701bf260d9e986a6b6272fd81270880267f,1734959765,chore: minor refactor,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,8cacb035dd0d687eaa5e92e8fe7b23252dd0d850,1734959880,new: added platform to trace,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4311332702636719,0.0,0.4311332702636719,,,,,,,,,,
dyana,20251229_105625,8cacb035dd0d687eaa5e92e8fe7b23252dd0d850,1734959880,new: added platform to trace,pymop,x,x,x,x,x,x,x,x,pymop,0.26714658737182617,0.6894626617431641,2.195082187652588,0.0,3.151691436767578,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,8cacb035dd0d687eaa5e92e8fe7b23252dd0d850,1734959880,new: added platform to trace,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,3d0aba5ee0ab3f5cc84431c9a9b41297d9367404,1734962778,new: added platform field,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.40134143829345703,0.0,0.40134143829345703,,,,,,,,,,
dyana,20251229_105625,3d0aba5ee0ab3f5cc84431c9a9b41297d9367404,1734962778,new: added platform field,pymop,x,x,x,x,x,x,x,x,pymop,0.21494364738464355,0.6143395900726318,1.9345552921295166,0.0,2.763838529586792,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,3d0aba5ee0ab3f5cc84431c9a9b41297d9367404,1734962778,new: added platform field,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,9cfa5e1baca5b2bbc2391485366ec448b0288014,1734963420,new: reporting ram and gpu pressure in header,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38185930252075195,0.0,0.38185930252075195,,,,,,,,,,
dyana,20251229_105625,9cfa5e1baca5b2bbc2391485366ec448b0288014,1734963420,new: reporting ram and gpu pressure in header,pymop,x,x,x,x,x,x,x,x,pymop,0.23217105865478516,0.7129600048065186,1.9936761856079102,0.0,2.938807249069214,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,9cfa5e1baca5b2bbc2391485366ec448b0288014,1734963420,new: reporting ram and gpu pressure in header,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,b51ec59ba84b8297bb5d82b1b54ce70cb3d4b7af,1734965952,fix: improved tracer synchronization logic,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.36842846870422363,0.0,0.36842846870422363,,,,,,,,,,
dyana,20251229_105625,b51ec59ba84b8297bb5d82b1b54ce70cb3d4b7af,1734965952,fix: improved tracer synchronization logic,pymop,x,x,x,x,x,x,x,x,pymop,0.234816312789917,0.594473123550415,2.221480369567871,0.0,3.050769805908203,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,b51ec59ba84b8297bb5d82b1b54ce70cb3d4b7af,1734965952,fix: improved tracer synchronization logic,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,db18592d9dc3aff77d3f978f51ef82b5dc5ad39b,1734967641,misc: small fix or general refactoring i did not bother commenting,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.39282870292663574,0.0,0.39282870292663574,,,,,,,,,,
dyana,20251229_105625,db18592d9dc3aff77d3f978f51ef82b5dc5ad39b,1734967641,misc: small fix or general refactoring i did not bother commenting,pymop,x,x,x,x,x,x,x,x,pymop,0.2466275691986084,0.6517417430877686,1.9745090007781982,0.0,2.872878313064575,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,db18592d9dc3aff77d3f978f51ef82b5dc5ad39b,1734967641,misc: small fix or general refactoring i did not bother commenting,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,0f5b6951f4cd8a70e2462fc8129271d769045d57,1734970553,chore: minor refactoring around gpu usage,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.42934131622314453,0.0,0.42934131622314453,,,,,,,,,,
dyana,20251229_105625,0f5b6951f4cd8a70e2462fc8129271d769045d57,1734970553,chore: minor refactoring around gpu usage,pymop,x,x,x,x,x,x,x,x,pymop,0.3750743865966797,0.6380620002746582,2.1686995029449463,0.0,3.181835889816284,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
dyana,20251229_105625,0f5b6951f4cd8a70e2462fc8129271d769045d57,1734970553,chore: minor refactoring around gpu usage,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
dyana,20251229_105625,4003621a124b70cddd87e2d64cda956781f86ef6,1734972390,fix: do not add log messages to trace,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.45192885398864746,0.0,0.45192885398864746,,,,,,,,,,
