project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
emp-agents,20260217_231503,0d9660b99992ed286c0edba46350584d094ed8fd,1732521561,fix dynamic tools example,True,original,0,0,0,0,0,7,1.19,x,original,0.0,0.0,1.8393220901489256,0.0,1.8393220901489256,,,,,,,,,,
emp-agents,20260217_231503,0d9660b99992ed286c0edba46350584d094ed8fd,1732521561,fix dynamic tools example,True,pymop,0,0,0,0,0,7,1.08,x,pymop,0.1989095211029052,0.6969084739685059,3.2838406562805176,0.0,4.179658651351929,411.0,KeyInList=411,5.0,KeyInList=5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/typing.py:1862=22;KeyInList:/usr/lib/python3.12/enum.py:444=119,,91.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=35<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=22<>Pydocs_UselessFileOpen=12,484.0,KeyInList=list_contains=411<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=12<>File_MustClose=close=11<>File_MustClose=end=10<>Pydocs_UselessFileOpen=open=12<>Pydocs_UselessFileOpen=write=12
emp-agents,20260217_231503,0d9660b99992ed286c0edba46350584d094ed8fd,1732521561,fix dynamic tools example,True,dylin,0,0,0,0,0,7,4.95,x,dylin,15.120003938674929,0.0,6.818144083023071,0.3842630386352539,22.322411060333252,0.0,,0.0,,,,,,,
emp-agents,20260217_231503,e8e98c981ed089116c1f25e465f171d432050e0e,1733362371,impl typed message subclasses,True,original,0,0,0,0,0,7,1.14,x,original,0.0,0.0,1.7438023090362549,0.0,1.7438023090362549,,,,,,,,,,
emp-agents,20260217_231503,e8e98c981ed089116c1f25e465f171d432050e0e,1733362371,impl typed message subclasses,True,pymop,0,0,0,0,0,7,1.09,x,pymop,0.1892464160919189,0.7086679935455322,3.368081331253052,0.0,4.265995740890503,411.0,KeyInList=411,5.0,KeyInList=5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/typing.py:1862=22;KeyInList:/usr/lib/python3.12/enum.py:444=119,,92.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=36<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=22<>Pydocs_UselessFileOpen=12,484.0,KeyInList=list_contains=411<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=12<>File_MustClose=close=11<>File_MustClose=end=10<>Pydocs_UselessFileOpen=open=12<>Pydocs_UselessFileOpen=write=12
emp-agents,20260217_231503,e8e98c981ed089116c1f25e465f171d432050e0e,1733362371,impl typed message subclasses,True,dylin,0,0,0,0,0,7,5.4,x,dylin,14.250908136367798,0.0,7.313110113143921,0.3873822689056396,21.95140051841736,0.0,,0.0,,,,,,,
emp-agents,20260217_231503,59a153c8e907b9729581ffdaf268e9bbe076b0f0,1733587377,keep conversation history in sync with results,True,original,0,0,0,0,0,7,1.16,x,original,0.0,0.0,1.7857742309570312,0.0,1.7857742309570312,,,,,,,,,,
emp-agents,20260217_231503,59a153c8e907b9729581ffdaf268e9bbe076b0f0,1733587377,keep conversation history in sync with results,True,pymop,0,0,0,0,0,7,1.08,x,pymop,0.196521520614624,0.6905109882354736,3.5226519107818604,0.0,4.409684419631958,411.0,KeyInList=411,5.0,KeyInList=5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6;KeyInList:/usr/lib/python3.12/typing.py:1862=22;KeyInList:/usr/lib/python3.12/enum.py:444=119,,92.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=36<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=22<>Pydocs_UselessFileOpen=12,484.0,KeyInList=list_contains=411<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=12<>File_MustClose=close=11<>File_MustClose=end=10<>Pydocs_UselessFileOpen=open=12<>Pydocs_UselessFileOpen=write=12
emp-agents,20260217_231503,59a153c8e907b9729581ffdaf268e9bbe076b0f0,1733587377,keep conversation history in sync with results,True,dylin,0,0,0,0,0,7,5.18,x,dylin,14.014553785324097,0.0,7.089449882507324,0.4035112857818603,21.50751495361328,0.0,,0.0,,,,,,,
emp-agents,20260217_231503,c57b3687a33747bb62d2ef4ab3ac7cdbbb2d471a,1733771804,remove unnused tools attr,True,original,0,0,0,0,0,7,1.15,x,original,0.0,0.0,1.785869836807251,0.0,1.785869836807251,,,,,,,,,,
