project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
fedoo,20260217_232719,1d6ff399a136dd30f12fd18c6849b44aaa70c75e,1588847307,Add files via upload,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.35014963150024414,0.0,0.35014963150024414,,,,,,,,,,
fedoo,20260217_232719,1d6ff399a136dd30f12fd18c6849b44aaa70c75e,1588847307,Add files via upload,True,pymop,x,x,x,x,x,x,x,x,pymop,0.31091928482055664,0.5819272994995117,2.0269289016723633,0.0,2.9197754859924316,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
fedoo,20260217_232719,1d6ff399a136dd30f12fd18c6849b44aaa70c75e,1588847307,Add files via upload,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
fedoo,20260217_232719,34b7f774a23a733a4e55cf5bfd88837a11ac8394,1588853690,Suppression d'un exemple,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.35694146156311035,0.0,0.35694146156311035,,,,,,,,,,
fedoo,20260217_232719,34b7f774a23a733a4e55cf5bfd88837a11ac8394,1588853690,Suppression d'un exemple,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2318575382232666,0.5273478031158447,1.9501185417175293,0.0,2.7093238830566406,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
fedoo,20260217_232719,34b7f774a23a733a4e55cf5bfd88837a11ac8394,1588853690,Suppression d'un exemple,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
fedoo,20260217_232719,019f8aaf4b2f1e8a4aeb4569b941349bee78a240,1589463282,A few new functions for quick visualization of 2D problem with matplotlib,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.40619683265686035,0.0,0.40619683265686035,,,,,,,,,,
fedoo,20260217_232719,019f8aaf4b2f1e8a4aeb4569b941349bee78a240,1589463282,A few new functions for quick visualization of 2D problem with matplotlib,True,pymop,x,x,x,x,x,x,x,x,pymop,0.2559187412261963,0.5652914047241211,2.014662265777588,0.0,2.8358724117279053,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
fedoo,20260217_232719,019f8aaf4b2f1e8a4aeb4569b941349bee78a240,1589463282,A few new functions for quick visualization of 2D problem with matplotlib,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
fedoo,20260217_232719,91f5ff9dd917b5e63e6124678f9811ae2c2c9153,1589464501,Modification doc,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3973991870880127,0.0,0.3973991870880127,,,,,,,,,,
