project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
ffsim,20260217_232709,228377ad8a35ac5d07f31cfb8c7ad8d66a3193ed,1694054104,add asv benchmarks,True,original,0,0,0,0,0,21,0.48,x,original,0.0,0.0,0.8535161018371582,0.0,0.8535161018371582,,,,,,,,,,
ffsim,20260217_232709,228377ad8a35ac5d07f31cfb8c7ad8d66a3193ed,1694054104,add asv benchmarks,True,pymop,0,0,0,0,0,21,0.77,x,pymop,0.2102572917938232,0.5361943244934082,2.6422817707061768,0.0,3.388733386993408,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,100.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=50<>Pydocs_UselessFileOpen=26,413.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=26<>File_MustClose=close=25<>File_MustClose=end=24<>Pydocs_UselessFileOpen=open=26<>Pydocs_UselessFileOpen=write=26
ffsim,20260217_232709,228377ad8a35ac5d07f31cfb8c7ad8d66a3193ed,1694054104,add asv benchmarks,True,dylin,0,0,0,0,0,21,6.39,x,dylin,12.633090019226074,0.0,8.303884029388428,0.3352434635162353,21.272217512130737,0.0,,0.0,,,,,,,
ffsim,20260217_232709,578cb50d3d50e7666761f5a1bd40f7d08d443d7c,1695425156,use zrotg to compute givens rotations,True,original,0,0,0,0,0,21,0.47,x,original,0.0,0.0,0.7928569316864014,0.0,0.7928569316864014,,,,,,,,,,
ffsim,20260217_232709,578cb50d3d50e7666761f5a1bd40f7d08d443d7c,1695425156,use zrotg to compute givens rotations,True,pymop,0,0,0,0,0,21,0.71,x,pymop,0.2425987720489502,0.5854895114898682,2.6067826747894287,0.0,3.434870958328247,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,100.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=50<>Pydocs_UselessFileOpen=26,413.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=26<>File_MustClose=close=25<>File_MustClose=end=24<>Pydocs_UselessFileOpen=open=26<>Pydocs_UselessFileOpen=write=26
ffsim,20260217_232709,578cb50d3d50e7666761f5a1bd40f7d08d443d7c,1695425156,use zrotg to compute givens rotations,True,dylin,0,0,0,0,0,21,5.14,x,dylin,9.522101879119871,0.0,7.102229595184326,0.3130745887756347,16.937406063079834,0.0,,0.0,,,,,,,
ffsim,20260217_232709,d7be01fc60d83652fbb47e89f669d732d8e1c2ed,1695478578,fix num op prod benchmark,True,original,0,0,0,0,0,21,0.42,x,original,0.0,0.0,0.7845795154571533,0.0,0.7845795154571533,,,,,,,,,,
ffsim,20260217_232709,d7be01fc60d83652fbb47e89f669d732d8e1c2ed,1695478578,fix num op prod benchmark,True,pymop,0,0,0,0,0,21,0.83,x,pymop,0.2497091293334961,0.5735759735107422,2.5942623615264893,0.0,3.4175474643707275,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,100.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=50<>Pydocs_UselessFileOpen=26,413.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=26<>File_MustClose=close=25<>File_MustClose=end=24<>Pydocs_UselessFileOpen=open=26<>Pydocs_UselessFileOpen=write=26
ffsim,20260217_232709,d7be01fc60d83652fbb47e89f669d732d8e1c2ed,1695478578,fix num op prod benchmark,True,dylin,0,0,0,0,0,21,4.69,x,dylin,10.110100030899048,0.0,6.1793811321258545,0.3189945220947265,16.60847568511963,0.0,,0.0,,,,,,,
ffsim,20260217_232709,f6a80b7ba849524b8aab6f34bfc3772935478e21,1697312769,fix bug in MolecularData caused by not sorting molecular orbitals,True,original,0,0,0,0,0,22,0.47,x,original,0.0,0.0,0.8406381607055664,0.0,0.8406381607055664,,,,,,,,,,
ffsim,20260217_232709,f6a80b7ba849524b8aab6f34bfc3772935478e21,1697312769,fix bug in MolecularData caused by not sorting molecular orbitals,True,pymop,0,0,0,0,0,22,0.72,x,pymop,0.1677196025848388,0.557396650314331,2.3189687728881836,0.0,3.0440850257873535,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,103.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=52<>Pydocs_UselessFileOpen=27,418.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=27<>File_MustClose=close=26<>File_MustClose=end=25<>Pydocs_UselessFileOpen=open=27<>Pydocs_UselessFileOpen=write=27
ffsim,20260217_232709,f6a80b7ba849524b8aab6f34bfc3772935478e21,1697312769,fix bug in MolecularData caused by not sorting molecular orbitals,True,dylin,0,0,0,0,0,22,5.07,x,dylin,9.69901704788208,0.0,6.878933668136597,0.3332166671752929,16.91116738319397,0.0,,0.0,,,,,,,
ffsim,20260217_232709,fefca5693db60726521146535f810bcc3d8ec0c4,1697483829,typo,True,original,0,0,0,0,0,22,0.44,x,original,0.0,0.0,0.7888381481170654,0.0,0.7888381481170654,,,,,,,,,,
ffsim,20260217_232709,fefca5693db60726521146535f810bcc3d8ec0c4,1697483829,typo,True,pymop,0,0,0,0,0,22,0.71,x,pymop,0.1603424549102783,0.5058283805847168,2.3687946796417236,0.0,3.0349655151367188,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,103.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=52<>Pydocs_UselessFileOpen=27,418.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=27<>File_MustClose=close=26<>File_MustClose=end=25<>Pydocs_UselessFileOpen=open=27<>Pydocs_UselessFileOpen=write=27
ffsim,20260217_232709,fefca5693db60726521146535f810bcc3d8ec0c4,1697483829,typo,True,dylin,0,0,0,0,0,22,4.84,x,dylin,10.796082735061646,0.0,6.3434998989105225,0.3330912590026855,17.472673892974854,0.0,,0.0,,,,,,,
ffsim,20260217_232709,958a0c0f041220388839357a2bb1f605e98ca776,1697675226,add FermionOperator (#40),True,original,0,0,0,0,0,24,0.55,x,original,0.0,0.0,0.8901000022888184,0.0,0.8901000022888184,,,,,,,,,,
