project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
gorilla,20251229_102903,816f60c0f14f277ccee619d6e88cf1bfe46ce485,1685006891,Initial Commit,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3645918369293213,0.0,0.3645918369293213,,,,,,,,,,
gorilla,20251229_102903,816f60c0f14f277ccee619d6e88cf1bfe46ce485,1685006891,Initial Commit,pymop,x,x,x,x,x,x,x,x,pymop,0.1372227668762207,0.6154453754425049,1.9813015460968018,0.0,2.7339696884155273,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
gorilla,20251229_102903,816f60c0f14f277ccee619d6e88cf1bfe46ce485,1685006891,Initial Commit,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
gorilla,20251229_102903,c7c31b37b1d47a5c83c149a823a284588f855de4,1685231701,🦍  Release gorilla-7b weights for HuggingFace APIs 🤗  (#11),original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.7475771903991699,0.0,0.7475771903991699,,,,,,,,,,
gorilla,20251229_102903,c7c31b37b1d47a5c83c149a823a284588f855de4,1685231701,🦍  Release gorilla-7b weights for HuggingFace APIs 🤗  (#11),pymop,x,x,x,x,x,x,x,x,pymop,0.13302135467529297,0.6298549175262451,2.2809488773345947,0.0,3.043825149536133,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
gorilla,20251229_102903,c7c31b37b1d47a5c83c149a823a284588f855de4,1685231701,🦍  Release gorilla-7b weights for HuggingFace APIs 🤗  (#11),dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
gorilla,20251229_102903,d7e01d5c2a83e40e14edbed5e31fbdab8e3be48d,1685402162,remove `replace_llama_attn_with_non_inplace_operations` as we don't supported it yet (#19),original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5666642189025879,0.0,0.5666642189025879,,,,,,,,,,
gorilla,20251229_102903,d7e01d5c2a83e40e14edbed5e31fbdab8e3be48d,1685402162,remove `replace_llama_attn_with_non_inplace_operations` as we don't supported it yet (#19),pymop,x,x,x,x,x,x,x,x,pymop,0.1661238670349121,0.5095539093017578,2.119220018386841,0.0,2.7948977947235107,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
gorilla,20251229_102903,d7e01d5c2a83e40e14edbed5e31fbdab8e3be48d,1685402162,remove `replace_llama_attn_with_non_inplace_operations` as we don't supported it yet (#19),dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
gorilla,20251229_102903,d0915d63caaa7fa9d9847725eef1e17ff599dfd4,1685473083,Update cli serving for gorilla (#20),original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5724704265594482,0.0,0.5724704265594482,,,,,,,,,,
