project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
gpu4pyscf,20251229_105601,1587bb59c7f3f50c105ae6868f951b97d87f93c9,1656833391,Update DFT module,original,0,0,0,0,0,2,0.21,0.9868,original,0.0,0.0,0.5929794311523438,0.0,0.5929794311523438,,,,,,,,,,
gpu4pyscf,20251229_105601,1587bb59c7f3f50c105ae6868f951b97d87f93c9,1656833391,Update DFT module,pymop,0,0,0,0,0,2,0.32,0.9868,pymop,0.20391559600830078,0.6112844944000244,2.210397720336914,0.0,3.0255978107452393,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,43,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=12<>Pydocs_UselessFileOpen=7,318,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=7<>File_MustClose=close=6<>File_MustClose=end=5<>Pydocs_UselessFileOpen=open=7<>Pydocs_UselessFileOpen=write=7
gpu4pyscf,20251229_105601,1587bb59c7f3f50c105ae6868f951b97d87f93c9,1656833391,Update DFT module,dylin,x,x,x,x,x,x,x,0.9868,dylin,x,0.0,x,x,x,,,,,,,,,,
gpu4pyscf,20251229_105601,27db421bdd23b2a430ff96c47e395bebb0d01e39,1656879440,Fix hf screening cutoff,original,0,0,0,0,0,2,0.25,0.9509,original,0.0,0.0,0.6704111099243164,0.0,0.6704111099243164,,,,,,,,,,
gpu4pyscf,20251229_105601,27db421bdd23b2a430ff96c47e395bebb0d01e39,1656879440,Fix hf screening cutoff,pymop,0,0,0,0,0,2,0.31,0.9509,pymop,0.23044228553771973,0.5502839088439941,2.1550331115722656,0.0,2.9357593059539795,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,43,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=12<>Pydocs_UselessFileOpen=7,318,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=7<>File_MustClose=close=6<>File_MustClose=end=5<>Pydocs_UselessFileOpen=open=7<>Pydocs_UselessFileOpen=write=7
gpu4pyscf,20251229_105601,27db421bdd23b2a430ff96c47e395bebb0d01e39,1656879440,Fix hf screening cutoff,dylin,x,x,x,x,x,x,x,0.9509,dylin,x,0.0,x,x,x,,,,,,,,,,
gpu4pyscf,20251229_105602,69446039a7a44e1369953d60e4511d06dfca0d7e,1657225418,module layout updates,original,0,0,0,0,0,2,0.24,0.9188,original,0.0,0.0,0.617422342300415,0.0,0.617422342300415,,,,,,,,,,
gpu4pyscf,20251229_105602,69446039a7a44e1369953d60e4511d06dfca0d7e,1657225418,module layout updates,pymop,0,0,0,0,0,2,0.30,0.9188,pymop,0.2413008213043213,0.5567178726196289,2.19199275970459,0.0,2.99001145362854,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,43,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=12<>Pydocs_UselessFileOpen=7,318,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=7<>File_MustClose=close=6<>File_MustClose=end=5<>Pydocs_UselessFileOpen=open=7<>Pydocs_UselessFileOpen=write=7
gpu4pyscf,20251229_105602,69446039a7a44e1369953d60e4511d06dfca0d7e,1657225418,module layout updates,dylin,x,x,x,x,x,x,x,0.9188,dylin,x,0.0,x,x,x,,,,,,,,,,
gpu4pyscf,20251229_105602,e5398d2149fd2a1e090bfa36bf806e043a4090ab,1659716876,Missing file,original,0,0,0,0,0,2,0.26,0.8758999999999999,original,0.0,0.0,0.648076057434082,0.0,0.648076057434082,,,,,,,,,,
