project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
hexastorm,20251229_105831,6845c7806281fde35abc6ef492eefbd22d2e5952,1576572618,added files,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.429429292678833,0.0,0.429429292678833,,,,,,,,,,
hexastorm,20251229_105831,6845c7806281fde35abc6ef492eefbd22d2e5952,1576572618,added files,pymop,x,x,x,x,x,x,x,x,pymop,0.20983219146728516,0.582937479019165,2.034972906112671,0.0,2.827742576599121,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
hexastorm,20251229_105831,6845c7806281fde35abc6ef492eefbd22d2e5952,1576572618,added files,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
hexastorm,20251229_105831,71f65eab6007fb683dc67d914525018ccc5f6914,1576755823,added spi counter and started with spi mapping,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4325382709503174,0.0,0.4325382709503174,,,,,,,,,,
hexastorm,20251229_105831,71f65eab6007fb683dc67d914525018ccc5f6914,1576755823,added spi counter and started with spi mapping,pymop,x,x,x,x,x,x,x,x,pymop,0.24268603324890137,0.60408616065979,2.0559823513031006,0.0,2.902754545211792,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
hexastorm,20251229_105831,71f65eab6007fb683dc67d914525018ccc5f6914,1576755823,added spi counter and started with spi mapping,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
hexastorm,20251229_105831,745f2ab0abaf373c963f8ddcc2d85c37ad831914,1576755836,other files effected.,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4427762031555176,0.0,0.4427762031555176,,,,,,,,,,
hexastorm,20251229_105831,745f2ab0abaf373c963f8ddcc2d85c37ad831914,1576755836,other files effected.,pymop,x,x,x,x,x,x,x,x,pymop,0.17998743057250977,0.6211090087890625,2.0606091022491455,0.0,2.8617055416107178,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
hexastorm,20251229_105831,745f2ab0abaf373c963f8ddcc2d85c37ad831914,1576755836,other files effected.,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
hexastorm,20251229_105831,96ddf43cd63d938f08baa61255891e0d17e842d8,1576778523,passed memory test,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3815786838531494,0.0,0.3815786838531494,,,,,,,,,,
