project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
minion,20251229_105502,0a5d02d8843c3a535f342b3936593c1cbec617e2,1730037684,lmp_action_node,original,0,0,0,0,0,2,0.24,0.0,original,0.0,0.0,0.596947431564331,0.0,0.596947431564331,,,,,,,,,,
minion,20251229_105502,0a5d02d8843c3a535f342b3936593c1cbec617e2,1730037684,lmp_action_node,pymop,0,0,0,0,0,2,0.28,0.0,pymop,0.2554287910461426,0.594019889831543,1.9516830444335938,0.0,2.8011317253112793,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,43,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=12<>Pydocs_UselessFileOpen=7,318,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=7<>File_MustClose=close=6<>File_MustClose=end=5<>Pydocs_UselessFileOpen=open=7<>Pydocs_UselessFileOpen=write=7
minion,20251229_105502,0a5d02d8843c3a535f342b3936593c1cbec617e2,1730037684,lmp_action_node,dylin,x,x,x,x,x,x,x,0.0,dylin,x,0.0,x,x,x,,,,,,,,,,
minion,20251229_105502,24de2e911be176f1918285e5c4009a0af11f4408,1730087040,lmp_action_node,original,0,0,0,0,0,3,0.22,0.0,original,0.0,0.0,1.3591065406799316,0.0,1.3591065406799316,,,,,,,,,,
minion,20251229_105502,24de2e911be176f1918285e5c4009a0af11f4408,1730087040,lmp_action_node,pymop,0,0,0,0,0,3,0.40,0.0,pymop,1.3050072193145752,0.6022450923919678,4.33673095703125,0.0,6.243983268737793,418,KeyInList=418,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=404;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,56,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,481,KeyInList=list_contains=418<>NLTK_NonterminalSymbolMutability=nonterminal_created=26<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
minion,20251229_105502,24de2e911be176f1918285e5c4009a0af11f4408,1730087040,lmp_action_node,dylin,x,x,x,x,x,x,x,0.0,dylin,x,0.0,x,x,x,,,,,,,,,,
minion,20251229_105502,2c5a5334edbbb67502eae997395788dfde23536e,1730094045,lmp_action_node,original,0,0,0,0,0,3,0.22,0.0,original,0.0,0.0,1.286916732788086,0.0,1.286916732788086,,,,,,,,,,
minion,20251229_105502,2c5a5334edbbb67502eae997395788dfde23536e,1730094045,lmp_action_node,pymop,0,0,0,0,0,3,0.40,0.0,pymop,0.274578332901001,0.5778541564941406,4.176644563674927,0.0,5.029077053070068,428,KeyInList=428,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=414;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,56,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>File_MustClose=14<>Pydocs_UselessFileOpen=8,491,KeyInList=list_contains=428<>NLTK_NonterminalSymbolMutability=nonterminal_created=26<>File_MustClose=open=8<>File_MustClose=close=7<>File_MustClose=end=6<>Pydocs_UselessFileOpen=open=8<>Pydocs_UselessFileOpen=write=8
minion,20251229_105502,2c5a5334edbbb67502eae997395788dfde23536e,1730094045,lmp_action_node,dylin,x,x,x,x,x,x,x,0.0,dylin,x,0.0,x,x,x,,,,,,,,,,
minion,20251229_105502,5ce94d8803bc9449a0516c865f0943ee02f9e6da,1730099868,lmp_action_node,original,0,0,0,0,0,3,0.22,0.0,original,0.0,0.0,1.3173789978027344,0.0,1.3173789978027344,,,,,,,,,,
