project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
nervaluate,20251229_104150,fd1376c005c41ca0eea06763649295782b5bece4,1539893296,fixed a BUG in collect_named_entites() issued by rjlotok.dblma@gmail.com,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3910799026489258,0.0,0.3910799026489258,,,,,,,,,,
nervaluate,20251229_104150,fd1376c005c41ca0eea06763649295782b5bece4,1539893296,fixed a BUG in collect_named_entites() issued by rjlotok.dblma@gmail.com,pymop,x,x,x,x,x,x,x,x,pymop,0.18710732460021973,0.5948209762573242,2.06828236579895,0.0,2.850210666656494,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
nervaluate,20251229_104150,fd1376c005c41ca0eea06763649295782b5bece4,1539893296,fixed a BUG in collect_named_entites() issued by rjlotok.dblma@gmail.com,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
nervaluate,20251229_104150,0aeb707b698e60e43198ea9c6e031243140e22f1,1544114124,redefined evaluation according to discussion here: https://github.com/davidsbatista/NER-Evaluation/issues/2,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.389756441116333,0.0,0.389756441116333,,,,,,,,,,
nervaluate,20251229_104150,0aeb707b698e60e43198ea9c6e031243140e22f1,1544114124,redefined evaluation according to discussion here: https://github.com/davidsbatista/NER-Evaluation/issues/2,pymop,x,x,x,x,x,x,x,x,pymop,0.18433880805969238,0.6402404308319092,2.0014736652374268,0.0,2.8260529041290283,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
nervaluate,20251229_104150,0aeb707b698e60e43198ea9c6e031243140e22f1,1544114124,redefined evaluation according to discussion here: https://github.com/davidsbatista/NER-Evaluation/issues/2,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
nervaluate,20251229_104150,227fa4aa4aa9255b29a9930d66dd5d37b73fc91e,1544180718,Update ner_evaluation.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.42026376724243164,0.0,0.42026376724243164,,,,,,,,,,
nervaluate,20251229_104150,227fa4aa4aa9255b29a9930d66dd5d37b73fc91e,1544180718,Update ner_evaluation.py,pymop,x,x,x,x,x,x,x,x,pymop,0.20966744422912598,0.6514849662780762,2.11436128616333,0.0,2.9755136966705322,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
nervaluate,20251229_104150,227fa4aa4aa9255b29a9930d66dd5d37b73fc91e,1544180718,Update ner_evaluation.py,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
nervaluate,20251229_104150,b85defb53f4aee58323d024b5182978efa2ab591,1548878584,added partial and exact evaluation and tests,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3938157558441162,0.0,0.3938157558441162,,,,,,,,,,
