project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
observers,20251229_105823,a55f55f3ad3de64d800f2edc70a8418b2d555910,1732055859,init,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5073225498199463,0.0,0.5073225498199463,,,,,,,,,,
observers,20251229_105823,a55f55f3ad3de64d800f2edc70a8418b2d555910,1732055859,init,pymop,x,x,x,x,x,x,x,x,pymop,0.24745655059814453,0.615912914276123,2.1243369579315186,0.0,2.987706422805786,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
observers,20251229_105823,a55f55f3ad3de64d800f2edc70a8418b2d555910,1732055859,init,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
observers,20251229_105823,f2373e88543df67e25cfee00d22ee28cd028cda7,1732113243,feat: initial packaged version,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.611708402633667,0.0,0.611708402633667,,,,,,,,,,
observers,20251229_105823,f2373e88543df67e25cfee00d22ee28cd028cda7,1732113243,feat: initial packaged version,pymop,x,x,x,x,x,x,x,x,pymop,0.1735363006591797,0.6008963584899902,2.4280402660369873,0.0,3.2024729251861572,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
observers,20251229_105823,f2373e88543df67e25cfee00d22ee28cd028cda7,1732113243,feat: initial packaged version,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
observers,20251229_105823,c076d0bc479779de6296b7eae82adb27958287c2,1732120363,feat: argilla integration,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.6531519889831543,0.0,0.6531519889831543,,,,,,,,,,
observers,20251229_105823,c076d0bc479779de6296b7eae82adb27958287c2,1732120363,feat: argilla integration,pymop,x,x,x,x,x,x,x,x,pymop,0.2374742031097412,0.640310525894165,3.3942980766296387,0.0,4.272082805633545,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
observers,20251229_105823,c076d0bc479779de6296b7eae82adb27958287c2,1732120363,feat: argilla integration,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
observers,20251229_105823,4f061f91dddeaa2e15965f0e214c323460dbac2c,1732120957,docs: Update overview of supported stores,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.619389533996582,0.0,0.619389533996582,,,,,,,,,,
observers,20251229_105823,4f061f91dddeaa2e15965f0e214c323460dbac2c,1732120957,docs: Update overview of supported stores,pymop,x,x,x,x,x,x,x,x,pymop,0.2037644386291504,0.6468932628631592,2.591836452484131,0.0,3.4424941539764404,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
observers,20251229_105823,4f061f91dddeaa2e15965f0e214c323460dbac2c,1732120957,docs: Update overview of supported stores,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
observers,20251229_105823,ae1c0012725f5aaddd61c961fd80d87613d4b233,1732121934,docs: Update argilla example,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.662076473236084,0.0,0.662076473236084,,,,,,,,,,
