project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
resilient-community-apps,20251229_105848,f0b985a4e9193326d135532ffc61d70d0c41d587,1660566060,Initial sync of external repository 081522,original,0,0,0,0,0,413,6.10,x,original,0.0,0.0,6.486661195755005,0.0,6.486661195755005,,,,,,,,,,
resilient-community-apps,20251229_105848,f0b985a4e9193326d135532ffc61d70d0c41d587,1660566060,Initial sync of external repository 081522,pymop,0,0,0,0,0,413,9.04,x,pymop,0.25478363037109375,0.5441381931304932,10.897618055343628,0.0,11.696539878845215,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,994,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=646<>Pydocs_UselessFileOpen=324,1903,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=324<>File_MustClose=close=323<>File_MustClose=end=322<>Pydocs_UselessFileOpen=open=324<>Pydocs_UselessFileOpen=write=319<>Pydocs_UselessFileOpen=read=5
resilient-community-apps,20251229_105848,f0b985a4e9193326d135532ffc61d70d0c41d587,1660566060,Initial sync of external repository 081522,dylin,1,0,0,0,0,422,20.95,x,dylin,38.490129470825195,0.0,22.613303661346436,0.35080718994140625,61.45424032211304,0,,0,,,,,,,
resilient-community-apps,20251229_105848,bffb70d5e36c25b32ceab7b2921a9c4fb2c36434,1661177208,Syncing external repository on 2022_08_22,original,0,0,0,0,0,417,6.05,x,original,0.0,0.0,6.395336151123047,0.0,6.395336151123047,,,,,,,,,,
resilient-community-apps,20251229_105848,bffb70d5e36c25b32ceab7b2921a9c4fb2c36434,1661177208,Syncing external repository on 2022_08_22,pymop,0,0,0,0,0,417,8.77,x,pymop,0.22191619873046875,0.5376708507537842,10.638719320297241,0.0,11.398306369781494,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,991,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=644<>Pydocs_UselessFileOpen=323,1898,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=323<>File_MustClose=close=322<>File_MustClose=end=321<>Pydocs_UselessFileOpen=open=323<>Pydocs_UselessFileOpen=write=318<>Pydocs_UselessFileOpen=read=5
resilient-community-apps,20251229_105848,bffb70d5e36c25b32ceab7b2921a9c4fb2c36434,1661177208,Syncing external repository on 2022_08_22,dylin,1,0,0,0,0,426,20.48,x,dylin,40.64236378669739,0.0,22.118441104888916,0.3237309455871582,63.08453583717346,0,,0,,,,,,,
resilient-community-apps,20251229_105848,c08a03b01f879a7d96163860d3360db39ca7e980,1661450637,Syncing external repository on 2022_08_25,original,0,0,0,0,0,417,6.21,x,original,0.0,0.0,6.61709189414978,0.0,6.61709189414978,,,,,,,,,,
resilient-community-apps,20251229_105848,c08a03b01f879a7d96163860d3360db39ca7e980,1661450637,Syncing external repository on 2022_08_25,pymop,0,0,0,0,0,417,9.06,x,pymop,0.22011208534240723,0.6855103969573975,10.943604469299316,0.0,11.849226951599121,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,991,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=644<>Pydocs_UselessFileOpen=323,1898,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=323<>File_MustClose=close=322<>File_MustClose=end=321<>Pydocs_UselessFileOpen=open=323<>Pydocs_UselessFileOpen=write=318<>Pydocs_UselessFileOpen=read=5
resilient-community-apps,20251229_105848,c08a03b01f879a7d96163860d3360db39ca7e980,1661450637,Syncing external repository on 2022_08_25,dylin,1,0,0,0,0,426,20.44,x,dylin,38.24604892730713,0.0,22.151865482330322,0.3405575752258301,60.73847198486328,0,,0,,,,,,,
resilient-community-apps,20251229_105848,aabd92e5b7266fa38b92b611a1593725f0e5f829,1661452551,Syncing external repository on 2022_08_25,original,0,0,0,0,0,420,6.14,x,original,0.0,0.0,6.524927854537964,0.0,6.524927854537964,,,,,,,,,,
