project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
rnet,20260217_232452,465d7addf9396e8d1a320ad153a6f556789872e5,1739271997,feat: Complete basic request response bindings (#3),True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5072224140167236,0.0,0.5072224140167236,,,,,,,,,,
rnet,20260217_232452,465d7addf9396e8d1a320ad153a6f556789872e5,1739271997,feat: Complete basic request response bindings (#3),True,pymop,x,x,x,x,x,x,x,x,pymop,0.18068599700927734,0.682471752166748,2.4276492595672607,0.0,3.290807008743286,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
rnet,20260217_232452,465d7addf9396e8d1a320ad153a6f556789872e5,1739271997,feat: Complete basic request response bindings (#3),True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
rnet,20260217_232452,ece446df0ffce859ea0a42a2144a377eaa01e8ff,1739301767,feat(response): Add `encoding` getter (#4),True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4754786491394043,0.0,0.4754786491394043,,,,,,,,,,
rnet,20260217_232452,ece446df0ffce859ea0a42a2144a377eaa01e8ff,1739301767,feat(response): Add `encoding` getter (#4),True,pymop,x,x,x,x,x,x,x,x,pymop,0.20210671424865723,0.6259474754333496,2.1360740661621094,0.0,2.964128255844116,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
rnet,20260217_232452,ece446df0ffce859ea0a42a2144a377eaa01e8ff,1739301767,feat(response): Add `encoding` getter (#4),True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
rnet,20260217_232452,99c968591910d3f162cd297d5ce11994243acb3f,1739306292,feat(response): Add streaming support (#5),True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5024034976959229,0.0,0.5024034976959229,,,,,,,,,,
rnet,20260217_232452,99c968591910d3f162cd297d5ce11994243acb3f,1739306292,feat(response): Add streaming support (#5),True,pymop,x,x,x,x,x,x,x,x,pymop,0.2090768814086914,0.6778080463409424,2.1809685230255127,0.0,3.0678534507751465,270.0,KeyInList=270,3.0,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37.0,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308.0,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
rnet,20260217_232452,99c968591910d3f162cd297d5ce11994243acb3f,1739306292,feat(response): Add streaming support (#5),True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
rnet,20260217_232452,dea12403761108f37a48d8e6f2ad5fa75357a36d,1739311998,feat(response): Add cookies support (#6),True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4770193099975586,0.0,0.4770193099975586,,,,,,,,,,
