project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
sandbox,20251229_105626,9c262e3b9f66a368fce8058cf8b815db27211899,1708786461,型なしラムダ計算で遊びはじめた,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.6280789375305176,0.0,1.6280789375305176,,,,,,,,,,
sandbox,20251229_105626,9c262e3b9f66a368fce8058cf8b815db27211899,1708786461,型なしラムダ計算で遊びはじめた,pymop,x,x,x,x,x,x,x,x,pymop,0.1883711814880371,0.6100833415985107,2.7703845500946045,0.0,3.5688390731811523,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sandbox,20251229_105626,9c262e3b9f66a368fce8058cf8b815db27211899,1708786461,型なしラムダ計算で遊びはじめた,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sandbox,20251229_105626,f050572563a74f85a0cd37046c311aebed2cc421,1708791659,リスト操作用の関数をいくつか定義,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.7254323959350586,0.0,1.7254323959350586,,,,,,,,,,
sandbox,20251229_105626,f050572563a74f85a0cd37046c311aebed2cc421,1708791659,リスト操作用の関数をいくつか定義,pymop,x,x,x,x,x,x,x,x,pymop,0.19782423973083496,0.623248815536499,2.8188793659210205,0.0,3.6399524211883545,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sandbox,20251229_105626,f050572563a74f85a0cd37046c311aebed2cc421,1708791659,リスト操作用の関数をいくつか定義,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sandbox,20251229_105626,ea02dc49ed7135f33767dd0070aa856f4a80c3b1,1708815283,エラーになるなぁ,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.6381874084472656,0.0,1.6381874084472656,,,,,,,,,,
sandbox,20251229_105626,ea02dc49ed7135f33767dd0070aa856f4a80c3b1,1708815283,エラーになるなぁ,pymop,x,x,x,x,x,x,x,x,pymop,0.20116853713989258,0.6759228706359863,3.2389769554138184,0.0,4.116068363189697,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sandbox,20251229_105626,ea02dc49ed7135f33767dd0070aa856f4a80c3b1,1708815283,エラーになるなぁ,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sandbox,20251229_105626,8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,1708865539,型アノテーションを学ぶ,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.608386516571045,0.0,1.608386516571045,,,,,,,,,,
sandbox,20251229_105626,8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,1708865539,型アノテーションを学ぶ,pymop,x,x,x,x,x,x,x,x,pymop,0.17171049118041992,0.5680825710296631,2.6956794261932373,0.0,3.4354724884033203,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sandbox,20251229_105626,8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,1708865539,型アノテーションを学ぶ,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sandbox,20251229_105626,4863aad3cc0e9b059187a021a9112d33720d35ae,1709076139,FastAPIを学ぶ,original,2,0,0,0,0,0,1.26,x,original,0.0,0.0,1.6390793323516846,0.0,1.6390793323516846,,,,,,,,,,
sandbox,20251229_105626,4863aad3cc0e9b059187a021a9112d33720d35ae,1709076139,FastAPIを学ぶ,pymop,2,0,0,0,0,0,1.04,x,pymop,0.19377684593200684,0.6028072834014893,2.9147655963897705,0.0,3.7113497257232666,294,KeyInList=294,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'}",40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,337,KeyInList=list_contains=294<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
sandbox,20251229_105626,4863aad3cc0e9b059187a021a9112d33720d35ae,1709076139,FastAPIを学ぶ,dylin,2,0,0,0,0,0,5.62,x,dylin,10.255926847457886,0.0,8.266753673553467,0.3654921054840088,18.88817262649536,0,,0,,,,,,,
sandbox,20251229_105626,99a5c310bbe499977e8900c82cc769754fe682ee,1709076805,DIする,original,2,0,0,0,0,0,1.26,x,original,0.0,0.0,1.6332948207855225,0.0,1.6332948207855225,,,,,,,,,,
sandbox,20251229_105626,99a5c310bbe499977e8900c82cc769754fe682ee,1709076805,DIする,pymop,2,0,0,0,0,0,1.09,x,pymop,0.190568208694458,0.6298027038574219,3.0429067611694336,0.0,3.8632776737213135,294,KeyInList=294,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'}",40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,337,KeyInList=list_contains=294<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
sandbox,20251229_105626,99a5c310bbe499977e8900c82cc769754fe682ee,1709076805,DIする,dylin,2,0,0,0,0,0,5.17,x,dylin,8.608511924743652,0.0,6.842886209487915,0.36615824699401855,15.817556381225586,0,,0,,,,,,,
sandbox,20251229_105626,a817f033efda8b9e2581929a7d65758531fb04de,1709152626,クラスをDIする,original,2,0,0,0,0,0,1.15,x,original,0.0,0.0,1.5161030292510986,0.0,1.5161030292510986,,,,,,,,,,
sandbox,20251229_105626,a817f033efda8b9e2581929a7d65758531fb04de,1709152626,クラスをDIする,pymop,2,0,0,0,0,0,1.05,x,pymop,0.18671536445617676,0.5936942100524902,2.8311479091644287,0.0,3.6115574836730957,294,KeyInList=294,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'}",40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,337,KeyInList=list_contains=294<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
sandbox,20251229_105626,a817f033efda8b9e2581929a7d65758531fb04de,1709152626,クラスをDIする,dylin,2,0,0,0,0,0,5.22,x,dylin,8.468547821044922,0.0,6.871032476425171,0.3826174736022949,15.722197771072388,0,,0,,,,,,,
sandbox,20251229_105626,6d40203cc44b89a644633646af9dbd45a6f2fef0,1709152921,クラスを使えばDependsにクラスを書かなくても良いみたい,original,2,0,0,0,0,0,1.26,x,original,0.0,0.0,1.656769037246704,0.0,1.656769037246704,,,,,,,,,,
sandbox,20251229_105626,6d40203cc44b89a644633646af9dbd45a6f2fef0,1709152921,クラスを使えばDependsにクラスを書かなくても良いみたい,pymop,2,0,0,0,0,0,1.05,x,pymop,0.19643831253051758,0.557746410369873,2.794294595718384,0.0,3.5484793186187744,294,KeyInList=294,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'python-example/scripts/test_example.py::TestExample::test_lower', 'python-example/scripts/test_example.py::TestExample::test_upper'}",40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,337,KeyInList=list_contains=294<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
sandbox,20251229_105626,6d40203cc44b89a644633646af9dbd45a6f2fef0,1709152921,クラスを使えばDependsにクラスを書かなくても良いみたい,dylin,2,0,0,0,0,0,5.02,x,dylin,10.358022689819336,0.0,6.75640606880188,0.34351253509521484,17.45794129371643,0,,0,,,,,,,
sandbox,20251229_105626,1a2e607af2bb50be65b5e43974762d7cceffa25e,1709161203,サブ依存,original,2,0,0,0,0,0,1.25,x,original,0.0,0.0,1.6237807273864746,0.0,1.6237807273864746,,,,,,,,,,
