project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
sc-file,20251229_104058,4fd0fd70c8dcefad5e5434e00578702fc70ff52f,1695860137,Update obj module,original,x,x,x,x,x,x,x,x,original,0.0,0.0,2.5950911045074463,0.0,2.5950911045074463,,,,,,,,,,
sc-file,20251229_104058,4fd0fd70c8dcefad5e5434e00578702fc70ff52f,1695860137,Update obj module,pymop,x,x,x,x,x,x,x,x,pymop,0.23114347457885742,0.6139445304870605,2.1261556148529053,0.0,2.9712436199188232,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sc-file,20251229_104058,4fd0fd70c8dcefad5e5434e00578702fc70ff52f,1695860137,Update obj module,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sc-file,20251229_104058,4824772e9f35198d25ee69eeddddc49054085b48,1695860694,Minor Fixes,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.422924280166626,0.0,0.422924280166626,,,,,,,,,,
sc-file,20251229_104058,4824772e9f35198d25ee69eeddddc49054085b48,1695860694,Minor Fixes,pymop,x,x,x,x,x,x,x,x,pymop,0.23097920417785645,0.6275515556335449,2.0151660442352295,0.0,2.873696804046631,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sc-file,20251229_104058,4824772e9f35198d25ee69eeddddc49054085b48,1695860694,Minor Fixes,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sc-file,20251229_104058,9da4a816e2ecf00623d86f59c82d3332138da160,1695927968,Minor Fixes,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4456052780151367,0.0,0.4456052780151367,,,,,,,,,,
sc-file,20251229_104058,9da4a816e2ecf00623d86f59c82d3332138da160,1695927968,Minor Fixes,pymop,x,x,x,x,x,x,x,x,pymop,0.18842363357543945,0.6340184211730957,2.0082249641418457,0.0,2.830667018890381,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
sc-file,20251229_104058,9da4a816e2ecf00623d86f59c82d3332138da160,1695927968,Minor Fixes,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
sc-file,20251229_104058,c44cd8432d0f86fef01ec22feba532233218d3a6,1696034830,Minor Fixes,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.40111851692199707,0.0,0.40111851692199707,,,,,,,,,,
