project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
scrapybara-python,20251229_103140,1fd2d6303c9ee288576c4f0cb903b482a9d47ec9,1731662200,Update __init__.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5468626022338867,0.0,0.5468626022338867,,,,,,,,,,
scrapybara-python,20251229_103140,1fd2d6303c9ee288576c4f0cb903b482a9d47ec9,1731662200,Update __init__.py,pymop,x,x,x,x,x,x,x,x,pymop,0.17234539985656738,0.5634772777557373,2.1613147258758545,0.0,2.897137403488159,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
scrapybara-python,20251229_103140,1fd2d6303c9ee288576c4f0cb903b482a9d47ec9,1731662200,Update __init__.py,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
scrapybara-python,20251229_103140,e9d4a39d7d236b9a64ce3f10241f74f27f7c3160,1731664457,Update __init__.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5300326347351074,0.0,0.5300326347351074,,,,,,,,,,
scrapybara-python,20251229_103140,e9d4a39d7d236b9a64ce3f10241f74f27f7c3160,1731664457,Update __init__.py,pymop,x,x,x,x,x,x,x,x,pymop,0.20808029174804688,0.6675577163696289,2.363429546356201,0.0,3.239067554473877,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
scrapybara-python,20251229_103140,e9d4a39d7d236b9a64ce3f10241f74f27f7c3160,1731664457,Update __init__.py,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
scrapybara-python,20251229_103140,b9d64c20ca059a144e70cc32a057c42db06d5054,1731666399,Update __init__.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5067076683044434,0.0,0.5067076683044434,,,,,,,,,,
scrapybara-python,20251229_103140,b9d64c20ca059a144e70cc32a057c42db06d5054,1731666399,Update __init__.py,pymop,x,x,x,x,x,x,x,x,pymop,0.17741656303405762,0.6090953350067139,2.2410314083099365,0.0,3.027543306350708,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
scrapybara-python,20251229_103140,b9d64c20ca059a144e70cc32a057c42db06d5054,1731666399,Update __init__.py,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
scrapybara-python,20251229_103140,5c08f35fcf2941cea86a65c147b09b64d4dabe92,1731667094,Update __init__.py,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5117390155792236,0.0,0.5117390155792236,,,,,,,,,,
