project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
slurmpilot,20251229_103110,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,original,3,0,0,0,0,0,0.13,0.0,original,0.0,0.0,0.5305407047271729,0.0,0.5305407047271729,,,,,,,,,,
slurmpilot,20251229_103110,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,pymop,3,0,0,0,0,0,0.44,0.0,pymop,0.2284097671508789,0.6287305355072021,2.398986577987671,0.0,3.256126880645752,308,KeyInList=306;Pydocs_UselessFileOpen=2,4,KeyInList=3;Pydocs_UselessFileOpen=1,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=2,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117={'tst/test_slurm_wrapper.py::test_schedule_job'}",61,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=24<>Pydocs_UselessFileOpen=13,384,KeyInList=list_contains=306<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=13<>File_MustClose=close=12<>File_MustClose=end=11<>Pydocs_UselessFileOpen=open=13<>Pydocs_UselessFileOpen=write=11<>Pydocs_UselessFileOpen=close=2
slurmpilot,20251229_103110,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,dylin,3,0,0,0,0,0,4.43,0.0,dylin,9.084293842315674,0.0,6.008227586746216,0.329925537109375,15.422446966171265,0,,0,,,,,,,
slurmpilot,20251229_103110,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,original,3,0,0,0,0,0,0.11,0.0,original,0.0,0.0,0.44095468521118164,0.0,0.44095468521118164,,,,,,,,,,
slurmpilot,20251229_103110,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,pymop,3,0,0,0,0,0,0.43,0.0,pymop,0.19895482063293457,0.6045002937316895,2.1919105052948,0.0,2.995365619659424,308,KeyInList=306;Pydocs_UselessFileOpen=2,4,KeyInList=3;Pydocs_UselessFileOpen=1,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=2,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117={'tst/test_slurm_wrapper.py::test_schedule_job'}",61,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=24<>Pydocs_UselessFileOpen=13,384,KeyInList=list_contains=306<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=13<>File_MustClose=close=12<>File_MustClose=end=11<>Pydocs_UselessFileOpen=open=13<>Pydocs_UselessFileOpen=write=11<>Pydocs_UselessFileOpen=close=2
slurmpilot,20251229_103110,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,dylin,3,0,0,0,0,0,4.60,0.0,dylin,9.134706258773804,0.0,6.360867977142334,0.39046168327331543,15.886035919189453,0,,0,,,,,,,
slurmpilot,20251229_103110,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713969620,support specifying user and environment variables,original,3,0,0,0,0,0,0.34,0.0,original,0.0,0.0,0.7269299030303955,0.0,0.7269299030303955,,,,,,,,,,
slurmpilot,20251229_103110,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713969620,support specifying user and environment variables,pymop,3,0,0,0,0,0,0.63,0.0,pymop,0.17398285865783691,0.6200859546661377,2.4632744789123535,0.0,3.257343292236328,339,KeyInList=337;Pydocs_UselessFileOpen=2,7,KeyInList=6;Pydocs_UselessFileOpen=1,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=5;KeyInList:/usr/lib/python3.12/typing.py:290=3;KeyInList:/usr/lib/python3.12/enum.py:444=23;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=2,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tst/test_slurm_wrapper.py::test_schedule_job', 'tst/test_job_creation_info.py::test_preamble', 'tst/test_path_logic.py::test_path_logic'};Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117={'tst/test_slurm_wrapper.py::test_schedule_job'}",76,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=16<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=24<>Pydocs_UselessFileOpen=13<>Pydocs_MustReleaseLock=1,419,KeyInList=list_contains=337<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=13<>File_MustClose=close=12<>File_MustClose=end=11<>Pydocs_UselessFileOpen=open=13<>Pydocs_UselessFileOpen=write=11<>Pydocs_UselessFileOpen=close=2<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2
slurmpilot,20251229_103110,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713969620,support specifying user and environment variables,dylin,3,0,0,0,0,0,4.59,0.0,dylin,10.144579648971558,0.0,6.343900442123413,0.38898658752441406,16.877466678619385,0,,0,,,,,,,
slurmpilot,20251229_103110,dc95f7f64343854c6d3acfb43aa9f9262331e652,1713973768,"add support to specify runtime, use long argument for sbatch",original,3,0,0,0,0,0,0.31,0.0,original,0.0,0.0,0.7172610759735107,0.0,0.7172610759735107,,,,,,,,,,
