project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
thonny,20251229_105536,8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c,1679824117,"Enhance esptool GUI, #2707",original,3,1,0,0,0,0,2.57,7.020999999999999,original,0.0,0.0,3.0776493549346924,0.0,3.0776493549346924,,,,,,,,,,
thonny,20251229_105536,8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c,1679824117,"Enhance esptool GUI, #2707",pymop,3,1,0,0,0,0,0.94,7.020999999999999,pymop,0.252638578414917,0.6055107116699219,2.7663519382476807,0.0,3.6245012283325195,318,KeyInList=318,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'}",52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=18<>Pydocs_UselessFileOpen=10,381,KeyInList=list_contains=318<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=10<>File_MustClose=close=9<>File_MustClose=end=8<>Pydocs_UselessFileOpen=open=10<>Pydocs_UselessFileOpen=write=10
thonny,20251229_105536,8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c,1679824117,"Enhance esptool GUI, #2707",dylin,3,1,0,0,0,0,5.26,7.020999999999999,dylin,33.67723226547241,0.0,6.9922497272491455,0.3769712448120117,41.04645323753357,0,,0,,,,,,,
thonny,20251229_105536,d8aefa17788bbbe3e6d3405797baa196252e29f8,1679835493,"Windows fixes for esptool GUI, #2707",original,3,1,0,0,0,0,2.71,7.02,original,0.0,0.0,3.2609260082244873,0.0,3.2609260082244873,,,,,,,,,,
thonny,20251229_105536,d8aefa17788bbbe3e6d3405797baa196252e29f8,1679835493,"Windows fixes for esptool GUI, #2707",pymop,3,1,0,0,0,0,1.02,7.02,pymop,0.25194239616394043,0.5637025833129883,2.9916017055511475,0.0,3.807246685028076,318,KeyInList=318,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'}",52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=18<>Pydocs_UselessFileOpen=10,381,KeyInList=list_contains=318<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=10<>File_MustClose=close=9<>File_MustClose=end=8<>Pydocs_UselessFileOpen=open=10<>Pydocs_UselessFileOpen=write=10
thonny,20251229_105536,d8aefa17788bbbe3e6d3405797baa196252e29f8,1679835493,"Windows fixes for esptool GUI, #2707",dylin,3,1,0,0,0,0,5.35,7.02,dylin,42.76310706138611,0.0,7.57681679725647,0.3683621883392334,50.70828604698181,0,,0,,,,,,,
thonny,20251229_105536,af79173d951e23cb12f4b70dd0f270adf8e9cd3e,1679858188,"More forgiving image analysis for esptool GUI, #2707",original,3,1,0,0,0,0,2.45,7.019,original,0.0,0.0,2.932579755783081,0.0,2.932579755783081,,,,,,,,,,
thonny,20251229_105536,af79173d951e23cb12f4b70dd0f270adf8e9cd3e,1679858188,"More forgiving image analysis for esptool GUI, #2707",pymop,3,1,0,0,0,0,0.99,7.019,pymop,0.49046850204467773,0.5860366821289062,3.135498046875,0.0,4.212003231048584,318,KeyInList=318,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'thonny/test/test_common.py::test_path_startswith', 'thonny/test/plugins/test_name_highlighter.py::test_all', 'thonny/test/plugins/test_locals_marker.py::test_regular_closed', 'thonny/test/plugins/test_pip_gui.py::test_extra_marker_re'}",52,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=18<>Pydocs_UselessFileOpen=10,381,KeyInList=list_contains=318<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=10<>File_MustClose=close=9<>File_MustClose=end=8<>Pydocs_UselessFileOpen=open=10<>Pydocs_UselessFileOpen=write=10
thonny,20251229_105536,af79173d951e23cb12f4b70dd0f270adf8e9cd3e,1679858188,"More forgiving image analysis for esptool GUI, #2707",dylin,3,1,0,0,0,0,5.11,7.019,dylin,42.13082265853882,0.0,6.722534894943237,0.3538782596588135,49.20723581314087,0,,0,,,,,,,
thonny,20251229_105536,e771a2a68c7221cb80cf86988b5fb7ad771bf032,1679858196,black,original,3,1,0,0,0,0,2.46,7.019,original,0.0,0.0,3.000420093536377,0.0,3.000420093536377,,,,,,,,,,
