project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
wandbot,20251229_104003,82f0d59078cfdc1ee070e0c478ccea85f1f89bf8,1680111583,"fix: change thread name to ""Thread"" so it's not confused to be official support.",original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.35490965843200684,0.0,0.35490965843200684,,,,,,,,,,
wandbot,20251229_104003,82f0d59078cfdc1ee070e0c478ccea85f1f89bf8,1680111583,"fix: change thread name to ""Thread"" so it's not confused to be official support.",pymop,x,x,x,x,x,x,x,x,pymop,0.21399736404418945,0.5865585803985596,1.9701437950134277,0.0,2.7706997394561768,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
wandbot,20251229_104003,82f0d59078cfdc1ee070e0c478ccea85f1f89bf8,1680111583,"fix: change thread name to ""Thread"" so it's not confused to be official support.",dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wandbot,20251229_104003,ff4df7562c40da1926698a0a971221435ef547db,1680122260,updates to gpt-4-32k and remove feedback timeout message,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4407830238342285,0.0,0.4407830238342285,,,,,,,,,,
wandbot,20251229_104003,ff4df7562c40da1926698a0a971221435ef547db,1680122260,updates to gpt-4-32k and remove feedback timeout message,pymop,x,x,x,x,x,x,x,x,pymop,0.2177577018737793,0.7011291980743408,1.8968241214752197,0.0,2.81571102142334,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
wandbot,20251229_104003,ff4df7562c40da1926698a0a971221435ef547db,1680122260,updates to gpt-4-32k and remove feedback timeout message,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wandbot,20251229_104003,299184289f896f12f2a056801aeb36b1522fc831,1680130820,"log query and timings, add emojis, limit available channels",original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.33601999282836914,0.0,0.33601999282836914,,,,,,,,,,
wandbot,20251229_104003,299184289f896f12f2a056801aeb36b1522fc831,1680130820,"log query and timings, add emojis, limit available channels",pymop,x,x,x,x,x,x,x,x,pymop,0.21712851524353027,0.5954625606536865,1.943633794784546,0.0,2.7562248706817627,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
wandbot,20251229_104003,299184289f896f12f2a056801aeb36b1522fc831,1680130820,"log query and timings, add emojis, limit available channels",dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wandbot,20251229_104003,e682264a6bc1a0cc2f7de364ae6a52db14a51c40,1680131246,add time import,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38012099266052246,0.0,0.38012099266052246,,,,,,,,,,
