project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
wemo,20251229_104329,4613a65459eb0e6aa358ed25760bac20d4c94237,1729928453,🚧 add main entrance and userdb api...,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.37319493293762207,0.0,0.37319493293762207,,,,,,,,,,
wemo,20251229_104329,4613a65459eb0e6aa358ed25760bac20d4c94237,1729928453,🚧 add main entrance and userdb api...,pymop,x,x,x,x,x,x,x,x,pymop,0.2871692180633545,0.6133055686950684,2.464812994003296,0.0,3.3652877807617188,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
wemo,20251229_104329,4613a65459eb0e6aa358ed25760bac20d4c94237,1729928453,🚧 add main entrance and userdb api...,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wemo,20251229_104329,d448e9a7371c3091ec6c757c03c0a25b7662091f,1729928602,🚧 add misc db,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4315781593322754,0.0,0.4315781593322754,,,,,,,,,,
wemo,20251229_104329,d448e9a7371c3091ec6c757c03c0a25b7662091f,1729928602,🚧 add misc db,pymop,x,x,x,x,x,x,x,x,pymop,0.2366478443145752,0.6409282684326172,2.125314235687256,0.0,3.0028903484344482,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,37,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=8<>Pydocs_UselessFileOpen=5,308,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=5<>File_MustClose=close=4<>File_MustClose=end=3<>Pydocs_UselessFileOpen=open=5<>Pydocs_UselessFileOpen=write=5
wemo,20251229_104329,d448e9a7371c3091ec6c757c03c0a25b7662091f,1729928602,🚧 add misc db,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wemo,20251229_104329,95fc501a1879b476f334679563d4f8804f975a56,1729928626,✅ add misc db test,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4391169548034668,0.0,0.4391169548034668,,,,,,,,,,
wemo,20251229_104329,95fc501a1879b476f334679563d4f8804f975a56,1729928626,✅ add misc db test,pymop,x,x,x,x,x,x,x,x,pymop,0.21666955947875977,0.6375553607940674,2.196868658065796,0.0,3.051093578338623,270,KeyInList=270,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,,40,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=10<>Pydocs_UselessFileOpen=6,313,KeyInList=list_contains=270<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=6<>File_MustClose=close=5<>File_MustClose=end=4<>Pydocs_UselessFileOpen=open=6<>Pydocs_UselessFileOpen=write=6
wemo,20251229_104329,95fc501a1879b476f334679563d4f8804f975a56,1729928626,✅ add misc db test,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
wemo,20251229_104329,5eb291c55f29736bc158318be0bf8dcb3bdf73b1,1729928730,🚧 add utils singleton decorator,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.47361111640930176,0.0,0.47361111640930176,,,,,,,,,,
