project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
xpra,20251229_103335,eb8fb1a56d51c0c114038fb726f478f0d0169e35,1755702430,moved xtest functions to their own bindings,original,3,9,0,0,0,148,8.09,1.207,original,0.0,0.0,8.945779085159302,0.0,8.945779085159302,,,,,,,,,,
xpra,20251229_103335,eb8fb1a56d51c0c114038fb726f478f0d0169e35,1755702430,moved xtest functions to their own bindings,pymop,3,9,0,0,0,148,4.14,1.207,pymop,0.20828604698181152,0.5708110332489014,5.903700828552246,0.0,6.682797908782959,2716,KeyInList=615;RandomMustUseSeed=2101,11,KeyInList=7;RandomMustUseSeed=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=268;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=84;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=82;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/enum.py:444=99;KeyInList:/xpra/log.py:462=6;KeyInList:/xpra/x11/common.py:134=73;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97=100;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105=1,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/xpra/log.py:462={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil'};KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};KeyInList:/usr/lib/python3.12/enum.py:444={'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp'}",505,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=13<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=310<>Pydocs_UselessFileOpen=156<>Pydocs_MustReleaseLock=1<>Pydocs_MustReleaseRLock=1<>RandomMustUseSeed=2,3520,KeyInList=list_contains=615<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=156<>File_MustClose=close=155<>File_MustClose=end=154<>Pydocs_UselessFileOpen=open=156<>Pydocs_UselessFileOpen=write=151<>Pydocs_UselessFileOpen=read=5<>Pydocs_MustReleaseLock=acquire=4<>Pydocs_MustReleaseLock=release=4<>Pydocs_MustReleaseRLock=acquire=2<>Pydocs_MustReleaseRLock=release=1<>RandomMustUseSeed=all=2101
xpra,20251229_103335,eb8fb1a56d51c0c114038fb726f478f0d0169e35,1755702430,moved xtest functions to their own bindings,dylin,3,9,0,0,0,147,11.95,1.207,dylin,44.02980661392212,0.0,13.625103235244751,0.3342294692993164,57.98913931846619,1,ItemInListAnalysis=1,1,ItemInListAnalysis=1,ItemInListAnalysis:/xpra/log.py:462=1,,,,,
xpra,20251229_103335,9704cc38f7c33576aa82fb7bc0b93aa3a4b0aa26,1755703499,#3871 move remaining pointer behaviour to device class,original,3,9,0,0,0,148,8.03,1.207,original,0.0,0.0,8.888078927993774,0.0,8.888078927993774,,,,,,,,,,
xpra,20251229_103335,9704cc38f7c33576aa82fb7bc0b93aa3a4b0aa26,1755703499,#3871 move remaining pointer behaviour to device class,pymop,3,9,0,0,0,148,4.17,1.207,pymop,0.18514585494995117,0.5864081382751465,5.939171314239502,0.0,6.7107253074646,2716,KeyInList=615;RandomMustUseSeed=2101,11,KeyInList=7;RandomMustUseSeed=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=268;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=84;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=82;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/enum.py:444=99;KeyInList:/xpra/log.py:462=6;KeyInList:/xpra/x11/common.py:134=73;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97=100;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105=1,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/xpra/log.py:462={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil'};KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};KeyInList:/usr/lib/python3.12/enum.py:444={'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp'}",505,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=13<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=310<>Pydocs_UselessFileOpen=156<>Pydocs_MustReleaseLock=1<>Pydocs_MustReleaseRLock=1<>RandomMustUseSeed=2,3520,KeyInList=list_contains=615<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=156<>File_MustClose=close=155<>File_MustClose=end=154<>Pydocs_UselessFileOpen=open=156<>Pydocs_UselessFileOpen=write=151<>Pydocs_UselessFileOpen=read=5<>Pydocs_MustReleaseLock=acquire=4<>Pydocs_MustReleaseLock=release=4<>Pydocs_MustReleaseRLock=acquire=2<>Pydocs_MustReleaseRLock=release=1<>RandomMustUseSeed=all=2101
xpra,20251229_103335,9704cc38f7c33576aa82fb7bc0b93aa3a4b0aa26,1755703499,#3871 move remaining pointer behaviour to device class,dylin,3,9,0,0,0,147,11.76,1.207,dylin,41.16142988204956,0.0,13.439909934997559,0.39785194396972656,54.999191761016846,1,ItemInListAnalysis=1,1,ItemInListAnalysis=1,ItemInListAnalysis:/xpra/log.py:462=1,,,,,
xpra,20251229_103335,3404e14b38196820f49a3629044d1287b6030b10,1755704028,#3871 move event cleanup to x11init,original,3,9,0,0,0,148,8.01,1.207,original,0.0,0.0,8.880192756652832,0.0,8.880192756652832,,,,,,,,,,
xpra,20251229_103335,3404e14b38196820f49a3629044d1287b6030b10,1755704028,#3871 move event cleanup to x11init,pymop,3,9,0,0,0,148,4.24,1.207,pymop,0.22338032722473145,0.5273096561431885,6.128153085708618,0.0,6.878843069076538,2716,KeyInList=615;RandomMustUseSeed=2101,11,KeyInList=7;RandomMustUseSeed=4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=268;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=84;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=82;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/enum.py:444=99;KeyInList:/xpra/log.py:462=6;KeyInList:/xpra/x11/common.py:134=73;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97=100;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27=1000;RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105=1,"KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil', 'tests/xpra/clients/test_DoS_client.py::test_DoS', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_intersection', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_eq', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_eq', 'tests/unittests/unit/net/HMAC_test.py::TestHMAC::test_hardcoded', 'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_subtract', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/x11/common_test.py::TestDisplayUtil::test_repr', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average', 'tests/unittests/unit/rectangle_test.py::TestRegion::test_contains'};KeyInList:/xpra/log.py:462={'tests/unittests/unit/codecs/nvutil_test.py::TestNVUtil::test_nvutil'};KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average', 'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};KeyInList:/usr/lib/python3.12/enum.py:444={'tests/unittests/unit/server/video_subregion_test.py::TestVideoSubregion::test_cases'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:97={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_time_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:26={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:27={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_calculate_timesize_weighted_average'};RandomMustUseSeed:/tests/unittests/unit/server/cystats_test.py:105={'tests/unittests/unit/server/cystats_test.py::TestCystats::test_logp'}",505,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=13<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=310<>Pydocs_UselessFileOpen=156<>Pydocs_MustReleaseLock=1<>Pydocs_MustReleaseRLock=1<>RandomMustUseSeed=2,3520,KeyInList=list_contains=615<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=156<>File_MustClose=close=155<>File_MustClose=end=154<>Pydocs_UselessFileOpen=open=156<>Pydocs_UselessFileOpen=write=151<>Pydocs_UselessFileOpen=read=5<>Pydocs_MustReleaseLock=acquire=4<>Pydocs_MustReleaseLock=release=4<>Pydocs_MustReleaseRLock=acquire=2<>Pydocs_MustReleaseRLock=release=1<>RandomMustUseSeed=all=2101
xpra,20251229_103335,3404e14b38196820f49a3629044d1287b6030b10,1755704028,#3871 move event cleanup to x11init,dylin,3,9,0,0,0,147,12.04,1.207,dylin,43.72940754890442,0.0,13.746227979660034,0.3083975315093994,57.78403306007385,1,ItemInListAnalysis=1,1,ItemInListAnalysis=1,ItemInListAnalysis:/xpra/log.py:462=1,,,,,
xpra,20251229_103335,c9eb9c0d1db09055c5b5c518255db325c19fb7b0,1755704806,#3871 finally remove x11 server core class,original,3,9,0,0,0,148,8.39,1.207,original,0.0,0.0,9.486408948898315,0.0,9.486408948898315,,,,,,,,,,
