timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_103053,c5fd7c922c3d6d7877855f4c08b82f79fcc64787,,1749052656,Add helper excelCellOrCellRangeRef() to make it easier on calling code to end up generating a valid Excel cell / cell-range reference.,,,x,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:/usr/lib/python3.12/typing.py:286;KeyInList:/usr/lib/python3.12/typing.py:290;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144;KeyInList:/usr/lib/python3.12/enum.py:444;KeyInList:/usr/lib/python3.12/typing.py:1862;KeyInList:/usr/lib/python3.12/mimetypes.py:102;KeyInList:/tests/test_conversionresults.py:67;KeyInList:/tests/test_conversionresults.py:68;KeyInList:/tests/test_conversionresults.py:69,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,0,
20251229_103053,b2ba0b93a0365ae545dcb75ca33a3000035ab6f2,c5fd7c922c3d6d7877855f4c08b82f79fcc64787,1749053500,ruff format,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/c5fd7c922c3d6d7877855f4c08b82f79fcc64787...b2ba0b93a0365ae545dcb75ca33a3000035ab6f2,1,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,8d13c6232c36fb707da202ce9efe1296000b6f3c,b2ba0b93a0365ae545dcb75ca33a3000035ab6f2,1749732259,"When calculating custom periods for a given year, derive the end of the custom period from the default period end using dateutil.relativedelta.relativedelta as it correctly handles leap years.",https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/b2ba0b93a0365ae545dcb75ca33a3000035ab6f2...8d13c6232c36fb707da202ce9efe1296000b6f3c,2,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,b86b7091d9137f2045662d65987d932211945ca8,8d13c6232c36fb707da202ce9efe1296000b6f3c,1749737495,Improve date parsing,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/8d13c6232c36fb707da202ce9efe1296000b6f3c...b86b7091d9137f2045662d65987d932211945ca8,2,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,44c59ea0b0e3fb6cdfd727a31c78cd6568bf243f,b86b7091d9137f2045662d65987d932211945ca8,1750150577,Make it possible to specify taxonomy entry point,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/b86b7091d9137f2045662d65987d932211945ca8...44c59ea0b0e3fb6cdfd727a31c78cd6568bf243f,3,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,62987609bc44f59a2d91a5a91b92b5d5ea05dfa7,44c59ea0b0e3fb6cdfd727a31c78cd6568bf243f,1750150590,Sort imports,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/44c59ea0b0e3fb6cdfd727a31c78cd6568bf243f...62987609bc44f59a2d91a5a91b92b5d5ea05dfa7,1,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,4cd1ceae1ae3fe8455eb9909752945aef9a6b0f0,62987609bc44f59a2d91a5a91b92b5d5ea05dfa7,1750154107,Clean up type confusion in getDocumentInformation(),https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/62987609bc44f59a2d91a5a91b92b5d5ea05dfa7...4cd1ceae1ae3fe8455eb9909752945aef9a6b0f0,1,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,4b18575b4cb3004cba3604c8891c408684997dec,4cd1ceae1ae3fe8455eb9909752945aef9a6b0f0,1750154700,Rename setPercentage to setPercentageValue,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/4cd1ceae1ae3fe8455eb9909752945aef9a6b0f0...4b18575b4cb3004cba3604c8891c408684997dec,2,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,65044ba9663b33a1c24866ca415c978ad7d6791e,4b18575b4cb3004cba3604c8891c408684997dec,1750154817,Improve / tidy-up validateBoolean,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/4b18575b4cb3004cba3604c8891c408684997dec...65044ba9663b33a1c24866ca415c978ad7d6791e,1,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
20251229_103053,97ae3db913cf1d1ea1c841187ad12c3e2a899451,65044ba9663b33a1c24866ca415c978ad7d6791e,1750154840,ruff format,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter/compare/65044ba9663b33a1c24866ca415c978ad7d6791e...97ae3db913cf1d1ea1c841187ad12c3e2a899451,1,x,0,,0,,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1,12,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=418;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=414;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=2;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=3;KeyInList:/usr/lib/python3.12/mimetypes.py:102=1850;KeyInList:/tests/test_conversionresults.py:67=1;KeyInList:/tests/test_conversionresults.py:68=1;KeyInList:/tests/test_conversionresults.py:69=1
