timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260217_232731,2d55484bea7839760ba0afd8612d3152babe1270,,1746783328,change to xml tool call,,,x,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:/usr/lib/python3.12/enum.py:444;KeyInList:/usr/lib/python3.12/typing.py:1862;KeyInList:/usr/lib/python3.12/logging/__init__.py:821;KeyInList:/usr/lib/python3.12/urllib/parse.py:397;KeyInList:/usr/lib/python3.12/urllib/parse.py:573;KeyInList:/usr/lib/python3.12/urllib/parse.py:575;KeyInList:/usr/lib/python3.12/gettext.py:490;KeyInList:/usr/lib/python3.12/gettext.py:496;KeyInList:/usr/lib/python3.12/importlib/abc.py:33;KeyInList:<frozen importlib._bootstrap>:1316;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522,0,,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,0,,
20260217_232731,225d0f8445ce5dc63c69187e01dc48c19208ead0,2d55484bea7839760ba0afd8612d3152babe1270,1746795383,Refactor config management and remove render config,https://github.com/JohanLi233/Viby/compare/2d55484bea7839760ba0afd8612d3152babe1270...225d0f8445ce5dc63c69187e01dc48c19208ead0,14,x,0,,0,,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
20260217_232731,daafe5b0dc89c2b797d0ad10e9f1ba40de08e98d,225d0f8445ce5dc63c69187e01dc48c19208ead0,1746797257,feat: enhance streaming response handling and update configurations,https://github.com/JohanLi233/Viby/compare/225d0f8445ce5dc63c69187e01dc48c19208ead0...daafe5b0dc89c2b797d0ad10e9f1ba40de08e98d,4,x,0,,0,,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
20260217_232731,b5d72f3a1dc350196d855d54786bf8411532705f,daafe5b0dc89c2b797d0ad10e9f1ba40de08e98d,1746798910,feat: Add model-specific max_tokens configuration and improve token handling,https://github.com/JohanLi233/Viby/compare/daafe5b0dc89c2b797d0ad10e9f1ba40de08e98d...b5d72f3a1dc350196d855d54786bf8411532705f,5,x,0,,0,,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
20260217_232731,6e913f35604671d5f7c669b41a53938a621b594c,b5d72f3a1dc350196d855d54786bf8411532705f,1746801273,refactoring,https://github.com/JohanLi233/Viby/compare/b5d72f3a1dc350196d855d54786bf8411532705f...6e913f35604671d5f7c669b41a53938a621b594c,14,x,0,,0,,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=3;KeyInList:/usr/lib/python3.12/gettext.py:496=15;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=7;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
20260217_232731,8fbdc70f766c8688b5adcc877d0c6e99fccad8fd,6e913f35604671d5f7c669b41a53938a621b594c,1746803445,perf: optimize lazy loading implementation for module imports,https://github.com/JohanLi233/Viby/compare/6e913f35604671d5f7c669b41a53938a621b594c...8fbdc70f766c8688b5adcc877d0c6e99fccad8fd,6,x,1,KeyInList:/viby/cli/main.py:135,0,,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,15,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=4;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
20260217_232731,5402bb9a36443b4973e492b1337ab9322fb37b04,8fbdc70f766c8688b5adcc877d0c6e99fccad8fd,1746803531,shell bug fix,https://github.com/JohanLi233/Viby/compare/8fbdc70f766c8688b5adcc877d0c6e99fccad8fd...5402bb9a36443b4973e492b1337ab9322fb37b04,1,x,0,,0,,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,KeyInList:/viby/cli/main.py:135<=KeyInList:/viby/cli/main.py:135
20260217_232731,6fb7e4171eb3a08134e4fe0d7c1a996d37d22835,5402bb9a36443b4973e492b1337ab9322fb37b04,1746804355,add usage tokens display,https://github.com/JohanLi233/Viby/compare/5402bb9a36443b4973e492b1337ab9322fb37b04...6fb7e4171eb3a08134e4fe0d7c1a996d37d22835,7,x,0,,0,,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,KeyInList:/viby/cli/main.py:135<=KeyInList:/viby/cli/main.py:135
20260217_232731,54136fb2a98005172eafbc50ebc73cade7c4e516,6fb7e4171eb3a08134e4fe0d7c1a996d37d22835,1746857314,remove auto -s arg,https://github.com/JohanLi233/Viby/compare/6fb7e4171eb3a08134e4fe0d7c1a996d37d22835...54136fb2a98005172eafbc50ebc73cade7c4e516,13,x,0,,0,,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=391;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,KeyInList:/viby/cli/main.py:135<=KeyInList:/viby/cli/main.py:135
20260217_232731,cf6b06772c71bf4b268813cadce5440fcaad042e,54136fb2a98005172eafbc50ebc73cade7c4e516,1746859915,automatically invoke shell,https://github.com/JohanLi233/Viby/compare/54136fb2a98005172eafbc50ebc73cade7c4e516...cf6b06772c71bf4b268813cadce5440fcaad042e,6,x,0,,0,,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,16,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=78;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=70;KeyInList:/usr/lib/python3.12/enum.py:444=621;KeyInList:/usr/lib/python3.12/typing.py:1862=80;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/viby/cli/main.py:135=5;KeyInList:/usr/lib/python3.12/gettext.py:490=26;KeyInList:/usr/lib/python3.12/gettext.py:496=130;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=9;KeyInList:/usr/lib/python3.12/logging/__init__.py:821=3;KeyInList:/usr/lib/python3.12/urllib/parse.py:397=40;KeyInList:/usr/lib/python3.12/urllib/parse.py:573=20;KeyInList:/usr/lib/python3.12/urllib/parse.py:575=20;KeyInList:/usr/lib/python3.12/importlib/abc.py:33=2;File_MustClose:/lib/python3.12/site-packages/pythonmop/plugin_entry.py:522=1,
