timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260217_231309,dc5359ba469db94548958bf3fe174ceb89845eaa,,1727875944,fix version release docs,,,0.0,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1262;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1260;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,0,,
20260217_231309,547bd2078577905b035b03b5d29a5fcccf022adc,dc5359ba469db94548958bf3fe174ceb89845eaa,1727878242,new version,https://github.com/HGX-Team/hypergraphx/compare/dc5359ba469db94548958bf3fe174ceb89845eaa...547bd2078577905b035b03b5d29a5fcccf022adc,1,0.0,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1262;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1260;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1262;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1260;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231309,42ca6be0e4171c9900b7aeb431c387cc923ba7af,547bd2078577905b035b03b5d29a5fcccf022adc,1730210665,update metadata organization,https://github.com/HGX-Team/hypergraphx/compare/547bd2078577905b035b03b5d29a5fcccf022adc...42ca6be0e4171c9900b7aeb431c387cc923ba7af,6,0.0,3,KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1262;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1260;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231309,67ef865ef91cda6deaa68b3d6102d4ff40f5b56b,42ca6be0e4171c9900b7aeb431c387cc923ba7af,1730212081,fix max order computation,https://github.com/HGX-Team/hypergraphx/compare/42ca6be0e4171c9900b7aeb431c387cc923ba7af...67ef865ef91cda6deaa68b3d6102d4ff40f5b56b,1,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231309,bd75e8c9afc47d4a1b4751fe9d55b5d0c8325c14,67ef865ef91cda6deaa68b3d6102d4ff40f5b56b,1730374369,Fix norm vector (#34),https://github.com/HGX-Team/hypergraphx/compare/67ef865ef91cda6deaa68b3d6102d4ff40f5b56b...bd75e8c9afc47d4a1b4751fe9d55b5d0c8325c14,1,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231310,faa0720f0a2ae335d3775159f3a9bf7d11b069b2,bd75e8c9afc47d4a1b4751fe9d55b5d0c8325c14,1731078932,Update directed hypergraphs and add hyperedge signature vector,https://github.com/HGX-Team/hypergraphx/compare/bd75e8c9afc47d4a1b4751fe9d55b5d0c8325c14...faa0720f0a2ae335d3775159f3a9bf7d11b069b2,8,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1340;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1338;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1316;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1314;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231310,a4684756b816f91c9c4829636f21912419b32a80,faa0720f0a2ae335d3775159f3a9bf7d11b069b2,1731079166,Fix bugs in motifs,https://github.com/HGX-Team/hypergraphx/compare/faa0720f0a2ae335d3775159f3a9bf7d11b069b2...a4684756b816f91c9c4829636f21912419b32a80,2,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1340;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1338;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1340;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1338;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231310,508e0807f33e7e9ec3e19fcf8e08fe68fd3571d5,a4684756b816f91c9c4829636f21912419b32a80,1731080040,Add tests for dfs and bfs,https://github.com/HGX-Team/hypergraphx/compare/a4684756b816f91c9c4829636f21912419b32a80...508e0807f33e7e9ec3e19fcf8e08fe68fd3571d5,2,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1388;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1386;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1340;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1338;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231310,510fce78cc8f126f2964c4579f10e8126e4e9958,508e0807f33e7e9ec3e19fcf8e08fe68fd3571d5,1731171315,Directed hypergraphs motifs implementation,https://github.com/HGX-Team/hypergraphx/compare/508e0807f33e7e9ec3e19fcf8e08fe68fd3571d5...510fce78cc8f126f2964c4579f10e8126e4e9958,4,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1388;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1386;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1388;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1386;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
20260217_231310,5647f9b6e4fb1087bd3e765165cd33715736d364,510fce78cc8f126f2964c4579f10e8126e4e9958,1731255522,Fix dir config model,https://github.com/HGX-Team/hypergraphx/compare/510fce78cc8f126f2964c4579f10e8126e4e9958...5647f9b6e4fb1087bd3e765165cd33715736d364,1,0.0,0,,0,,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1388;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1386;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,8,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=1388;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=1386;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:18=1;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:26=3;KeyInList:/tests/directed_hypergraph/test_directed_hypergraph.py:79=1;Pydocs_UselessFileOpen:/specs-new/Pydocs_UselessFileOpen.py:117=7,
