timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_102944,0eec3cb3a98824b6240aa94f8d65bfbbd32166eb,,1675611305,feat(types): adding key and header types,,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,0,
20251229_102944,ea3b01e16303e20a7fe4ca698232e03c8c4f3a2e,0eec3cb3a98824b6240aa94f8d65bfbbd32166eb,1675613208,"feat(api): design jws, jwe, jwk, jwt interface",https://github.com/authlib/joserfc/compare/0eec3cb3a98824b6240aa94f8d65bfbbd32166eb...ea3b01e16303e20a7fe4ca698232e03c8c4f3a2e,7,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_102944,30e5869aa41ed18988aced5d1012ec83aa7e8602,ea3b01e16303e20a7fe4ca698232e03c8c4f3a2e,1675684511,feat(jwk): add thumbprint to generate kid,https://github.com/authlib/joserfc/compare/ea3b01e16303e20a7fe4ca698232e03c8c4f3a2e...30e5869aa41ed18988aced5d1012ec83aa7e8602,6,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_102944,dd8c4634894a3d737ee0746e5e3e2fc9fe356cc6,30e5869aa41ed18988aced5d1012ec83aa7e8602,1675684552,ref(jwk): improve OctKey,https://github.com/authlib/joserfc/compare/30e5869aa41ed18988aced5d1012ec83aa7e8602...dd8c4634894a3d737ee0746e5e3e2fc9fe356cc6,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_102945,9dfdeabcc57770896cf025adb2a220a223af6066,dd8c4634894a3d737ee0746e5e3e2fc9fe356cc6,1675686034,fix(jwk): OctKey.as_dict with importted JWK,https://github.com/authlib/joserfc/compare/dd8c4634894a3d737ee0746e5e3e2fc9fe356cc6...9dfdeabcc57770896cf025adb2a220a223af6066,5,54.98,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_102945,a29c7d65f299477e2b64657e04d75ae41fd668b9,9dfdeabcc57770896cf025adb2a220a223af6066,1675687333,feat(jwk): adding RSAKey,https://github.com/authlib/joserfc/compare/9dfdeabcc57770896cf025adb2a220a223af6066...a29c7d65f299477e2b64657e04d75ae41fd668b9,4,55.45,3,KeyInList:/usr/lib/python3.12/enum.py:444;KeyInList:/usr/lib/python3.12/typing.py:286;KeyInList:/usr/lib/python3.12/typing.py:290,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24
20251229_102945,50e551ee03eedd3035ab72d6e754c1952d5aacd0,a29c7d65f299477e2b64657e04d75ae41fd668b9,1675732089,ref(jwk): move key definitions into rfc7517,https://github.com/authlib/joserfc/compare/a29c7d65f299477e2b64657e04d75ae41fd668b9...50e551ee03eedd3035ab72d6e754c1952d5aacd0,3,55.63,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1
20251229_102945,2560808de4056c8c4f27c14f7b848eb69800efe2,50e551ee03eedd3035ab72d6e754c1952d5aacd0,1675732261,fix(jwk): importing path,https://github.com/authlib/joserfc/compare/50e551ee03eedd3035ab72d6e754c1952d5aacd0...2560808de4056c8c4f27c14f7b848eb69800efe2,4,55.769999999999996,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1
20251229_102945,65bf2b088996d6dd2614e5db5f1c26b9149fa15b,2560808de4056c8c4f27c14f7b848eb69800efe2,1675780452,"feat(jwk): added RSAKey, added .generate_key",https://github.com/authlib/joserfc/compare/2560808de4056c8c4f27c14f7b848eb69800efe2...65bf2b088996d6dd2614e5db5f1c26b9149fa15b,6,55.2,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=44;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=42;KeyInList:/usr/lib/python3.12/enum.py:444=56;KeyInList:/usr/lib/python3.12/typing.py:286=3;KeyInList:/usr/lib/python3.12/typing.py:290=3,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30;KeyInList:/usr/lib/python3.12/enum.py:444=21;KeyInList:/usr/lib/python3.12/typing.py:286=1;KeyInList:/usr/lib/python3.12/typing.py:290=1
20251229_102945,a00e564b1f84bcd65c73e135b967521df84af028,65bf2b088996d6dd2614e5db5f1c26b9149fa15b,1675864305,"feat(jwk): added ECKey, added more methods on keys",https://github.com/authlib/joserfc/compare/65bf2b088996d6dd2614e5db5f1c26b9149fa15b...a00e564b1f84bcd65c73e135b967521df84af028,9,50.59,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:/usr/lib/python3.12/enum.py:444=56;KeyInList:/usr/lib/python3.12/typing.py:286=3;KeyInList:/usr/lib/python3.12/typing.py:290=3,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=44;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=42;KeyInList:/usr/lib/python3.12/enum.py:444=56;KeyInList:/usr/lib/python3.12/typing.py:286=3;KeyInList:/usr/lib/python3.12/typing.py:290=3
