project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
AgenticART,20260324_134039,188704c36f399f1d4e6026638a952b20b88b77be,1767478817,"Revert ""feat(dojo): add training safety blocklist to executor""",False,original,44,2,0,0,0,0,16.63,28.48,original,0.0,0.0,17.293579578399658,0.0,17.293579578399658,,,,,,,,,,
AgenticART,20260324_134039,188704c36f399f1d4e6026638a952b20b88b77be,1767478817,"Revert ""feat(dojo): add training safety blocklist to executor""",False,pymop,44,2,0,0,0,0,35.41,28.48,pymop,1.0244357585906982,1.019517183303833,42.95004749298096,0.0,44.99400043487549,0.0,,0.0,,,,2611.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=312<>UnsafeListIterator=1423<>UnsafeDictIterator=857<>PyDocs_MustSortBeforeGroupBy=4<>PyDocs_UnsafeIterUseAfterTee=2,442468.0,BuiltinAllAnalysis=violation=35975<>ComparisonBehaviorAnalysis=eq_end=105116<>InPlaceSortAnalysis=list_used=4857<>InPlaceSortAnalysis=list_sorted=201<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=105116<>NonFinitesAnalysis=non_finite_op=35975<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=218<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=35984<>WrongTypeAddedAnalysis=check_insert=35984<>WrongTypeAddedAnalysis=check_extend=35984<>WrongTypeAddedAnalysis=check_add=35984<>WrongTypeAddedAnalysis=check_add_assign=218<>FileClosedAnalysis=open=157<>FileClosedAnalysis=close=156<>FileClosedAnalysis=end=155<>UnsafeListIterator=createList=5060<>UnsafeListIterator=updateList=4162<>UnsafeDictIterator=createDict=1072<>UnsafeDictIterator=updateDict=43<>PyDocs_MustSortBeforeGroupBy=sort=4<>PyDocs_UnsafeIterUseAfterTee=createIter=2
AgenticART,20260324_134039,188704c36f399f1d4e6026638a952b20b88b77be,1767478817,"Revert ""feat(dojo): add training safety blocklist to executor""",False,pymop_libs,44,2,0,0,0,0,674.55,28.48,pymop_libs,12.081766128540039,0.9328584671020508,690.5839741230011,0.0,703.5985987186432,15.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=11;Pydocs_MustShutdownBeforeCloseSocket=2,3.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=1;Pydocs_MustShutdownBeforeCloseSocket=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167={'tests/test_agent.py::TestPlanner::test_create_plan', 'tests/test_reconnaissance.py::TestDeviceEnumerator::test_enumerate_device', 'tests/test_scanning.py::TestPermissionAnalyzer::test_find_apps_with_permission', 'tests/test_scanning.py::TestVulnerabilityScanner::test_security_patch_check', 'tests/test_agent.py::TestSummarizer::test_summarize', 'tests/test_reconnaissance.py::TestADBConnection::test_get_prop', 'tests/test_agent.py::TestScriptGenerator::test_generate_script', 'tests/test_agent.py::TestPlanner::test_get_next_action', 'tests/test_agent.py::TestLLMClient::test_create_invalid_provider', 'tests/test_reconnaissance.py::TestDeviceEnumerator::test_root_detection_magisk', 'tests/test_agent.py::TestSummarizer::test_context_maintenance'};Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81={'tests/test_feedback_loop.py::test_full_chain_dry_run', 'tests/test_feedback_loop.py::test_script_regeneration'}",7860.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5873<>UnsafeDictIterator=1612<>ArgParse_Parent=1<>FileClosedAnalysis=306<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>PyDocs_MustSortBeforeGroupBy=4<>Requests_MustCloseSession=4<>Requests_PreparedRequestInit=2<>Pydocs_HTTPConnectionSendSequence=2<>Pydocs_MustCloseSocket=4<>Pydocs_MustShutdownBeforeCloseSocket=2<>PyDocs_UnsafeIterUseAfterTee=2,8462234.0,BuiltinAllAnalysis=violation=1056936<>ComparisonBehaviorAnalysis=ne_end=125451<>ComparisonBehaviorAnalysis=eq_end=674573<>InPlaceSortAnalysis=list_used=37544<>InPlaceSortAnalysis=list_sorted=358<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=800006<>NonFinitesAnalysis=non_finite_op=1056772<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=42546<>StringStripAnalysis=strip=140246<>WrongTypeAddedAnalysis=check_append=1058710<>WrongTypeAddedAnalysis=check_insert=1058710<>WrongTypeAddedAnalysis=check_extend=1058710<>WrongTypeAddedAnalysis=check_add=1058710<>WrongTypeAddedAnalysis=check_add_assign=42546<>UnsafeListIterator=createList=13818<>UnsafeListIterator=updateList=1127<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=1809<>UnsafeDictIterator=updateDict=17146<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=154<>FileClosedAnalysis=close=153<>FileClosedAnalysis=end=152<>Pydocs_MustReleaseLock=acquire=107978<>Pydocs_MustReleaseLock=release=107978<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustSortBeforeGroupBy=sort=4<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=close=2<>Requests_MustCloseSession=end=2<>Requests_PreparedRequestInit=initialization=2<>Requests_PreparedRequestInit=preparation=2<>Requests_PreparedRequestInit=manual_prepare=16<>Pydocs_HTTPConnectionSendSequence=connect=2<>Pydocs_HTTPConnectionSendSequence=putrequest=2<>Pydocs_HTTPConnectionSendSequence=putheader=14<>Pydocs_HTTPConnectionSendSequence=endheaders=2<>Pydocs_MustCloseSocket=init=2<>Pydocs_MustCloseSocket=close=2<>Pydocs_MustCloseSocket=end=2<>Pydocs_MustShutdownBeforeCloseSocket=close=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2
AgenticART,20260324_134039,188704c36f399f1d4e6026638a952b20b88b77be,1767478817,"Revert ""feat(dojo): add training safety blocklist to executor""",False,dylin,x,x,x,x,x,x,x,28.48,dylin,x,0.0,x,x,x,,,,,,,,,,
AgenticART,20260324_134039,96eaf8358e71a6fdea18e5e22ed713692f505404,1767479131,feat(dojo): add training safety blocklist to executor,False,original,44,2,0,0,0,0,17.98,28.48,original,0.0,0.0,18.715089559555054,0.0,18.715089559555054,,,,,,,,,,
AgenticART,20260324_134039,96eaf8358e71a6fdea18e5e22ed713692f505404,1767479131,feat(dojo): add training safety blocklist to executor,False,pymop,44,2,0,0,0,0,35.41,28.48,pymop,1.1192662715911865,0.9168851375579834,42.97785544395447,0.0,45.01400685310364,0.0,,0.0,,,,2719.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=312<>UnsafeListIterator=1504<>UnsafeDictIterator=885<>PyDocs_MustSortBeforeGroupBy=3<>PyDocs_UnsafeIterUseAfterTee=2,442500.0,BuiltinAllAnalysis=violation=35979<>ComparisonBehaviorAnalysis=eq_end=105120<>InPlaceSortAnalysis=list_used=4857<>InPlaceSortAnalysis=list_sorted=201<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=105120<>NonFinitesAnalysis=non_finite_op=35979<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=218<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=35988<>WrongTypeAddedAnalysis=check_insert=35988<>WrongTypeAddedAnalysis=check_extend=35988<>WrongTypeAddedAnalysis=check_add=35988<>WrongTypeAddedAnalysis=check_add_assign=218<>FileClosedAnalysis=open=157<>FileClosedAnalysis=close=156<>FileClosedAnalysis=end=155<>UnsafeListIterator=createList=5060<>UnsafeListIterator=updateList=4162<>UnsafeDictIterator=createDict=1072<>UnsafeDictIterator=updateDict=43<>PyDocs_MustSortBeforeGroupBy=sort=4<>PyDocs_UnsafeIterUseAfterTee=createIter=2
AgenticART,20260324_134039,96eaf8358e71a6fdea18e5e22ed713692f505404,1767479131,feat(dojo): add training safety blocklist to executor,False,pymop_libs,44,2,0,0,0,0,691.30,28.48,pymop_libs,12.689284086227417,0.8748798370361328,707.4193999767303,0.0,720.9835638999939,14.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=11;Pydocs_MustShutdownBeforeCloseSocket=2,3.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=1;Pydocs_MustShutdownBeforeCloseSocket=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167={'tests/test_agent.py::TestPlanner::test_create_plan', 'tests/test_reconnaissance.py::TestDeviceEnumerator::test_enumerate_device', 'tests/test_scanning.py::TestPermissionAnalyzer::test_find_apps_with_permission', 'tests/test_scanning.py::TestVulnerabilityScanner::test_security_patch_check', 'tests/test_agent.py::TestSummarizer::test_summarize', 'tests/test_reconnaissance.py::TestADBConnection::test_get_prop', 'tests/test_agent.py::TestScriptGenerator::test_generate_script', 'tests/test_agent.py::TestPlanner::test_get_next_action', 'tests/test_agent.py::TestLLMClient::test_create_invalid_provider', 'tests/test_reconnaissance.py::TestDeviceEnumerator::test_root_detection_magisk', 'tests/test_agent.py::TestSummarizer::test_context_maintenance'};Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81={'tests/test_feedback_loop.py::test_full_chain_dry_run', 'tests/test_feedback_loop.py::test_script_regeneration'}",7771.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5809<>UnsafeDictIterator=1587<>ArgParse_Parent=1<>FileClosedAnalysis=306<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>PyDocs_MustSortBeforeGroupBy=4<>Requests_MustCloseSession=4<>Requests_PreparedRequestInit=2<>Pydocs_HTTPConnectionSendSequence=2<>Pydocs_MustCloseSocket=4<>Pydocs_MustShutdownBeforeCloseSocket=2<>PyDocs_UnsafeIterUseAfterTee=2,8461766.0,BuiltinAllAnalysis=violation=1056866<>ComparisonBehaviorAnalysis=ne_end=125451<>ComparisonBehaviorAnalysis=eq_end=674577<>InPlaceSortAnalysis=list_used=37544<>InPlaceSortAnalysis=list_sorted=358<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=800010<>NonFinitesAnalysis=non_finite_op=1056702<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=42546<>StringStripAnalysis=strip=140246<>WrongTypeAddedAnalysis=check_append=1058626<>WrongTypeAddedAnalysis=check_insert=1058626<>WrongTypeAddedAnalysis=check_extend=1058626<>WrongTypeAddedAnalysis=check_add=1058626<>WrongTypeAddedAnalysis=check_add_assign=42546<>UnsafeListIterator=createList=13818<>UnsafeListIterator=updateList=1127<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=1809<>UnsafeDictIterator=updateDict=17146<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=154<>FileClosedAnalysis=close=153<>FileClosedAnalysis=end=152<>Pydocs_MustReleaseLock=acquire=107978<>Pydocs_MustReleaseLock=release=107978<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustSortBeforeGroupBy=sort=4<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=close=2<>Requests_MustCloseSession=end=2<>Requests_PreparedRequestInit=initialization=2<>Requests_PreparedRequestInit=preparation=2<>Requests_PreparedRequestInit=manual_prepare=16<>Pydocs_HTTPConnectionSendSequence=connect=2<>Pydocs_HTTPConnectionSendSequence=putrequest=2<>Pydocs_HTTPConnectionSendSequence=putheader=14<>Pydocs_HTTPConnectionSendSequence=endheaders=2<>Pydocs_MustCloseSocket=init=2<>Pydocs_MustCloseSocket=close=2<>Pydocs_MustCloseSocket=end=2<>Pydocs_MustShutdownBeforeCloseSocket=close=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2
AgenticART,20260324_134039,96eaf8358e71a6fdea18e5e22ed713692f505404,1767479131,feat(dojo): add training safety blocklist to executor,False,dylin,x,x,x,x,x,x,x,28.48,dylin,x,0.0,x,x,x,,,,,,,,,,
AgenticART,20260324_134039,1ccbb43c6fd3587dd6c186f3c9e95a2e6c4ba413,1767479388,fix: restore Challenge import and fix import formatting,False,original,44,2,0,0,0,0,17.31,28.48,original,0.0,0.0,17.998498678207397,0.0,17.998498678207397,,,,,,,,,,
AgenticART,20260324_134039,1ccbb43c6fd3587dd6c186f3c9e95a2e6c4ba413,1767479388,fix: restore Challenge import and fix import formatting,False,pymop,44,2,0,0,0,0,33.66,28.48,pymop,1.1149976253509521,0.9000246524810791,41.51925015449524,0.0,43.53427243232727,0.0,,0.0,,,,2679.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=312<>UnsafeListIterator=1474<>UnsafeDictIterator=874<>PyDocs_MustSortBeforeGroupBy=4<>PyDocs_UnsafeIterUseAfterTee=2,442468.0,BuiltinAllAnalysis=violation=35975<>ComparisonBehaviorAnalysis=eq_end=105116<>InPlaceSortAnalysis=list_used=4857<>InPlaceSortAnalysis=list_sorted=201<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=105116<>NonFinitesAnalysis=non_finite_op=35975<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=218<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=35984<>WrongTypeAddedAnalysis=check_insert=35984<>WrongTypeAddedAnalysis=check_extend=35984<>WrongTypeAddedAnalysis=check_add=35984<>WrongTypeAddedAnalysis=check_add_assign=218<>FileClosedAnalysis=open=157<>FileClosedAnalysis=close=156<>FileClosedAnalysis=end=155<>UnsafeListIterator=createList=5060<>UnsafeListIterator=updateList=4162<>UnsafeDictIterator=createDict=1072<>UnsafeDictIterator=updateDict=43<>PyDocs_MustSortBeforeGroupBy=sort=4<>PyDocs_UnsafeIterUseAfterTee=createIter=2
