project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
BDNewsPaperScraper,20260324_134206,4a330eb998d68fd5100faf9fc039e21591a29476,1766863403,feat: increase DOWNLOAD_TIMEOUT to 180s for improved spider success rate,False,original,72,0,0,0,0,0,6.87,22.040000000000003,original,0.0,0.0,8.647099494934082,0.0,8.647099494934082,,,,,,,,,,
BDNewsPaperScraper,20260324_134206,4a330eb998d68fd5100faf9fc039e21591a29476,1766863403,feat: increase DOWNLOAD_TIMEOUT to 180s for improved spider success rate,False,pymop,72,0,0,0,0,0,195.78,22.040000000000003,pymop,3.0874416828155518,0.6672499179840088,203.41339421272278,0.0,207.16808581352234,65.0,RandomMustUseSeed=65,5.0,RandomMustUseSeed=5,RandomMustUseSeed:/BDNewsPaper/middlewares.py:179=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:107=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113=1,"RandomMustUseSeed:/BDNewsPaper/middlewares.py:179={'tests/test_middlewares.py::TestSmartRetryMiddleware::test_429_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_500_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_exponential_backoff_delay'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:107={'tests/test_middlewares.py::TestUserAgentMiddleware::test_rotates_user_agents', 'tests/test_middlewares.py::TestUserAgentMiddleware::test_sets_user_agent', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73={'tests/test_smoke.py::TestMiddlewareIntegration::test_stealth_headers_middleware_init', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_response_chain_all'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'}",3466.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=2780<>UnsafeListIterator=309<>UnsafeDictIterator=352<>RandomMustUseSeed=10<>PyDocs_UnsafeIterUseAfterTee=2,39002.0,BuiltinAllAnalysis=violation=5470<>ComparisonBehaviorAnalysis=eq_end=295<>ComparisonBehaviorAnalysis=ne_end=32<>InPlaceSortAnalysis=list_used=172<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=327<>NonFinitesAnalysis=non_finite_op=5470<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=40<>StringStripAnalysis=strip=31<>WrongTypeAddedAnalysis=check_append=5480<>WrongTypeAddedAnalysis=check_insert=5480<>WrongTypeAddedAnalysis=check_extend=5480<>WrongTypeAddedAnalysis=check_add=5480<>WrongTypeAddedAnalysis=check_add_assign=40<>FileClosedAnalysis=open=1391<>FileClosedAnalysis=close=1390<>FileClosedAnalysis=end=1389<>UnsafeListIterator=createList=347<>UnsafeListIterator=updateList=193<>UnsafeDictIterator=createDict=375<>UnsafeDictIterator=updateDict=50<>RandomMustUseSeed=all=65<>PyDocs_UnsafeIterUseAfterTee=createIter=2
BDNewsPaperScraper,20260324_134206,4a330eb998d68fd5100faf9fc039e21591a29476,1766863403,feat: increase DOWNLOAD_TIMEOUT to 180s for improved spider success rate,False,pymop_libs,x,x,x,x,x,x,x,22.040000000000003,pymop_libs,x,x,x,0.0,x,65.0,RandomMustUseSeed=65,5.0,RandomMustUseSeed=5,RandomMustUseSeed:/BDNewsPaper/middlewares.py:179=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:107=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113=1,"RandomMustUseSeed:/BDNewsPaper/middlewares.py:179={'tests/test_middlewares.py::TestSmartRetryMiddleware::test_429_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_500_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_exponential_backoff_delay'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:107={'tests/test_middlewares.py::TestUserAgentMiddleware::test_rotates_user_agents', 'tests/test_middlewares.py::TestUserAgentMiddleware::test_sets_user_agent', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73={'tests/test_smoke.py::TestMiddlewareIntegration::test_stealth_headers_middleware_init', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_response_chain_all'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'}",3466.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=2780<>UnsafeListIterator=309<>UnsafeDictIterator=352<>RandomMustUseSeed=10<>PyDocs_UnsafeIterUseAfterTee=2,39002.0,BuiltinAllAnalysis=violation=5470<>ComparisonBehaviorAnalysis=eq_end=295<>ComparisonBehaviorAnalysis=ne_end=32<>InPlaceSortAnalysis=list_used=172<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=327<>NonFinitesAnalysis=non_finite_op=5470<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=40<>StringStripAnalysis=strip=31<>WrongTypeAddedAnalysis=check_append=5480<>WrongTypeAddedAnalysis=check_insert=5480<>WrongTypeAddedAnalysis=check_extend=5480<>WrongTypeAddedAnalysis=check_add=5480<>WrongTypeAddedAnalysis=check_add_assign=40<>FileClosedAnalysis=open=1391<>FileClosedAnalysis=close=1390<>FileClosedAnalysis=end=1389<>UnsafeListIterator=createList=347<>UnsafeListIterator=updateList=193<>UnsafeDictIterator=createDict=375<>UnsafeDictIterator=updateDict=50<>RandomMustUseSeed=all=65<>PyDocs_UnsafeIterUseAfterTee=createIter=2
BDNewsPaperScraper,20260324_134206,4a330eb998d68fd5100faf9fc039e21591a29476,1766863403,feat: increase DOWNLOAD_TIMEOUT to 180s for improved spider success rate,False,dylin,x,x,x,x,x,x,x,22.040000000000003,dylin,x,0.0,x,x,x,,,,,,,,,,
BDNewsPaperScraper,20260324_134206,508b191f911b4618720c0b0864a71a7fca226c95,1766864955,"refactor: remove Linux-only quickstart.sh, keep only cross-platform quickstart.py",False,original,86,0,0,0,0,0,8.57,22.83,original,0.0,0.0,10.747266054153442,0.0,10.747266054153442,,,,,,,,,,
BDNewsPaperScraper,20260324_134206,508b191f911b4618720c0b0864a71a7fca226c95,1766864955,"refactor: remove Linux-only quickstart.sh, keep only cross-platform quickstart.py",False,pymop,86,0,0,0,0,0,199.58,22.83,pymop,3.1164093017578125,0.7636163234710693,207.31412553787231,0.0,211.1941511631012,65.0,RandomMustUseSeed=65,5.0,RandomMustUseSeed=5,RandomMustUseSeed:/BDNewsPaper/middlewares.py:179=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:107=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113=1,"RandomMustUseSeed:/BDNewsPaper/middlewares.py:179={'tests/test_middlewares.py::TestSmartRetryMiddleware::test_429_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_500_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_exponential_backoff_delay'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:107={'tests/test_middlewares.py::TestUserAgentMiddleware::test_rotates_user_agents', 'tests/test_middlewares.py::TestUserAgentMiddleware::test_sets_user_agent', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73={'tests/test_smoke.py::TestMiddlewareIntegration::test_stealth_headers_middleware_init', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_response_chain_all'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'}",3516.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=2794<>UnsafeListIterator=330<>UnsafeDictIterator=367<>RandomMustUseSeed=10<>PyDocs_UnsafeIterUseAfterTee=2,40818.0,BuiltinAllAnalysis=violation=5749<>ComparisonBehaviorAnalysis=eq_end=303<>ComparisonBehaviorAnalysis=ne_end=35<>InPlaceSortAnalysis=list_used=210<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=338<>NonFinitesAnalysis=non_finite_op=5749<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=40<>StringStripAnalysis=strip=48<>WrongTypeAddedAnalysis=check_append=5763<>WrongTypeAddedAnalysis=check_insert=5763<>WrongTypeAddedAnalysis=check_extend=5763<>WrongTypeAddedAnalysis=check_add=5763<>WrongTypeAddedAnalysis=check_add_assign=40<>FileClosedAnalysis=open=1398<>FileClosedAnalysis=close=1397<>FileClosedAnalysis=end=1396<>UnsafeListIterator=createList=361<>UnsafeListIterator=updateList=197<>UnsafeDictIterator=createDict=385<>UnsafeDictIterator=updateDict=50<>RandomMustUseSeed=all=65<>PyDocs_UnsafeIterUseAfterTee=createIter=2
BDNewsPaperScraper,20260324_134206,508b191f911b4618720c0b0864a71a7fca226c95,1766864955,"refactor: remove Linux-only quickstart.sh, keep only cross-platform quickstart.py",False,pymop_libs,x,x,x,x,x,x,x,22.83,pymop_libs,x,x,x,0.0,x,65.0,RandomMustUseSeed=65,5.0,RandomMustUseSeed=5,RandomMustUseSeed:/BDNewsPaper/middlewares.py:179=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:107=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113=1,"RandomMustUseSeed:/BDNewsPaper/middlewares.py:179={'tests/test_middlewares.py::TestSmartRetryMiddleware::test_429_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_500_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_exponential_backoff_delay'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:107={'tests/test_middlewares.py::TestUserAgentMiddleware::test_rotates_user_agents', 'tests/test_middlewares.py::TestUserAgentMiddleware::test_sets_user_agent', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73={'tests/test_smoke.py::TestMiddlewareIntegration::test_stealth_headers_middleware_init', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_response_chain_all'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'}",3516.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=2794<>UnsafeListIterator=330<>UnsafeDictIterator=367<>RandomMustUseSeed=10<>PyDocs_UnsafeIterUseAfterTee=2,40818.0,BuiltinAllAnalysis=violation=5749<>ComparisonBehaviorAnalysis=eq_end=303<>ComparisonBehaviorAnalysis=ne_end=35<>InPlaceSortAnalysis=list_used=210<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=338<>NonFinitesAnalysis=non_finite_op=5749<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=40<>StringStripAnalysis=strip=48<>WrongTypeAddedAnalysis=check_append=5763<>WrongTypeAddedAnalysis=check_insert=5763<>WrongTypeAddedAnalysis=check_extend=5763<>WrongTypeAddedAnalysis=check_add=5763<>WrongTypeAddedAnalysis=check_add_assign=40<>FileClosedAnalysis=open=1398<>FileClosedAnalysis=close=1397<>FileClosedAnalysis=end=1396<>UnsafeListIterator=createList=361<>UnsafeListIterator=updateList=197<>UnsafeDictIterator=createDict=385<>UnsafeDictIterator=updateDict=50<>RandomMustUseSeed=all=65<>PyDocs_UnsafeIterUseAfterTee=createIter=2
BDNewsPaperScraper,20260324_134206,508b191f911b4618720c0b0864a71a7fca226c95,1766864955,"refactor: remove Linux-only quickstart.sh, keep only cross-platform quickstart.py",False,dylin,x,x,x,x,x,x,x,22.83,dylin,x,0.0,x,x,x,,,,,,,,,,
BDNewsPaperScraper,20260324_134206,57db9ae12e879aa98fb0264a5b7caf9fd7e20954,1767014449,refactor: restructure data output to flat folder + fix Ittefaq to scrape all categories,False,original,96,0,0,0,0,0,8.69,23.32,original,0.0,0.0,10.769314527511597,0.0,10.769314527511597,,,,,,,,,,
BDNewsPaperScraper,20260324_134206,57db9ae12e879aa98fb0264a5b7caf9fd7e20954,1767014449,refactor: restructure data output to flat folder + fix Ittefaq to scrape all categories,False,pymop,96,0,0,0,0,0,234.60,23.32,pymop,3.7426562309265137,0.7915894985198975,243.58200335502625,0.0,248.11624908447266,69.0,RandomMustUseSeed=69,5.0,RandomMustUseSeed=5,RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:107=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96=1;RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113=1;RandomMustUseSeed:/BDNewsPaper/middlewares.py:179=1,"RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:73={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_response_chain_all', 'tests/test_smoke.py::TestMiddlewareIntegration::test_stealth_headers_middleware_init', 'tests/test_integration.py::TestMiddlewareChain::test_request_flows_through_all_middlewares', 'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:107={'tests/test_middlewares.py::TestUserAgentMiddleware::test_rotates_user_agents', 'tests/test_middlewares.py::TestUserAgentMiddleware::test_sets_user_agent', 'tests/test_integration.py::TestMiddlewareChain::test_request_flows_through_all_middlewares', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:96={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_integration.py::TestMiddlewareChain::test_request_flows_through_all_middlewares', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/stealth_headers.py:113={'tests/test_smoke.py::TestMiddlewareIntegration::test_middleware_chain_no_conflicts', 'tests/test_integration.py::TestMiddlewareChain::test_request_flows_through_all_middlewares', 'tests/test_smoke.py::TestMiddlewareIntegration::test_all_middleware_together'};RandomMustUseSeed:/BDNewsPaper/middlewares.py:179={'tests/test_middlewares.py::TestSmartRetryMiddleware::test_429_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_500_error_triggers_retry', 'tests/test_middlewares.py::TestSmartRetryMiddleware::test_exponential_backoff_delay'}",3575.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=2802<>UnsafeListIterator=362<>UnsafeDictIterator=384<>RandomMustUseSeed=11<>PyDocs_MustSortBeforeGroupBy=1<>PyDocs_UnsafeIterUseAfterTee=2,50440.0,BuiltinAllAnalysis=violation=7307<>ComparisonBehaviorAnalysis=eq_end=334<>ComparisonBehaviorAnalysis=ne_end=36<>InPlaceSortAnalysis=list_used=275<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=370<>NonFinitesAnalysis=non_finite_op=7307<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=47<>StringStripAnalysis=strip=69<>WrongTypeAddedAnalysis=check_append=7323<>WrongTypeAddedAnalysis=check_insert=7323<>WrongTypeAddedAnalysis=check_extend=7323<>WrongTypeAddedAnalysis=check_add=7323<>WrongTypeAddedAnalysis=check_add_assign=47<>FileClosedAnalysis=open=1402<>FileClosedAnalysis=close=1401<>FileClosedAnalysis=end=1400<>UnsafeListIterator=createList=402<>UnsafeListIterator=updateList=209<>UnsafeDictIterator=createDict=402<>UnsafeDictIterator=updateDict=65<>RandomMustUseSeed=all=69<>PyDocs_MustSortBeforeGroupBy=sort=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2
