project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
CS450_Team_Repo,20260316_091747,5024741c3a1a78a253f4254f2fa883c2d4e58a47,1758938082,"fallback on missing fields, scores bounded between 0 and 1, etc",False,original,179,5,1,0,0,0,10.92,x,original,0.0,0.0,11.403650045394897,0.0,11.403650045394897,,,,,,,,,,
CS450_Team_Repo,20260316_091747,5024741c3a1a78a253f4254f2fa883c2d4e58a47,1758938082,"fallback on missing fields, scores bounded between 0 and 1, etc",False,pymop,178,5,2,0,0,0,40.47,x,pymop,9.535300970077515,0.5530226230621338,47.78683686256409,0.0,57.875160455703735,100.0,WrongTypeAddedAnalysis=2;Pydocs_HTTPConnectionSendSequence=28;Requests_PreparedRequestInit=2;Pydocs_MustCloseSocket=28;Requests_MustCloseSession=13;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=17;Pydocs_MustShutdownThreadPoolExecutor=8,10.0,WrongTypeAddedAnalysis=2;Pydocs_HTTPConnectionSendSequence=1;Requests_PreparedRequestInit=1;Pydocs_MustCloseSocket=1;Requests_MustCloseSession=1;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=1;Pydocs_MustShutdownThreadPoolExecutor=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Requests_MustCloseSession:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263.=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,,15477.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10348<>UnsafeDictIterator=4735<>ArgParse_Parent=1<>FileClosedAnalysis=124<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=39<>Pydocs_MustShutdownThreadPoolExecutor=16<>Pydocs_UselessThreadPoolExecutor=8<>Requests_MustCloseSession=52<>Requests_PreparedRequestInit=31<>Pydocs_HTTPConnectionSendSequence=28<>Pydocs_MustCloseSocket=56<>PyDocs_UnsafeIterUseAfterTee=2,2696299.0,BuiltinAllAnalysis=violation=421195<>ComparisonBehaviorAnalysis=ne_end=3529<>ComparisonBehaviorAnalysis=eq_end=91006<>InPlaceSortAnalysis=list_used=71869<>InPlaceSortAnalysis=list_sorted=44<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=94523<>NonFinitesAnalysis=non_finite_op=421085<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=21719<>StringStripAnalysis=strip=1385<>WrongTypeAddedAnalysis=check_append=373760<>WrongTypeAddedAnalysis=check_insert=373760<>WrongTypeAddedAnalysis=check_extend=373760<>WrongTypeAddedAnalysis=check_add=373760<>WrongTypeAddedAnalysis=check_add_assign=21719<>UnsafeListIterator=createList=35459<>UnsafeListIterator=createIter=24<>UnsafeListIterator=next=31<>UnsafeListIterator=updateList=3<>UnsafeDictIterator=createDict=5770<>UnsafeDictIterator=updateDict=10894<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=63<>FileClosedAnalysis=close=61<>FileClosedAnalysis=end=61<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=22<>PyDocs_MustWaitForPopenToFinish=new_popen=22<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=5<>PyDocs_MustWaitForPopenToFinish=end=17<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=8<>Pydocs_MustShutdownThreadPoolExecutor=end=8<>Pydocs_UselessThreadPoolExecutor=new_pool=8<>Pydocs_UselessThreadPoolExecutor=submit=8<>Requests_MustCloseSession=init=26<>Requests_MustCloseSession=close=13<>Requests_MustCloseSession=end=26<>Requests_PreparedRequestInit=initialization=31<>Requests_PreparedRequestInit=preparation=29<>Requests_PreparedRequestInit=manual_prepare=234<>Pydocs_HTTPConnectionSendSequence=connect=28<>Pydocs_HTTPConnectionSendSequence=putrequest=31<>Pydocs_HTTPConnectionSendSequence=putheader=155<>Pydocs_HTTPConnectionSendSequence=endheaders=31<>Pydocs_HTTPConnectionSendSequence=getresponse=31<>Pydocs_MustCloseSocket=init=28<>Pydocs_MustCloseSocket=end=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2
CS450_Team_Repo,20260316_091747,5024741c3a1a78a253f4254f2fa883c2d4e58a47,1758938082,"fallback on missing fields, scores bounded between 0 and 1, etc",False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CS450_Team_Repo,20260316_091747,359fc5f7e26dba705c63c938e38a122e6462d7cc,1758938404,Revert,False,original,178,5,2,0,0,0,9.43,x,original,0.0,0.0,9.855443716049194,0.0,9.855443716049194,,,,,,,,,,
CS450_Team_Repo,20260316_091747,359fc5f7e26dba705c63c938e38a122e6462d7cc,1758938404,Revert,False,pymop,179,5,1,0,0,0,56.63,x,pymop,9.467904090881348,0.5426666736602783,64.28355813026428,0.0,74.29412889480591,121.0,WrongTypeAddedAnalysis=2;Pydocs_HTTPConnectionSendSequence=35;Requests_PreparedRequestInit=2;Pydocs_MustCloseSocket=35;Requests_MustCloseSession=20;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=17;Pydocs_MustShutdownThreadPoolExecutor=8,10.0,WrongTypeAddedAnalysis=2;Pydocs_HTTPConnectionSendSequence=1;Requests_PreparedRequestInit=1;Pydocs_MustCloseSocket=1;Requests_MustCloseSession=1;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=1;Pydocs_MustShutdownThreadPoolExecutor=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Requests_MustCloseSession:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263.=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,,16292.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10890<>UnsafeDictIterator=4966<>ArgParse_Parent=1<>FileClosedAnalysis=124<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=39<>Pydocs_MustShutdownThreadPoolExecutor=16<>Pydocs_UselessThreadPoolExecutor=8<>Requests_MustCloseSession=66<>Requests_PreparedRequestInit=38<>Pydocs_HTTPConnectionSendSequence=35<>Pydocs_MustCloseSocket=70<>PyDocs_UnsafeIterUseAfterTee=2,2786605.0,BuiltinAllAnalysis=violation=434209<>ComparisonBehaviorAnalysis=ne_end=3636<>ComparisonBehaviorAnalysis=eq_end=92424<>InPlaceSortAnalysis=list_used=77172<>InPlaceSortAnalysis=list_sorted=44<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=96048<>NonFinitesAnalysis=non_finite_op=434099<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=24194<>StringStripAnalysis=strip=1441<>WrongTypeAddedAnalysis=check_append=386112<>WrongTypeAddedAnalysis=check_insert=386112<>WrongTypeAddedAnalysis=check_extend=386112<>WrongTypeAddedAnalysis=check_add=386112<>WrongTypeAddedAnalysis=check_add_assign=24194<>UnsafeListIterator=createList=36096<>UnsafeListIterator=createIter=26<>UnsafeListIterator=next=33<>UnsafeListIterator=updateList=3<>UnsafeDictIterator=createDict=6093<>UnsafeDictIterator=updateDict=11280<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=63<>FileClosedAnalysis=close=61<>FileClosedAnalysis=end=61<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=22<>PyDocs_MustWaitForPopenToFinish=new_popen=22<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=5<>PyDocs_MustWaitForPopenToFinish=end=17<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=8<>Pydocs_MustShutdownThreadPoolExecutor=end=8<>Pydocs_UselessThreadPoolExecutor=new_pool=8<>Pydocs_UselessThreadPoolExecutor=submit=8<>Requests_MustCloseSession=init=33<>Requests_MustCloseSession=close=13<>Requests_MustCloseSession=end=33<>Requests_PreparedRequestInit=initialization=38<>Requests_PreparedRequestInit=preparation=36<>Requests_PreparedRequestInit=manual_prepare=290<>Pydocs_HTTPConnectionSendSequence=connect=35<>Pydocs_HTTPConnectionSendSequence=putrequest=38<>Pydocs_HTTPConnectionSendSequence=putheader=190<>Pydocs_HTTPConnectionSendSequence=endheaders=38<>Pydocs_HTTPConnectionSendSequence=getresponse=38<>Pydocs_MustCloseSocket=init=35<>Pydocs_MustCloseSocket=end=35<>PyDocs_UnsafeIterUseAfterTee=createIter=2
CS450_Team_Repo,20260316_091747,359fc5f7e26dba705c63c938e38a122e6462d7cc,1758938404,Revert,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CS450_Team_Repo,20260316_091747,d694a109ade7d16ac1ccd890192c49f715471daf,1758980696,added tag fields for dataset quality scoring,False,original,178,5,2,0,0,0,7.95,x,original,0.0,0.0,8.41199803352356,0.0,8.41199803352356,,,,,,,,,,
CS450_Team_Repo,20260316_091747,d694a109ade7d16ac1ccd890192c49f715471daf,1758980696,added tag fields for dataset quality scoring,False,pymop,178,5,2,0,0,0,38.42,x,pymop,9.237936973571777,0.549048900604248,45.39282989501953,0.0,55.17981576919556,87.0,WrongTypeAddedAnalysis=3;Pydocs_HTTPConnectionSendSequence=23;Requests_PreparedRequestInit=2;Pydocs_MustCloseSocket=23;Requests_MustCloseSession=9;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=17;Pydocs_MustShutdownThreadPoolExecutor=8,10.0,WrongTypeAddedAnalysis=2;Pydocs_HTTPConnectionSendSequence=1;Requests_PreparedRequestInit=1;Pydocs_MustCloseSocket=1;Requests_MustCloseSession=1;FileClosedAnalysis=2;PyDocs_MustWaitForPopenToFinish=1;Pydocs_MustShutdownThreadPoolExecutor=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Requests_MustCloseSession:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263.=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,,14914.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10042<>UnsafeDictIterator=4508<>ArgParse_Parent=1<>FileClosedAnalysis=124<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=39<>Pydocs_MustShutdownThreadPoolExecutor=16<>Pydocs_UselessThreadPoolExecutor=8<>Requests_MustCloseSession=42<>Requests_PreparedRequestInit=26<>Pydocs_HTTPConnectionSendSequence=23<>Pydocs_MustCloseSocket=46<>PyDocs_UnsafeIterUseAfterTee=2,2647956.0,BuiltinAllAnalysis=violation=414260<>ComparisonBehaviorAnalysis=ne_end=3453<>ComparisonBehaviorAnalysis=eq_end=90161<>InPlaceSortAnalysis=list_used=68674<>InPlaceSortAnalysis=list_sorted=44<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=93602<>NonFinitesAnalysis=non_finite_op=414150<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=20455<>StringStripAnalysis=strip=1350<>WrongTypeAddedAnalysis=check_append=367229<>WrongTypeAddedAnalysis=check_insert=367229<>WrongTypeAddedAnalysis=check_extend=367229<>WrongTypeAddedAnalysis=check_add=367229<>WrongTypeAddedAnalysis=check_add_assign=20455<>UnsafeListIterator=createList=35191<>UnsafeListIterator=createIter=23<>UnsafeListIterator=next=29<>UnsafeListIterator=updateList=3<>UnsafeDictIterator=createDict=5562<>UnsafeDictIterator=updateDict=10740<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=63<>FileClosedAnalysis=close=61<>FileClosedAnalysis=end=61<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=22<>PyDocs_MustWaitForPopenToFinish=new_popen=22<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=5<>PyDocs_MustWaitForPopenToFinish=end=17<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=8<>Pydocs_MustShutdownThreadPoolExecutor=end=8<>Pydocs_UselessThreadPoolExecutor=new_pool=8<>Pydocs_UselessThreadPoolExecutor=submit=8<>Requests_MustCloseSession=init=21<>Requests_MustCloseSession=close=12<>Requests_MustCloseSession=end=21<>Requests_PreparedRequestInit=initialization=26<>Requests_PreparedRequestInit=preparation=24<>Requests_PreparedRequestInit=manual_prepare=194<>Pydocs_HTTPConnectionSendSequence=connect=23<>Pydocs_HTTPConnectionSendSequence=putrequest=26<>Pydocs_HTTPConnectionSendSequence=putheader=130<>Pydocs_HTTPConnectionSendSequence=endheaders=26<>Pydocs_HTTPConnectionSendSequence=getresponse=26<>Pydocs_MustCloseSocket=init=23<>Pydocs_MustCloseSocket=end=23<>PyDocs_UnsafeIterUseAfterTee=createIter=2
CS450_Team_Repo,20260316_091747,d694a109ade7d16ac1ccd890192c49f715471daf,1758980696,added tag fields for dataset quality scoring,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CS450_Team_Repo,20260316_091747,61e74d2d596d22becd4f919953f8e0c6afce9adc,1758982501,Changing weights and expanding keyword search for better detection and appropriate score ranges,True,original,165,19,1,0,0,0,10.83,x,original,0.0,0.0,11.23761510848999,0.0,11.23761510848999,,,,,,,,,,
