project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
CertDeliver,20260316_091807,8b2d277ef1c751c0227ed3ee850bc1e09c94ae23,1668820524,1.0,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5224807262420654,0.0,0.5224807262420654,,,,,,,,,,
CertDeliver,20260316_091807,8b2d277ef1c751c0227ed3ee850bc1e09c94ae23,1668820524,1.0,True,pymop,x,x,x,x,x,x,x,x,pymop,9.154792785644531,0.6881020069122314,6.516726970672607,0.0,16.35962176322937,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,1220.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=859<>UnsafeDictIterator=316<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,183450.0,BuiltinAllAnalysis=violation=28494<>ComparisonBehaviorAnalysis=ne_end=277<>ComparisonBehaviorAnalysis=eq_end=866<>InPlaceSortAnalysis=list_used=3262<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1133<>NonFinitesAnalysis=non_finite_op=28395<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1574<>WrongTypeAddedAnalysis=check_append=28508<>WrongTypeAddedAnalysis=check_insert=28508<>WrongTypeAddedAnalysis=check_extend=28508<>WrongTypeAddedAnalysis=check_add=28508<>WrongTypeAddedAnalysis=check_add_assign=1574<>UnsafeListIterator=createList=1600<>UnsafeDictIterator=createDict=326<>UnsafeDictIterator=updateDict=1873<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
CertDeliver,20260316_091807,8b2d277ef1c751c0227ed3ee850bc1e09c94ae23,1668820524,1.0,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CertDeliver,20260316_091807,052338fc8b1d34096f4a35f08131ff6c1d7a7229,1668822128,fix,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5181808471679688,0.0,0.5181808471679688,,,,,,,,,,
CertDeliver,20260316_091807,052338fc8b1d34096f4a35f08131ff6c1d7a7229,1668822128,fix,True,pymop,x,x,x,x,x,x,x,x,pymop,8.881786823272705,0.6404545307159424,5.802384853363037,0.0,15.324626207351685,3.0,WrongTypeAddedAnalysis=3,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,1238.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=874<>UnsafeDictIterator=319<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,183470.0,BuiltinAllAnalysis=violation=28504<>ComparisonBehaviorAnalysis=ne_end=277<>ComparisonBehaviorAnalysis=eq_end=866<>InPlaceSortAnalysis=list_used=3262<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1133<>NonFinitesAnalysis=non_finite_op=28405<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1574<>WrongTypeAddedAnalysis=check_append=28508<>WrongTypeAddedAnalysis=check_insert=28508<>WrongTypeAddedAnalysis=check_extend=28508<>WrongTypeAddedAnalysis=check_add=28508<>WrongTypeAddedAnalysis=check_add_assign=1574<>UnsafeListIterator=createList=1600<>UnsafeDictIterator=createDict=326<>UnsafeDictIterator=updateDict=1873<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
CertDeliver,20260316_091807,052338fc8b1d34096f4a35f08131ff6c1d7a7229,1668822128,fix,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CertDeliver,20260316_091807,5d98502c458488039ffef409ee229dad16edcb9d,1668824722,Update server.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4755840301513672,0.0,0.4755840301513672,,,,,,,,,,
CertDeliver,20260316_091807,5d98502c458488039ffef409ee229dad16edcb9d,1668824722,Update server.py,True,pymop,x,x,x,x,x,x,x,x,pymop,9.355494499206543,0.6599230766296387,5.8705480098724365,0.0,15.885965585708618,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,1224.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=861<>UnsafeDictIterator=318<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,180011.0,BuiltinAllAnalysis=violation=27947<>ComparisonBehaviorAnalysis=ne_end=273<>ComparisonBehaviorAnalysis=eq_end=853<>InPlaceSortAnalysis=list_used=3184<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1116<>NonFinitesAnalysis=non_finite_op=27848<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1572<>WrongTypeAddedAnalysis=check_append=27961<>WrongTypeAddedAnalysis=check_insert=27961<>WrongTypeAddedAnalysis=check_extend=27961<>WrongTypeAddedAnalysis=check_add=27961<>WrongTypeAddedAnalysis=check_add_assign=1572<>UnsafeListIterator=createList=1567<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=1869<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
CertDeliver,20260316_091807,5d98502c458488039ffef409ee229dad16edcb9d,1668824722,Update server.py,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
CertDeliver,20260316_091807,ab536ac5f8666083f4d64dec3d31da7c4ee78122,1668824746,Update server.py,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.505483865737915,0.0,0.505483865737915,,,,,,,,,,
