project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
PS-Helper,20260324_134019,1f3f72d9d34e5a06a1ac3cbcb2d54990825cac52,1758734474,Test package,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38825154304504395,0.0,0.38825154304504395,,,,,,,,,,
PS-Helper,20260324_134019,1f3f72d9d34e5a06a1ac3cbcb2d54990825cac52,1758734474,Test package,True,pymop,x,x,x,x,x,x,x,x,pymop,2.2403135299682617,0.5760257244110107,1.6076304912567139,0.0,4.423969745635986,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
PS-Helper,20260324_134019,1f3f72d9d34e5a06a1ac3cbcb2d54990825cac52,1758734474,Test package,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,8.240554332733154,0.4749050140380859,4.965710401535034,0.0,13.681169748306274,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1236.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=871<>UnsafeDictIterator=320<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,185831.0,BuiltinAllAnalysis=violation=28869<>ComparisonBehaviorAnalysis=ne_end=282<>ComparisonBehaviorAnalysis=eq_end=880<>InPlaceSortAnalysis=list_used=3308<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1152<>NonFinitesAnalysis=non_finite_op=28770<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1578<>WrongTypeAddedAnalysis=check_append=28889<>WrongTypeAddedAnalysis=check_insert=28889<>WrongTypeAddedAnalysis=check_extend=28889<>WrongTypeAddedAnalysis=check_add=28889<>WrongTypeAddedAnalysis=check_add_assign=1578<>UnsafeListIterator=createList=1610<>UnsafeDictIterator=createDict=329<>UnsafeDictIterator=updateDict=1875<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
PS-Helper,20260324_134019,1f3f72d9d34e5a06a1ac3cbcb2d54990825cac52,1758734474,Test package,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PS-Helper,20260324_134019,a7a6dde8508cdda851be279c54a4911acd0015a7,1758734995,Test package,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3694319725036621,0.0,0.3694319725036621,,,,,,,,,,
PS-Helper,20260324_134019,a7a6dde8508cdda851be279c54a4911acd0015a7,1758734995,Test package,True,pymop,x,x,x,x,x,x,x,x,pymop,2.206141233444214,0.5445702075958252,1.7260756492614746,0.0,4.476787090301514,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
PS-Helper,20260324_134019,a7a6dde8508cdda851be279c54a4911acd0015a7,1758734995,Test package,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,7.9404449462890625,0.4743020534515381,4.7738425731658936,0.0,13.188589572906494,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1286.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=919<>UnsafeDictIterator=322<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,186680.0,BuiltinAllAnalysis=violation=28997<>ComparisonBehaviorAnalysis=ne_end=282<>ComparisonBehaviorAnalysis=eq_end=885<>InPlaceSortAnalysis=list_used=3327<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1157<>NonFinitesAnalysis=non_finite_op=28898<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1578<>WrongTypeAddedAnalysis=check_append=29030<>WrongTypeAddedAnalysis=check_insert=29030<>WrongTypeAddedAnalysis=check_extend=29030<>WrongTypeAddedAnalysis=check_add=29030<>WrongTypeAddedAnalysis=check_add_assign=1578<>UnsafeListIterator=createList=1610<>UnsafeDictIterator=createDict=329<>UnsafeDictIterator=updateDict=1875<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
PS-Helper,20260324_134019,a7a6dde8508cdda851be279c54a4911acd0015a7,1758734995,Test package,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
PS-Helper,20260324_134019,e73fdad1678ed7a469dfe4a3e20cf1355b3ef582,1758817272,add url_blocker,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4273335933685303,0.0,0.4273335933685303,,,,,,,,,,
PS-Helper,20260324_134019,e73fdad1678ed7a469dfe4a3e20cf1355b3ef582,1758817272,add url_blocker,True,pymop,x,x,x,x,x,x,x,x,pymop,2.259551525115967,0.5358991622924805,1.8227381706237793,0.0,4.618188858032227,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
