project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
VibeCForms,20260324_134012,28bb8cbf20a8430795477118922acb6a451f790f,1757807134,v1.0,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.32467031478881836,0.0,0.32467031478881836,,,,,,,,,,
VibeCForms,20260324_134012,28bb8cbf20a8430795477118922acb6a451f790f,1757807134,v1.0,True,pymop,x,x,x,x,x,x,x,x,pymop,2.5903193950653076,0.6570453643798828,1.8719663619995117,0.0,5.119331121444702,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4
VibeCForms,20260324_134012,28bb8cbf20a8430795477118922acb6a451f790f,1757807134,v1.0,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.287800788879395,0.572594404220581,5.980950117111206,0.0,15.841345310211182,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639={None},1281.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=913<>UnsafeDictIterator=316<>ArgParse_Parent=6<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,490239.0,BuiltinAllAnalysis=violation=78725<>ComparisonBehaviorAnalysis=ne_end=288<>ComparisonBehaviorAnalysis=eq_end=945<>InPlaceSortAnalysis=list_used=3974<>InPlaceSortAnalysis=list_sorted=3<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1217<>NonFinitesAnalysis=non_finite_op=78572<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1738<>StringStripAnalysis=strip=5<>WrongTypeAddedAnalysis=check_append=79809<>WrongTypeAddedAnalysis=check_insert=79809<>WrongTypeAddedAnalysis=check_extend=79809<>WrongTypeAddedAnalysis=check_add=79809<>WrongTypeAddedAnalysis=check_add_assign=1738<>UnsafeListIterator=createList=1660<>UnsafeDictIterator=createDict=321<>UnsafeDictIterator=updateDict=1764<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
VibeCForms,20260324_134012,28bb8cbf20a8430795477118922acb6a451f790f,1757807134,v1.0,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
VibeCForms,20260324_134012,93e0b48f52123dc9e00d45c1eb81d558913c5070,1759283900,Make forms dynamic,False,original,5,0,0,0,0,0,0.37,x,original,0.0,0.0,0.6796717643737793,0.0,0.6796717643737793,,,,,,,,,,
VibeCForms,20260324_134012,93e0b48f52123dc9e00d45c1eb81d558913c5070,1759283900,Make forms dynamic,False,pymop,5,0,0,0,0,0,0.19,x,pymop,2.7038393020629883,0.5409533977508545,1.6486413478851318,0.0,4.893434047698975,0.0,,0.0,,,,106.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=28<>Flask_NoModifyAfterServe=1<>UnsafeListIterator=29<>UnsafeDictIterator=33<>PyDocs_UnsafeIterUseAfterTee=2,1793.0,BuiltinAllAnalysis=violation=236<>ComparisonBehaviorAnalysis=eq_end=44<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=53<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=62<>NonFinitesAnalysis=non_finite_op=236<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=9<>StringStripAnalysis=strip=21<>WrongTypeAddedAnalysis=check_append=236<>WrongTypeAddedAnalysis=check_insert=236<>WrongTypeAddedAnalysis=check_extend=236<>WrongTypeAddedAnalysis=check_add=236<>WrongTypeAddedAnalysis=check_add_assign=9<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>Flask_NoModifyAfterServe=create_app=1<>UnsafeListIterator=createList=31<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=35<>UnsafeDictIterator=updateDict=16<>PyDocs_UnsafeIterUseAfterTee=createIter=2
VibeCForms,20260324_134012,93e0b48f52123dc9e00d45c1eb81d558913c5070,1759283900,Make forms dynamic,False,pymop_libs,5,0,0,0,0,0,1.03,x,pymop_libs,9.506729364395142,0.5504000186920166,5.876803874969482,0.0,15.93393325805664,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639={None},1810.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1231<>UnsafeDictIterator=506<>ArgParse_Parent=6<>FileClosedAnalysis=28<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=1<>PyDocs_UnsafeIterUseAfterTee=2,370595.0,BuiltinAllAnalysis=violation=57718<>ComparisonBehaviorAnalysis=ne_end=359<>ComparisonBehaviorAnalysis=eq_end=1461<>InPlaceSortAnalysis=list_used=5789<>InPlaceSortAnalysis=list_sorted=3<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1804<>NonFinitesAnalysis=non_finite_op=57565<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2016<>StringStripAnalysis=strip=36<>WrongTypeAddedAnalysis=check_append=59079<>WrongTypeAddedAnalysis=check_insert=59079<>WrongTypeAddedAnalysis=check_extend=59079<>WrongTypeAddedAnalysis=check_add=59079<>WrongTypeAddedAnalysis=check_add_assign=2016<>UnsafeListIterator=createList=2797<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=534<>UnsafeDictIterator=updateDict=2066<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2
VibeCForms,20260324_134012,93e0b48f52123dc9e00d45c1eb81d558913c5070,1759283900,Make forms dynamic,False,dylin,5,0,0,0,0,0,4.15,x,dylin,6.7275848388671875,0.0,5.1539716720581055,0.34055161476135254,12.222108125686646,0.0,,0.0,,,,,,,
VibeCForms,20260324_134012,f2266bd2abece9125961a2b932eee66297152f10,1759888388,Menu Development,False,original,11,0,0,0,0,0,0.40,x,original,0.0,0.0,0.7239716053009033,0.0,0.7239716053009033,,,,,,,,,,
VibeCForms,20260324_134012,f2266bd2abece9125961a2b932eee66297152f10,1759888388,Menu Development,False,pymop,11,0,0,0,0,0,0.31,x,pymop,2.4092772006988525,0.5795426368713379,1.9839131832122803,0.0,4.972733020782471,0.0,,0.0,,,,188.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=54<>Flask_NoModifyAfterServe=1<>UnsafeListIterator=54<>UnsafeDictIterator=64<>PyDocs_UnsafeIterUseAfterTee=2,3722.0,BuiltinAllAnalysis=violation=510<>ComparisonBehaviorAnalysis=eq_end=89<>ComparisonBehaviorAnalysis=ne_end=22<>InPlaceSortAnalysis=list_used=91<>InPlaceSortAnalysis=list_sorted=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=111<>NonFinitesAnalysis=non_finite_op=510<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=15<>StringStripAnalysis=strip=21<>WrongTypeAddedAnalysis=check_append=510<>WrongTypeAddedAnalysis=check_insert=510<>WrongTypeAddedAnalysis=check_extend=510<>WrongTypeAddedAnalysis=check_add=510<>WrongTypeAddedAnalysis=check_add_assign=15<>FileClosedAnalysis=open=28<>FileClosedAnalysis=close=27<>FileClosedAnalysis=end=26<>Flask_NoModifyAfterServe=create_app=1<>UnsafeListIterator=createList=56<>UnsafeListIterator=updateList=59<>UnsafeDictIterator=createDict=73<>UnsafeDictIterator=updateDict=16<>PyDocs_UnsafeIterUseAfterTee=createIter=2
