project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
aiko_services,20260316_091810,95732264c6300fbb259fe540386a8b466e70101d,1762662802,"Initial commit for ""src/aiko_services/elements/colab/"" Pipeline and PipelineElements that provide basic Google Colab support. Starting with ""VideoReadColab(PipelineElement)"", which reads from the web browser web camera, providing Frames of images for a Pipeline to process.",True,original,0,0,0,0,0,6,0.46,29.97,original,0.0,0.0,0.9594032764434814,0.0,0.9594032764434814,,,,,,,,,,
aiko_services,20260316_091810,95732264c6300fbb259fe540386a8b466e70101d,1762662802,"Initial commit for ""src/aiko_services/elements/colab/"" Pipeline and PipelineElements that provide basic Google Colab support. Starting with ""VideoReadColab(PipelineElement)"", which reads from the web browser web camera, providing Frames of images for a Pipeline to process.",True,pymop,0,0,0,0,0,6,52.58,29.97,pymop,9.374131917953491,0.6613714694976807,58.57125902175903,0.0,68.6067624092102,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,3929.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3159<>UnsafeDictIterator=725<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,8154371.0,BuiltinAllAnalysis=violation=1351092<>ComparisonBehaviorAnalysis=ne_end=1179<>ComparisonBehaviorAnalysis=eq_end=3757<>InPlaceSortAnalysis=list_used=16482<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4926<>NonFinitesAnalysis=non_finite_op=1350993<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3440<>StringStripAnalysis=strip=384<>WrongTypeAddedAnalysis=check_append=1352204<>WrongTypeAddedAnalysis=check_insert=1352204<>WrongTypeAddedAnalysis=check_extend=1352204<>WrongTypeAddedAnalysis=check_add=1352204<>WrongTypeAddedAnalysis=check_add_assign=3440<>UnsafeListIterator=createList=6796<>UnsafeDictIterator=createDict=730<>UnsafeDictIterator=updateDict=2292<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
aiko_services,20260316_091810,95732264c6300fbb259fe540386a8b466e70101d,1762662802,"Initial commit for ""src/aiko_services/elements/colab/"" Pipeline and PipelineElements that provide basic Google Colab support. Starting with ""VideoReadColab(PipelineElement)"", which reads from the web browser web camera, providing Frames of images for a Pipeline to process.",True,dylin,x,x,x,x,x,x,x,29.97,dylin,x,0.0,x,x,x,,,,,,,,,,
aiko_services,20260316_091810,48423cb51d6d39bd966c1e7f18837bb0df542922,1762687371,"Move and improve ""src/aiko_services/elements/colab/"" to ""src/aiko_services/examples/colab/"". Add ""pipelines/colab_pipeline_0.json"", which processes images using YOLOE.",True,original,0,0,0,0,0,6,0.65,29.97,original,0.0,0.0,1.1911249160766602,0.0,1.1911249160766602,,,,,,,,,,
aiko_services,20260316_091810,48423cb51d6d39bd966c1e7f18837bb0df542922,1762687371,"Move and improve ""src/aiko_services/elements/colab/"" to ""src/aiko_services/examples/colab/"". Add ""pipelines/colab_pipeline_0.json"", which processes images using YOLOE.",True,pymop,0,0,0,0,0,6,52.58,29.97,pymop,9.284329175949097,0.8341214656829834,59.473177671432495,0.0,69.59162831306458,0.0,,0.0,,,,3873.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3105<>UnsafeDictIterator=723<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,8154855.0,BuiltinAllAnalysis=violation=1351163<>ComparisonBehaviorAnalysis=ne_end=1179<>ComparisonBehaviorAnalysis=eq_end=3760<>InPlaceSortAnalysis=list_used=16494<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4929<>NonFinitesAnalysis=non_finite_op=1351064<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3440<>StringStripAnalysis=strip=384<>WrongTypeAddedAnalysis=check_append=1352285<>WrongTypeAddedAnalysis=check_insert=1352285<>WrongTypeAddedAnalysis=check_extend=1352285<>WrongTypeAddedAnalysis=check_add=1352285<>WrongTypeAddedAnalysis=check_add_assign=3440<>UnsafeListIterator=createList=6796<>UnsafeDictIterator=createDict=730<>UnsafeDictIterator=updateDict=2292<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
aiko_services,20260316_091810,48423cb51d6d39bd966c1e7f18837bb0df542922,1762687371,"Move and improve ""src/aiko_services/elements/colab/"" to ""src/aiko_services/examples/colab/"". Add ""pipelines/colab_pipeline_0.json"", which processes images using YOLOE.",True,dylin,x,x,x,x,x,x,x,29.97,dylin,x,0.0,x,x,x,,,,,,,,,,
aiko_services,20260316_091810,909cf2ed999b2df6be20fed50427f76ce1965fc4,1765594204,"Fix ""src/aiko_services/examples/yolo/yolo?_pipeline_?.json"" by adding the required "","" (comma) after the ""_destroy_stream_exit_"" parameter assignment.",True,original,0,0,0,0,0,6,0.54,29.97,original,0.0,0.0,1.0125792026519775,0.0,1.0125792026519775,,,,,,,,,,
aiko_services,20260316_091810,909cf2ed999b2df6be20fed50427f76ce1965fc4,1765594204,"Fix ""src/aiko_services/examples/yolo/yolo?_pipeline_?.json"" by adding the required "","" (comma) after the ""_destroy_stream_exit_"" parameter assignment.",True,pymop,0,0,0,0,0,6,52.19,29.97,pymop,9.904520750045776,0.6435456275939941,58.98772382736206,0.0,69.53579020500183,2.0,WrongTypeAddedAnalysis=2,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,3797.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3027<>UnsafeDictIterator=725<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,8154873.0,BuiltinAllAnalysis=violation=1351172<>ComparisonBehaviorAnalysis=ne_end=1179<>ComparisonBehaviorAnalysis=eq_end=3760<>InPlaceSortAnalysis=list_used=16494<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4929<>NonFinitesAnalysis=non_finite_op=1351073<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3440<>StringStripAnalysis=strip=384<>WrongTypeAddedAnalysis=check_append=1352285<>WrongTypeAddedAnalysis=check_insert=1352285<>WrongTypeAddedAnalysis=check_extend=1352285<>WrongTypeAddedAnalysis=check_add=1352285<>WrongTypeAddedAnalysis=check_add_assign=3440<>UnsafeListIterator=createList=6796<>UnsafeDictIterator=createDict=730<>UnsafeDictIterator=updateDict=2292<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
aiko_services,20260316_091810,909cf2ed999b2df6be20fed50427f76ce1965fc4,1765594204,"Fix ""src/aiko_services/examples/yolo/yolo?_pipeline_?.json"" by adding the required "","" (comma) after the ""_destroy_stream_exit_"" parameter assignment.",True,dylin,x,x,x,x,x,x,x,29.97,dylin,x,0.0,x,x,x,,,,,,,,,,
aiko_services,20260316_091810,e427def187d7e5508423c7377c9ef9e21bb264de,1767117191,"WIP: On-going improvements to HyperSpace, Category, Dependency and Storage Manager (file-system implementation). In particular, for Category traversal.",False,original,5,0,0,0,0,0,1.37,46.1,original,0.0,0.0,1.851898431777954,0.0,1.851898431777954,,,,,,,,,,
