project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
automagik-spark,20260316_091744,7d64c8b5a8c4383a32388f549635420e3a7fd0c0,1755981995,feat: implement comprehensive database isolation system with file-based SQLite sharing,False,original,117,21,1,0,0,15,25.51,x,original,0.0,0.0,27.88421058654785,0.0,27.88421058654785,,,,,,,,,,
automagik-spark,20260316_091744,7d64c8b5a8c4383a32388f549635420e3a7fd0c0,1755981995,feat: implement comprehensive database isolation system with file-based SQLite sharing,False,pymop,117,21,1,0,0,15,1350.60,x,pymop,7.858126163482666,0.4755051136016845,1430.4506647586823,0.0,1438.7842960357666,382.0,WrongTypeAddedAnalysis=3;InvalidComparisonAnalysis=296;ComparisonBehaviorAnalysis=82;StringConcatAnalysis=1,37.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=4;ComparisonBehaviorAnalysis=30;StringConcatAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:259=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:379=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:360=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:391=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:397=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:402=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:407=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:412=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:38=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:62=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:114=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:118=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:121=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:124=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:176=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:180=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:184=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_flow_execution.py:324=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/workflow.py:76=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:173=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:178=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:191=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:195=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:200=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:205=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:221=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:160=1,,106251.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=68437<>UnsafeDictIterator=37274<>ArgParse_Parent=1<>FileClosedAnalysis=150<>Pydocs_MustReleaseLock=240<>faulthandler_disableBeforeClose=1<>Thread_StartOnce=113,119294875.0,BuiltinAllAnalysis=violation=19882638<>ComparisonBehaviorAnalysis=ne_end=26385<>ComparisonBehaviorAnalysis=eq_end=450913<>InPlaceSortAnalysis=list_used=317898<>InPlaceSortAnalysis=list_sorted=3018<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=477288<>NonFinitesAnalysis=non_finite_op=19882539<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=121559<>StringStripAnalysis=strip=10106<>WrongTypeAddedAnalysis=check_append=19425120<>WrongTypeAddedAnalysis=check_insert=19425120<>WrongTypeAddedAnalysis=check_extend=19425120<>WrongTypeAddedAnalysis=check_add=19425120<>WrongTypeAddedAnalysis=check_add_assign=121559<>UnsafeListIterator=createList=168933<>UnsafeListIterator=createIter=708<>UnsafeListIterator=next=4186<>UnsafeListIterator=updateList=19<>UnsafeDictIterator=createDict=54137<>UnsafeDictIterator=updateDict=70137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=76<>FileClosedAnalysis=close=75<>FileClosedAnalysis=end=74<>Pydocs_MustReleaseLock=acquire=943<>Pydocs_MustReleaseLock=release=943<>Pydocs_MustReleaseLock=end=120<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Thread_StartOnce=start=113
automagik-spark,20260316_091744,7d64c8b5a8c4383a32388f549635420e3a7fd0c0,1755981995,feat: implement comprehensive database isolation system with file-based SQLite sharing,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
automagik-spark,20260316_091744,bd3d8edcf1e1b171f7bf908345bb2157b801b1b9,1755993734,fix: simplify test database isolation and remove complex monkeypatch system,False,original,117,19,1,0,0,17,24.66,x,original,0.0,0.0,26.972651481628418,0.0,26.972651481628418,,,,,,,,,,
automagik-spark,20260316_091744,bd3d8edcf1e1b171f7bf908345bb2157b801b1b9,1755993734,fix: simplify test database isolation and remove complex monkeypatch system,False,pymop,117,19,1,0,0,17,1167.19,x,pymop,8.394144535064697,0.5117506980895996,1244.0295855998993,0.0,1252.9354808330536,382.0,WrongTypeAddedAnalysis=3;InvalidComparisonAnalysis=296;ComparisonBehaviorAnalysis=82;StringConcatAnalysis=1,37.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=4;ComparisonBehaviorAnalysis=30;StringConcatAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:259=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:379=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:360=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:391=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:397=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:402=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:407=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:412=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:38=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:62=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:114=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:118=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:121=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:124=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:176=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:180=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:184=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_flow_execution.py:324=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/workflow.py:76=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:173=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:178=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:191=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:195=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:200=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:205=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:221=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:160=1,,81140.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=53341<>UnsafeDictIterator=27514<>ArgParse_Parent=1<>FileClosedAnalysis=150<>Pydocs_MustReleaseLock=36<>faulthandler_disableBeforeClose=1<>Thread_StartOnce=62,115462034.0,BuiltinAllAnalysis=violation=19121014<>ComparisonBehaviorAnalysis=ne_end=22281<>ComparisonBehaviorAnalysis=eq_end=443918<>InPlaceSortAnalysis=list_used=279990<>InPlaceSortAnalysis=list_sorted=3020<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=466189<>NonFinitesAnalysis=non_finite_op=19120915<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=103860<>StringStripAnalysis=strip=10094<>WrongTypeAddedAnalysis=check_append=18885247<>WrongTypeAddedAnalysis=check_insert=18885247<>WrongTypeAddedAnalysis=check_extend=18885247<>WrongTypeAddedAnalysis=check_add=18885247<>WrongTypeAddedAnalysis=check_add_assign=103860<>UnsafeListIterator=createList=142831<>UnsafeListIterator=createIter=564<>UnsafeListIterator=next=2398<>UnsafeListIterator=updateList=19<>UnsafeDictIterator=createDict=44131<>UnsafeDictIterator=updateDict=54939<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=76<>FileClosedAnalysis=close=75<>FileClosedAnalysis=end=74<>Pydocs_MustReleaseLock=acquire=345<>Pydocs_MustReleaseLock=release=345<>Pydocs_MustReleaseLock=end=18<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Thread_StartOnce=start=62
automagik-spark,20260316_091744,bd3d8edcf1e1b171f7bf908345bb2157b801b1b9,1755993734,fix: simplify test database isolation and remove complex monkeypatch system,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
automagik-spark,20260316_091744,3620f042022d73a2e0969b3b507765e2d832c1cd,1756003135,fix: resolve database table creation in testing mode,False,original,121,15,1,0,0,15,3.40,x,original,0.0,0.0,5.6950953006744385,0.0,5.6950953006744385,,,,,,,,,,
automagik-spark,20260316_091744,3620f042022d73a2e0969b3b507765e2d832c1cd,1756003135,fix: resolve database table creation in testing mode,False,pymop,121,15,1,0,0,15,386.51,x,pymop,7.775845766067505,0.4786131381988525,461.34585976600647,0.0,469.6003186702728,384.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=301;ComparisonBehaviorAnalysis=82,35.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=4;ComparisonBehaviorAnalysis=30,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:259=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:379=1;ComparisonBehaviorAnalysis:/automagik_spark/core/scheduler/manager.py:360=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:391=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:397=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:402=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:407=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/manager.py:412=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:38=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:62=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:114=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:118=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:121=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:124=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:176=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:180=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_delete_flow.py:184=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_flow_execution.py:324=1;ComparisonBehaviorAnalysis:/automagik_spark/core/workflows/workflow.py:76=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:173=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:178=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:191=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:195=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:200=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:205=1;ComparisonBehaviorAnalysis:/tests/core/workflows/test_local_workflow_manager.py:221=1,,74234.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=45281<>UnsafeDictIterator=28496<>ArgParse_Parent=1<>FileClosedAnalysis=148<>Pydocs_MustReleaseLock=180<>faulthandler_disableBeforeClose=1<>Thread_StartOnce=92,15268201.0,BuiltinAllAnalysis=violation=2495443<>ComparisonBehaviorAnalysis=ne_end=15535<>ComparisonBehaviorAnalysis=eq_end=426829<>InPlaceSortAnalysis=list_used=222885<>InPlaceSortAnalysis=list_sorted=3032<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=442354<>NonFinitesAnalysis=non_finite_op=2495344<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=62487<>StringStripAnalysis=strip=4394<>WrongTypeAddedAnalysis=check_append=2202126<>WrongTypeAddedAnalysis=check_insert=2202126<>WrongTypeAddedAnalysis=check_extend=2202126<>WrongTypeAddedAnalysis=check_add=2202126<>WrongTypeAddedAnalysis=check_add_assign=62487<>UnsafeListIterator=createList=119584<>UnsafeListIterator=createIter=648<>UnsafeListIterator=next=2590<>UnsafeListIterator=updateList=19<>UnsafeDictIterator=createDict=46558<>UnsafeDictIterator=updateDict=58182<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=74<>FileClosedAnalysis=end=73<>Pydocs_MustReleaseLock=acquire=447<>Pydocs_MustReleaseLock=release=447<>Pydocs_MustReleaseLock=end=90<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Thread_StartOnce=start=92
automagik-spark,20260316_091744,3620f042022d73a2e0969b3b507765e2d832c1cd,1756003135,fix: resolve database table creation in testing mode,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
automagik-spark,20260316_091744,407e65ee68d72baa205b484240bb5b61ad9a9ce3,1756139451,chore: clean up temporary debugging files and test artifacts,False,original,151,0,1,0,0,0,3.76,x,original,0.0,0.0,5.987523555755615,0.0,5.987523555755615,,,,,,,,,,
