project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
blizzardapi3,20260316_091811,4ca81121aa85dc22e1a253f4fd2b93aa68242dcd,1766204472,feat: complete v3 implementation with passing tests,False,original,32,0,0,0,0,0,0.23,83.0,original,0.0,0.0,0.9394030570983887,0.0,0.9394030570983887,,,,,,,,,,
blizzardapi3,20260316_091811,4ca81121aa85dc22e1a253f4fd2b93aa68242dcd,1766204472,feat: complete v3 implementation with passing tests,False,pymop,32,0,0,0,0,0,53.70,83.0,pymop,5.587634801864624,0.3214964866638183,62.391841173172,0.0,68.30097246170044,3.0,InvalidComparisonAnalysis=2;WrongTypeAddedAnalysis=1,2.0,InvalidComparisonAnalysis=1;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,,11670.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=9167<>UnsafeDictIterator=2402<>ArgParse_Parent=1<>FileClosedAnalysis=60<>faulthandler_disableBeforeClose=1<>Requests_MustCloseSession=4,6788133.0,BuiltinAllAnalysis=violation=802770<>ComparisonBehaviorAnalysis=ne_end=69990<>ComparisonBehaviorAnalysis=eq_end=296175<>InPlaceSortAnalysis=list_used=226060<>InPlaceSortAnalysis=list_sorted=23<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=366153<>NonFinitesAnalysis=non_finite_op=802660<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=451401<>StringStripAnalysis=strip=106<>WrongTypeAddedAnalysis=check_append=803626<>WrongTypeAddedAnalysis=check_insert=803626<>WrongTypeAddedAnalysis=check_extend=803626<>WrongTypeAddedAnalysis=check_add=803626<>WrongTypeAddedAnalysis=check_add_assign=451401<>UnsafeListIterator=createList=78971<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=3610<>UnsafeDictIterator=updateDict=24176<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=31<>FileClosedAnalysis=close=30<>FileClosedAnalysis=end=29<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=close=2<>Requests_MustCloseSession=end=2
blizzardapi3,20260316_091811,4ca81121aa85dc22e1a253f4fd2b93aa68242dcd,1766204472,feat: complete v3 implementation with passing tests,False,dylin,x,x,x,x,x,x,x,83.0,dylin,x,0.0,x,x,x,,,,,,,,,,
blizzardapi3,20260316_091811,26cb2b94336446687e238c4b1930649d48804f67,1766248569,Initial commit,False,original,32,0,0,0,0,0,2.01,83.25,original,0.0,0.0,2.734166383743286,0.0,2.734166383743286,,,,,,,,,,
blizzardapi3,20260316_091811,26cb2b94336446687e238c4b1930649d48804f67,1766248569,Initial commit,False,pymop,32,0,0,0,0,0,824.91,83.25,pymop,5.740807771682739,0.2764983177185058,841.6304941177368,0.0,847.6478002071381,5.0,InvalidComparisonAnalysis=2;WrongTypeAddedAnalysis=2;StringConcatAnalysis=1,3.0,InvalidComparisonAnalysis=1;WrongTypeAddedAnalysis=1;StringConcatAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/lib/python3.12/site-packages/yaml/scanner.py:1293=1,,56391.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=46727<>UnsafeDictIterator=9371<>ArgParse_Parent=1<>FileClosedAnalysis=252<>faulthandler_disableBeforeClose=1<>Requests_MustCloseSession=4,86923672.0,BuiltinAllAnalysis=violation=9832974<>ComparisonBehaviorAnalysis=ne_end=1069669<>ComparisonBehaviorAnalysis=eq_end=4103435<>InPlaceSortAnalysis=list_used=2885592<>InPlaceSortAnalysis=list_sorted=23<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5173092<>NonFinitesAnalysis=non_finite_op=9832864<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6720847<>StringStripAnalysis=strip=106<>WrongTypeAddedAnalysis=check_append=9828755<>WrongTypeAddedAnalysis=check_insert=9828755<>WrongTypeAddedAnalysis=check_extend=9828755<>WrongTypeAddedAnalysis=check_add=9828755<>WrongTypeAddedAnalysis=check_add_assign=6720847<>UnsafeListIterator=createList=977154<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=21470<>UnsafeDictIterator=updateDict=270158<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=127<>FileClosedAnalysis=close=126<>FileClosedAnalysis=end=125<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=close=2<>Requests_MustCloseSession=end=2
blizzardapi3,20260316_091811,26cb2b94336446687e238c4b1930649d48804f67,1766248569,Initial commit,False,dylin,x,x,x,x,x,x,x,83.25,dylin,x,0.0,x,x,x,,,,,,,,,,
blizzardapi3,20260316_091811,a57424ac4c115af0b00aa01ef320e7c1beba0ffb,1766249791,formatting,False,original,32,0,0,0,0,0,2.02,83.25,original,0.0,0.0,2.7674455642700195,0.0,2.7674455642700195,,,,,,,,,,
blizzardapi3,20260316_091811,a57424ac4c115af0b00aa01ef320e7c1beba0ffb,1766249791,formatting,False,pymop,32,0,0,0,0,0,829.05,83.25,pymop,5.745609283447266,0.2597205638885498,845.980367898941,0.0,851.9856977462769,6.0,InvalidComparisonAnalysis=2;WrongTypeAddedAnalysis=3;StringConcatAnalysis=1,3.0,InvalidComparisonAnalysis=1;WrongTypeAddedAnalysis=1;StringConcatAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/lib/python3.12/site-packages/yaml/scanner.py:1293=1,,59483.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=50303<>UnsafeDictIterator=8887<>ArgParse_Parent=1<>FileClosedAnalysis=252<>faulthandler_disableBeforeClose=1<>Requests_MustCloseSession=4,86924113.0,BuiltinAllAnalysis=violation=9833056<>ComparisonBehaviorAnalysis=ne_end=1069669<>ComparisonBehaviorAnalysis=eq_end=4103437<>InPlaceSortAnalysis=list_used=2885599<>InPlaceSortAnalysis=list_sorted=23<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5173094<>NonFinitesAnalysis=non_finite_op=9832946<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6720848<>StringStripAnalysis=strip=106<>WrongTypeAddedAnalysis=check_append=9828821<>WrongTypeAddedAnalysis=check_insert=9828821<>WrongTypeAddedAnalysis=check_extend=9828821<>WrongTypeAddedAnalysis=check_add=9828821<>WrongTypeAddedAnalysis=check_add_assign=6720848<>UnsafeListIterator=createList=977154<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=21470<>UnsafeDictIterator=updateDict=270158<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=127<>FileClosedAnalysis=close=126<>FileClosedAnalysis=end=125<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=close=2<>Requests_MustCloseSession=end=2
blizzardapi3,20260316_091811,a57424ac4c115af0b00aa01ef320e7c1beba0ffb,1766249791,formatting,False,dylin,x,x,x,x,x,x,x,83.25,dylin,x,0.0,x,x,x,,,,,,,,,,
blizzardapi3,20260316_091811,f892f7d9d7ec9d83a112e31361182ae677df5c8b,1769284999,feat: added stub files for IDE autocomplete and API files for all games,False,original,32,0,0,0,0,0,1.98,85.05,original,0.0,0.0,2.700732707977295,0.0,2.700732707977295,,,,,,,,,,
