project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
bmasterai,20260324_134052,672859d74395c1f68f65be439da8b801fd656519,1754348984,feat: add bmasterai logging and builtin fastmcp,False,original,15,0,0,0,0,0,55.42,34.46,original,0.0,0.0,55.711923122406006,0.0,55.711923122406006,,,,,,,,,,
bmasterai,20260324_134052,672859d74395c1f68f65be439da8b801fd656519,1754348984,feat: add bmasterai logging and builtin fastmcp,False,pymop,15,0,0,0,0,0,56.17,34.46,pymop,0.857551097869873,0.3104991912841797,58.881401777267456,0.0,60.04945206642151,28.0,FileClosedAnalysis=28,2.0,FileClosedAnalysis=2,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={'tests/test_enhanced_functionality.py::test_integration_manager'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_enhanced_functionality.py::test_integration_manager'},721.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=294<>UnsafeListIterator=70<>UnsafeDictIterator=309<>Pydocs_MustReleaseLock=24<>Thread_StartOnce=11,16174.0,BuiltinAllAnalysis=violation=2419<>ComparisonBehaviorAnalysis=eq_end=89<>InPlaceSortAnalysis=list_used=80<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=89<>NonFinitesAnalysis=non_finite_op=2419<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=118<>WrongTypeAddedAnalysis=check_append=2424<>WrongTypeAddedAnalysis=check_insert=2424<>WrongTypeAddedAnalysis=check_extend=2424<>WrongTypeAddedAnalysis=check_add=2424<>WrongTypeAddedAnalysis=check_add_assign=118<>FileClosedAnalysis=open=148<>FileClosedAnalysis=close=133<>FileClosedAnalysis=end=146<>UnsafeListIterator=createList=70<>UnsafeListIterator=updateList=101<>UnsafeDictIterator=createDict=341<>UnsafeDictIterator=updateDict=25<>Pydocs_MustReleaseLock=acquire=78<>Pydocs_MustReleaseLock=release=78<>Pydocs_MustReleaseLock=end=12<>Thread_StartOnce=start=11
bmasterai,20260324_134052,672859d74395c1f68f65be439da8b801fd656519,1754348984,feat: add bmasterai logging and builtin fastmcp,False,pymop_libs,15,0,0,0,0,0,57.96,34.46,pymop_libs,4.975178480148315,0.2621636390686035,63.19234585762024,0.0,68.42968797683716,29.0,WrongTypeAddedAnalysis=1;FileClosedAnalysis=28,3.0,WrongTypeAddedAnalysis=1;FileClosedAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={'tests/test_enhanced_functionality.py::test_integration_manager'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_enhanced_functionality.py::test_integration_manager'},3671.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2243<>UnsafeDictIterator=1072<>ArgParse_Parent=1<>FileClosedAnalysis=284<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=24<>Thread_StartOnce=11,421624.0,BuiltinAllAnalysis=violation=64758<>ComparisonBehaviorAnalysis=ne_end=610<>ComparisonBehaviorAnalysis=eq_end=2433<>InPlaceSortAnalysis=list_used=8925<>InPlaceSortAnalysis=list_sorted=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3031<>NonFinitesAnalysis=non_finite_op=64648<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3018<>StringStripAnalysis=strip=45<>WrongTypeAddedAnalysis=check_append=65175<>WrongTypeAddedAnalysis=check_insert=65175<>WrongTypeAddedAnalysis=check_extend=65175<>WrongTypeAddedAnalysis=check_add=65175<>WrongTypeAddedAnalysis=check_add_assign=3018<>UnsafeListIterator=createList=5543<>UnsafeListIterator=updateList=101<>UnsafeDictIterator=createDict=1188<>UnsafeDictIterator=updateDict=2979<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=143<>FileClosedAnalysis=close=128<>FileClosedAnalysis=end=141<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=78<>Pydocs_MustReleaseLock=release=78<>Pydocs_MustReleaseLock=end=12<>Thread_StartOnce=start=11
bmasterai,20260324_134052,672859d74395c1f68f65be439da8b801fd656519,1754348984,feat: add bmasterai logging and builtin fastmcp,False,dylin,15,0,0,0,0,0,57.47,34.46,dylin,8.484211206436157,0.0,59.120015382766724,0.16372251510620117,67.76794910430908,0.0,,0.0,,,,,,,
bmasterai,20260324_134052,0b37443329bf26d8941bb355ecaff8db41dcdeb8,1754494797,update,False,original,15,0,0,0,0,0,55.43,34.46,original,0.0,0.0,55.71606111526489,0.0,55.71606111526489,,,,,,,,,,
bmasterai,20260324_134052,0b37443329bf26d8941bb355ecaff8db41dcdeb8,1754494797,update,False,pymop,15,0,0,0,0,0,56.17,34.46,pymop,0.8555500507354736,0.3047401905059814,58.863784074783325,0.0,60.02407431602478,28.0,FileClosedAnalysis=28,2.0,FileClosedAnalysis=2,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={'tests/test_enhanced_functionality.py::test_integration_manager'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_enhanced_functionality.py::test_integration_manager'},724.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=292<>UnsafeListIterator=69<>UnsafeDictIterator=315<>Pydocs_MustReleaseLock=24<>Thread_StartOnce=11,16172.0,BuiltinAllAnalysis=violation=2419<>ComparisonBehaviorAnalysis=eq_end=89<>InPlaceSortAnalysis=list_used=80<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=89<>NonFinitesAnalysis=non_finite_op=2419<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=118<>WrongTypeAddedAnalysis=check_append=2424<>WrongTypeAddedAnalysis=check_insert=2424<>WrongTypeAddedAnalysis=check_extend=2424<>WrongTypeAddedAnalysis=check_add=2424<>WrongTypeAddedAnalysis=check_add_assign=118<>FileClosedAnalysis=open=147<>FileClosedAnalysis=close=132<>FileClosedAnalysis=end=145<>UnsafeListIterator=createList=70<>UnsafeListIterator=updateList=101<>UnsafeDictIterator=createDict=342<>UnsafeDictIterator=updateDict=25<>Pydocs_MustReleaseLock=acquire=78<>Pydocs_MustReleaseLock=release=78<>Pydocs_MustReleaseLock=end=12<>Thread_StartOnce=start=11
bmasterai,20260324_134052,0b37443329bf26d8941bb355ecaff8db41dcdeb8,1754494797,update,False,pymop_libs,15,0,0,0,0,0,57.88,34.46,pymop_libs,5.026898384094238,0.2448070049285888,63.07329225540161,0.0,68.34499764442444,29.0,WrongTypeAddedAnalysis=1;FileClosedAnalysis=28,3.0,WrongTypeAddedAnalysis=1;FileClosedAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={'tests/test_enhanced_functionality.py::test_integration_manager'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_enhanced_functionality.py::test_integration_manager'},3660.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2243<>UnsafeDictIterator=1055<>ArgParse_Parent=1<>FileClosedAnalysis=290<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=24<>Thread_StartOnce=11,421961.0,BuiltinAllAnalysis=violation=64790<>ComparisonBehaviorAnalysis=ne_end=610<>ComparisonBehaviorAnalysis=eq_end=2466<>InPlaceSortAnalysis=list_used=8925<>InPlaceSortAnalysis=list_sorted=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3064<>NonFinitesAnalysis=non_finite_op=64680<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3051<>StringStripAnalysis=strip=45<>WrongTypeAddedAnalysis=check_append=65208<>WrongTypeAddedAnalysis=check_insert=65208<>WrongTypeAddedAnalysis=check_extend=65208<>WrongTypeAddedAnalysis=check_add=65208<>WrongTypeAddedAnalysis=check_add_assign=3051<>UnsafeListIterator=createList=5543<>UnsafeListIterator=updateList=101<>UnsafeDictIterator=createDict=1188<>UnsafeDictIterator=updateDict=2979<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=146<>FileClosedAnalysis=close=131<>FileClosedAnalysis=end=144<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=78<>Pydocs_MustReleaseLock=release=78<>Pydocs_MustReleaseLock=end=12<>Thread_StartOnce=start=11
bmasterai,20260324_134052,0b37443329bf26d8941bb355ecaff8db41dcdeb8,1754494797,update,False,dylin,15,0,0,0,0,0,57.46,34.46,dylin,8.460700273513794,0.0,59.02909183502197,0.15689945220947266,67.64669156074524,0.0,,0.0,,,,,,,
bmasterai,20260324_134052,c855bc6bf1221f21202fe6771b5ed4d65caddb4c,1754499056,new example,False,original,15,0,0,0,0,0,55.44,34.46,original,0.0,0.0,55.7515013217926,0.0,55.7515013217926,,,,,,,,,,
bmasterai,20260324_134052,c855bc6bf1221f21202fe6771b5ed4d65caddb4c,1754499056,new example,False,pymop,15,0,0,0,0,0,56.23,34.46,pymop,0.8515212535858154,0.3197193145751953,58.97311496734619,0.0,60.1443555355072,28.0,FileClosedAnalysis=28,2.0,FileClosedAnalysis=2,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,FileClosedAnalysis:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={'tests/test_enhanced_functionality.py::test_integration_manager'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_enhanced_functionality.py::test_integration_manager'},710.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=294<>UnsafeListIterator=67<>UnsafeDictIterator=301<>Pydocs_MustReleaseLock=24<>Thread_StartOnce=11,16174.0,BuiltinAllAnalysis=violation=2419<>ComparisonBehaviorAnalysis=eq_end=89<>InPlaceSortAnalysis=list_used=80<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=89<>NonFinitesAnalysis=non_finite_op=2419<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=118<>WrongTypeAddedAnalysis=check_append=2424<>WrongTypeAddedAnalysis=check_insert=2424<>WrongTypeAddedAnalysis=check_extend=2424<>WrongTypeAddedAnalysis=check_add=2424<>WrongTypeAddedAnalysis=check_add_assign=118<>FileClosedAnalysis=open=148<>FileClosedAnalysis=close=133<>FileClosedAnalysis=end=146<>UnsafeListIterator=createList=70<>UnsafeListIterator=updateList=101<>UnsafeDictIterator=createDict=341<>UnsafeDictIterator=updateDict=25<>Pydocs_MustReleaseLock=acquire=78<>Pydocs_MustReleaseLock=release=78<>Pydocs_MustReleaseLock=end=12<>Thread_StartOnce=start=11
