project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
conllu_tools,20260324_134028,0cf1d69a835c36c6ce3c8cf0f7a615eea6c53e69,1763828031,added features_to_xpos function,False,original,1276,0,0,0,0,2,15.67,x,original,0.0,0.0,16.52389645576477,0.0,16.52389645576477,,,,,,,,,,
conllu_tools,20260324_134028,0cf1d69a835c36c6ce3c8cf0f7a615eea6c53e69,1763828031,added features_to_xpos function,False,pymop,1276,0,0,0,0,2,1449.29,x,pymop,2.761715888977051,0.610609769821167,1476.7125988006592,0.0,1480.0849244594574,1001.0,ItemInList=1001,2.0,ItemInList=2,ItemInList:/nlp_utilities/brat/brat_to_conllu.py:261=1;ItemInList:/nlp_utilities/brat/brat_to_conllu.py:99=1,ItemInList:/nlp_utilities/brat/brat_to_conllu.py:261={'tests/brat/integration/test_real_world_data.py::test_brat_to_conllu_matches_original'};ItemInList:/nlp_utilities/brat/brat_to_conllu.py:99={'tests/brat/integration/test_real_world_data.py::test_brat_to_conllu_matches_original'},116441.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=1412<>UnsafeListIterator=79087<>PyDocs_UnsafeIterUseAfterTee=86<>UnsafeDictIterator=35829<>ItemInList=3<>PyDocs_MustSortBeforeGroupBy=9<>UnsafeArrayIterator=2,35548457.0,BuiltinAllAnalysis=violation=4358544<>ComparisonBehaviorAnalysis=ne_end=797221<>ComparisonBehaviorAnalysis=eq_end=939903<>InPlaceSortAnalysis=list_sorted=4164<>InPlaceSortAnalysis=list_used=1978658<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1737124<>NonFinitesAnalysis=non_finite_op=4358544<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1309237<>StringStripAnalysis=strip=3713<>WrongTypeAddedAnalysis=check_append=4358626<>WrongTypeAddedAnalysis=check_insert=4358626<>WrongTypeAddedAnalysis=check_extend=4358626<>WrongTypeAddedAnalysis=check_add=4358626<>WrongTypeAddedAnalysis=check_add_assign=1309237<>FileClosedAnalysis=open=707<>FileClosedAnalysis=close=706<>FileClosedAnalysis=end=705<>UnsafeListIterator=createList=531825<>UnsafeListIterator=updateList=525667<>PyDocs_UnsafeIterUseAfterTee=createIter=86<>UnsafeDictIterator=createDict=108323<>UnsafeDictIterator=updateDict=148405<>ItemInList=list_contains=1001<>PyDocs_MustSortBeforeGroupBy=sort=11<>PyDocs_MustSortBeforeGroupBy=modify=168<>UnsafeArrayIterator=createArray=2
conllu_tools,20260324_134028,0cf1d69a835c36c6ce3c8cf0f7a615eea6c53e69,1763828031,added features_to_xpos function,False,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,2.761715888977051,0.610609769821167,2736.9779527187347,0.0,2740.350278377533,1001.0,ItemInList=1001,2.0,ItemInList=2,ItemInList:/nlp_utilities/brat/brat_to_conllu.py:261=1;ItemInList:/nlp_utilities/brat/brat_to_conllu.py:99=1,ItemInList:/nlp_utilities/brat/brat_to_conllu.py:261={'tests/brat/integration/test_real_world_data.py::test_brat_to_conllu_matches_original'};ItemInList:/nlp_utilities/brat/brat_to_conllu.py:99={'tests/brat/integration/test_real_world_data.py::test_brat_to_conllu_matches_original'},116441.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=1412<>UnsafeListIterator=79087<>PyDocs_UnsafeIterUseAfterTee=86<>UnsafeDictIterator=35829<>ItemInList=3<>PyDocs_MustSortBeforeGroupBy=9<>UnsafeArrayIterator=2,35548457.0,BuiltinAllAnalysis=violation=4358544<>ComparisonBehaviorAnalysis=ne_end=797221<>ComparisonBehaviorAnalysis=eq_end=939903<>InPlaceSortAnalysis=list_sorted=4164<>InPlaceSortAnalysis=list_used=1978658<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1737124<>NonFinitesAnalysis=non_finite_op=4358544<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1309237<>StringStripAnalysis=strip=3713<>WrongTypeAddedAnalysis=check_append=4358626<>WrongTypeAddedAnalysis=check_insert=4358626<>WrongTypeAddedAnalysis=check_extend=4358626<>WrongTypeAddedAnalysis=check_add=4358626<>WrongTypeAddedAnalysis=check_add_assign=1309237<>FileClosedAnalysis=open=707<>FileClosedAnalysis=close=706<>FileClosedAnalysis=end=705<>UnsafeListIterator=createList=531825<>UnsafeListIterator=updateList=525667<>PyDocs_UnsafeIterUseAfterTee=createIter=86<>UnsafeDictIterator=createDict=108323<>UnsafeDictIterator=updateDict=148405<>ItemInList=list_contains=1001<>PyDocs_MustSortBeforeGroupBy=sort=11<>PyDocs_MustSortBeforeGroupBy=modify=168<>UnsafeArrayIterator=createArray=2
conllu_tools,20260324_134028,0cf1d69a835c36c6ce3c8cf0f7a615eea6c53e69,1763828031,added features_to_xpos function,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
conllu_tools,20260324_134028,9674ed222c170dbae6a94bdec6409cd5efb2d6e0,1763828082,re-architected morphology normalization workflow,True,original,1080,0,0,0,0,26,15.18,x,original,0.0,0.0,16.04989981651306,0.0,16.04989981651306,,,,,,,,,,
conllu_tools,20260324_134028,9674ed222c170dbae6a94bdec6409cd5efb2d6e0,1763828082,re-architected morphology normalization workflow,True,pymop,1080,0,0,0,0,26,1405.21,x,pymop,2.8770437240600586,0.6500697135925293,1433.915325164795,0.0,1437.4424386024475,0.0,,0.0,,,,125780.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=544<>UnsafeListIterator=88577<>PyDocs_UnsafeIterUseAfterTee=86<>UnsafeDictIterator=36550<>PyDocs_MustSortBeforeGroupBy=8<>UnsafeArrayIterator=2,34851191.0,BuiltinAllAnalysis=violation=4297440<>ComparisonBehaviorAnalysis=eq_end=814848<>ComparisonBehaviorAnalysis=ne_end=795228<>InPlaceSortAnalysis=list_used=1959541<>InPlaceSortAnalysis=list_sorted=3939<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1610076<>NonFinitesAnalysis=non_finite_op=4297440<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1301663<>StringStripAnalysis=strip=1235<>WrongTypeAddedAnalysis=check_append=4297497<>WrongTypeAddedAnalysis=check_insert=4297497<>WrongTypeAddedAnalysis=check_extend=4297497<>WrongTypeAddedAnalysis=check_add=4297497<>WrongTypeAddedAnalysis=check_add_assign=1301663<>FileClosedAnalysis=open=273<>FileClosedAnalysis=close=272<>FileClosedAnalysis=end=271<>UnsafeListIterator=createList=515135<>UnsafeListIterator=updateList=518084<>PyDocs_UnsafeIterUseAfterTee=createIter=86<>UnsafeDictIterator=createDict=104114<>UnsafeDictIterator=updateDict=139784<>PyDocs_MustSortBeforeGroupBy=sort=11<>PyDocs_MustSortBeforeGroupBy=modify=96<>UnsafeArrayIterator=createArray=2
conllu_tools,20260324_134028,9674ed222c170dbae6a94bdec6409cd5efb2d6e0,1763828082,re-architected morphology normalization workflow,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,2.8770437240600586,0.6500697135925293,1792.4648687839508,0.0,1795.9919822216034,0.0,,0.0,,,,125780.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=544<>UnsafeListIterator=88577<>PyDocs_UnsafeIterUseAfterTee=86<>UnsafeDictIterator=36550<>PyDocs_MustSortBeforeGroupBy=8<>UnsafeArrayIterator=2,34851191.0,BuiltinAllAnalysis=violation=4297440<>ComparisonBehaviorAnalysis=eq_end=814848<>ComparisonBehaviorAnalysis=ne_end=795228<>InPlaceSortAnalysis=list_used=1959541<>InPlaceSortAnalysis=list_sorted=3939<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1610076<>NonFinitesAnalysis=non_finite_op=4297440<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1301663<>StringStripAnalysis=strip=1235<>WrongTypeAddedAnalysis=check_append=4297497<>WrongTypeAddedAnalysis=check_insert=4297497<>WrongTypeAddedAnalysis=check_extend=4297497<>WrongTypeAddedAnalysis=check_add=4297497<>WrongTypeAddedAnalysis=check_add_assign=1301663<>FileClosedAnalysis=open=273<>FileClosedAnalysis=close=272<>FileClosedAnalysis=end=271<>UnsafeListIterator=createList=515135<>UnsafeListIterator=updateList=518084<>PyDocs_UnsafeIterUseAfterTee=createIter=86<>UnsafeDictIterator=createDict=104114<>UnsafeDictIterator=updateDict=139784<>PyDocs_MustSortBeforeGroupBy=sort=11<>PyDocs_MustSortBeforeGroupBy=modify=96<>UnsafeArrayIterator=createArray=2
conllu_tools,20260324_134028,9674ed222c170dbae6a94bdec6409cd5efb2d6e0,1763828082,re-architected morphology normalization workflow,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
conllu_tools,20260324_134028,0febf2a3cc881d50368f0e0e9c0ff3d4e8fa2960,1763828175,added morphology validators,True,original,1080,0,0,0,0,26,15.40,x,original,0.0,0.0,16.2218074798584,0.0,16.2218074798584,,,,,,,,,,
conllu_tools,20260324_134028,0febf2a3cc881d50368f0e0e9c0ff3d4e8fa2960,1763828175,added morphology validators,True,pymop,1080,0,0,0,0,26,932.48,x,pymop,2.8209452629089355,0.6174499988555908,956.9856326580048,0.0,960.4240279197693,0.0,,0.0,,,,99011.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=544<>UnsafeListIterator=66315<>PyDocs_UnsafeIterUseAfterTee=86<>UnsafeDictIterator=32044<>PyDocs_MustSortBeforeGroupBy=7<>UnsafeArrayIterator=2,34851167.0,BuiltinAllAnalysis=violation=4297440<>ComparisonBehaviorAnalysis=eq_end=814848<>ComparisonBehaviorAnalysis=ne_end=795228<>InPlaceSortAnalysis=list_used=1959541<>InPlaceSortAnalysis=list_sorted=3939<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1610076<>NonFinitesAnalysis=non_finite_op=4297440<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1301663<>StringStripAnalysis=strip=1235<>WrongTypeAddedAnalysis=check_append=4297497<>WrongTypeAddedAnalysis=check_insert=4297497<>WrongTypeAddedAnalysis=check_extend=4297497<>WrongTypeAddedAnalysis=check_add=4297497<>WrongTypeAddedAnalysis=check_add_assign=1301663<>FileClosedAnalysis=open=273<>FileClosedAnalysis=close=272<>FileClosedAnalysis=end=271<>UnsafeListIterator=createList=515135<>UnsafeListIterator=updateList=518071<>PyDocs_UnsafeIterUseAfterTee=createIter=86<>UnsafeDictIterator=createDict=104114<>UnsafeDictIterator=updateDict=139784<>PyDocs_MustSortBeforeGroupBy=sort=11<>PyDocs_MustSortBeforeGroupBy=modify=85<>UnsafeArrayIterator=createArray=2
