project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
deploy-config-generator,20260324_134050,55bf944135b542ea889a9adeee90931ba6c677c5,1585769837,PD-6144 Add 'credentials' field for KongConsumer,False,original,13,0,0,0,0,1,0.31,x,original,0.0,0.0,0.7486903667449951,0.0,0.7486903667449951,,,,,,,,,,
deploy-config-generator,20260324_134050,55bf944135b542ea889a9adeee90931ba6c677c5,1585769837,PD-6144 Add 'credentials' field for KongConsumer,False,pymop,13,0,0,0,0,1,0.47,x,pymop,2.1991562843322754,1.0466411113739014,3.098653554916382,0.0,6.344450950622559,9.0,WrongTypeAddedAnalysis=9,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,"WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190={'tests/unit/vars_test.py::TestVars::test_read_vars_other', 'tests/unit/vars_test.py::TestVars::test_read_vars_empty_lines', 'tests/unit/vars_test.py::TestVars::test_read_vars_quotes', 'tests/unit/vars_test.py::TestVars::test_var_quoting', 'tests/unit/vars_test.py::TestVars::test_parse_errors_1', 'tests/unit/vars_test.py::TestVars::test_read_vars_comment', 'tests/unit/vars_test.py::TestVars::test_read_vars_simple', 'tests/unit/vars_test.py::TestVars::test_parse_errors_4', 'tests/unit/vars_test.py::TestVars::test_var_replacement'}",67.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeDictIterator=14<>UnsafeListIterator=20,9759.0,BuiltinAllAnalysis=violation=1095<>ComparisonBehaviorAnalysis=eq_end=1157<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1175<>NonFinitesAnalysis=non_finite_op=1095<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=344<>WrongTypeAddedAnalysis=check_add_assign=344<>WrongTypeAddedAnalysis=check_append=1110<>WrongTypeAddedAnalysis=check_insert=1110<>WrongTypeAddedAnalysis=check_extend=1110<>WrongTypeAddedAnalysis=check_add=1110<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeDictIterator=createDict=17<>UnsafeListIterator=createList=28
deploy-config-generator,20260324_134050,55bf944135b542ea889a9adeee90931ba6c677c5,1585769837,PD-6144 Add 'credentials' field for KongConsumer,False,pymop_libs,13,0,0,0,0,1,5.39,x,pymop_libs,10.56382131576538,0.6877548694610596,12.227664232254028,0.0,23.47924041748047,10.0,WrongTypeAddedAnalysis=10,2.0,WrongTypeAddedAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190={'tests/unit/vars_test.py::TestVars::test_read_vars_other', 'tests/unit/vars_test.py::TestVars::test_read_vars_empty_lines', 'tests/unit/vars_test.py::TestVars::test_read_vars_quotes', 'tests/unit/vars_test.py::TestVars::test_var_quoting', 'tests/unit/vars_test.py::TestVars::test_parse_errors_1', 'tests/unit/vars_test.py::TestVars::test_read_vars_comment', 'tests/unit/vars_test.py::TestVars::test_read_vars_simple', 'tests/unit/vars_test.py::TestVars::test_parse_errors_4', 'tests/unit/vars_test.py::TestVars::test_var_replacement'}",2431.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1739<>UnsafeDictIterator=641<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,661258.0,BuiltinAllAnalysis=violation=103536<>ComparisonBehaviorAnalysis=ne_end=641<>ComparisonBehaviorAnalysis=eq_end=4217<>InPlaceSortAnalysis=list_used=12217<>InPlaceSortAnalysis=list_sorted=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4848<>NonFinitesAnalysis=non_finite_op=103437<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2947<>StringStripAnalysis=strip=74<>WrongTypeAddedAnalysis=check_append=104474<>WrongTypeAddedAnalysis=check_insert=104474<>WrongTypeAddedAnalysis=check_extend=104474<>WrongTypeAddedAnalysis=check_add=104474<>WrongTypeAddedAnalysis=check_add_assign=2947<>UnsafeListIterator=createList=5184<>UnsafeDictIterator=createDict=687<>UnsafeDictIterator=updateDict=2573<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
deploy-config-generator,20260324_134050,55bf944135b542ea889a9adeee90931ba6c677c5,1585769837,PD-6144 Add 'credentials' field for KongConsumer,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
deploy-config-generator,20260324_134050,d64c87777340d8ef11dcdff6dea63a4ab0380ace,1586803373,Support for DNSEndpoint CRD,False,original,13,0,0,0,0,1,0.31,x,original,0.0,0.0,0.8781678676605225,0.0,0.8781678676605225,,,,,,,,,,
deploy-config-generator,20260324_134050,d64c87777340d8ef11dcdff6dea63a4ab0380ace,1586803373,Support for DNSEndpoint CRD,False,pymop,13,0,0,0,0,1,0.47,x,pymop,2.3262863159179688,0.8855009078979492,3.030931234359741,0.0,6.242718458175659,9.0,WrongTypeAddedAnalysis=9,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,"WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190={'tests/unit/vars_test.py::TestVars::test_read_vars_other', 'tests/unit/vars_test.py::TestVars::test_read_vars_empty_lines', 'tests/unit/vars_test.py::TestVars::test_read_vars_quotes', 'tests/unit/vars_test.py::TestVars::test_var_quoting', 'tests/unit/vars_test.py::TestVars::test_parse_errors_1', 'tests/unit/vars_test.py::TestVars::test_read_vars_comment', 'tests/unit/vars_test.py::TestVars::test_read_vars_simple', 'tests/unit/vars_test.py::TestVars::test_parse_errors_4', 'tests/unit/vars_test.py::TestVars::test_var_replacement'}",68.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeDictIterator=13<>UnsafeListIterator=22,9759.0,BuiltinAllAnalysis=violation=1095<>ComparisonBehaviorAnalysis=eq_end=1157<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1175<>NonFinitesAnalysis=non_finite_op=1095<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=344<>WrongTypeAddedAnalysis=check_add_assign=344<>WrongTypeAddedAnalysis=check_append=1110<>WrongTypeAddedAnalysis=check_insert=1110<>WrongTypeAddedAnalysis=check_extend=1110<>WrongTypeAddedAnalysis=check_add=1110<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeDictIterator=createDict=17<>UnsafeListIterator=createList=28
deploy-config-generator,20260324_134050,d64c87777340d8ef11dcdff6dea63a4ab0380ace,1586803373,Support for DNSEndpoint CRD,False,pymop_libs,13,0,0,0,0,1,5.40,x,pymop_libs,10.251563310623169,0.571014404296875,12.173769474029541,0.0,22.996347188949585,12.0,WrongTypeAddedAnalysis=12,2.0,WrongTypeAddedAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190={'tests/unit/vars_test.py::TestVars::test_read_vars_other', 'tests/unit/vars_test.py::TestVars::test_read_vars_empty_lines', 'tests/unit/vars_test.py::TestVars::test_read_vars_quotes', 'tests/unit/vars_test.py::TestVars::test_var_quoting', 'tests/unit/vars_test.py::TestVars::test_parse_errors_1', 'tests/unit/vars_test.py::TestVars::test_read_vars_comment', 'tests/unit/vars_test.py::TestVars::test_read_vars_simple', 'tests/unit/vars_test.py::TestVars::test_parse_errors_4', 'tests/unit/vars_test.py::TestVars::test_var_replacement'}",2513.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1807<>UnsafeDictIterator=655<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,667790.0,BuiltinAllAnalysis=violation=104573<>ComparisonBehaviorAnalysis=ne_end=648<>ComparisonBehaviorAnalysis=eq_end=4244<>InPlaceSortAnalysis=list_used=12363<>InPlaceSortAnalysis=list_sorted=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4882<>NonFinitesAnalysis=non_finite_op=104474<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2950<>StringStripAnalysis=strip=74<>WrongTypeAddedAnalysis=check_append=105518<>WrongTypeAddedAnalysis=check_insert=105518<>WrongTypeAddedAnalysis=check_extend=105518<>WrongTypeAddedAnalysis=check_add=105518<>WrongTypeAddedAnalysis=check_add_assign=2950<>UnsafeListIterator=createList=5234<>UnsafeDictIterator=createDict=693<>UnsafeDictIterator=updateDict=2579<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
deploy-config-generator,20260324_134050,d64c87777340d8ef11dcdff6dea63a4ab0380ace,1586803373,Support for DNSEndpoint CRD,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
deploy-config-generator,20260324_134050,3449e138cb594ff47c5400812f73914a8eefb49b,1587730899,Move kong ingress upstream slots to correct place,False,original,13,0,0,0,0,1,0.31,x,original,0.0,0.0,0.8438613414764404,0.0,0.8438613414764404,,,,,,,,,,
deploy-config-generator,20260324_134050,3449e138cb594ff47c5400812f73914a8eefb49b,1587730899,Move kong ingress upstream slots to correct place,False,pymop,13,0,0,0,0,1,0.47,x,pymop,2.102883815765381,1.0085279941558838,2.994382619857788,0.0,6.105794429779053,9.0,WrongTypeAddedAnalysis=9,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,"WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190={'tests/unit/vars_test.py::TestVars::test_read_vars_other', 'tests/unit/vars_test.py::TestVars::test_read_vars_empty_lines', 'tests/unit/vars_test.py::TestVars::test_read_vars_quotes', 'tests/unit/vars_test.py::TestVars::test_var_quoting', 'tests/unit/vars_test.py::TestVars::test_parse_errors_1', 'tests/unit/vars_test.py::TestVars::test_read_vars_comment', 'tests/unit/vars_test.py::TestVars::test_read_vars_simple', 'tests/unit/vars_test.py::TestVars::test_parse_errors_4', 'tests/unit/vars_test.py::TestVars::test_var_replacement'}",67.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeDictIterator=13<>UnsafeListIterator=21,9759.0,BuiltinAllAnalysis=violation=1095<>ComparisonBehaviorAnalysis=eq_end=1157<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1175<>NonFinitesAnalysis=non_finite_op=1095<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=344<>WrongTypeAddedAnalysis=check_add_assign=344<>WrongTypeAddedAnalysis=check_append=1110<>WrongTypeAddedAnalysis=check_insert=1110<>WrongTypeAddedAnalysis=check_extend=1110<>WrongTypeAddedAnalysis=check_add=1110<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeDictIterator=createDict=17<>UnsafeListIterator=createList=28
