project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
gitted,20260324_134037,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,1748216848,#1: Refactor test scripts to use run_script helper and improve cross-platform support,False,original,5,0,0,0,0,0,0.04,x,original,0.0,0.0,0.21505403518676758,0.0,0.21505403518676758,,,,,,,,,,
gitted,20260324_134037,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,1748216848,#1: Refactor test scripts to use run_script helper and improve cross-platform support,False,pymop,5,0,0,0,0,0,0.07,x,pymop,0.6932210922241211,0.2969923019409179,0.996539831161499,0.0,1.986753225326538,3.0,Pydocs_NoReadAfterAccess=3,1.0,Pydocs_NoReadAfterAccess=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33={'tests/test_scripts.py::test_scripts_have_shebang'},44.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeListIterator=7<>Pydocs_NoReadAfterAccess=2,339.0,BuiltinAllAnalysis=violation=42<>ComparisonBehaviorAnalysis=ne_end=6<>ComparisonBehaviorAnalysis=eq_end=9<>InPlaceSortAnalysis=list_used=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=15<>NonFinitesAnalysis=non_finite_op=42<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=42<>WrongTypeAddedAnalysis=check_insert=42<>WrongTypeAddedAnalysis=check_extend=42<>WrongTypeAddedAnalysis=check_add=42<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeListIterator=createList=7<>UnsafeListIterator=updateList=2<>Pydocs_NoReadAfterAccess=access=3<>Pydocs_NoReadAfterAccess=vulnerable_open=3
gitted,20260324_134037,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,1748216848,#1: Refactor test scripts to use run_script helper and improve cross-platform support,False,pymop_libs,5,0,0,0,0,0,0.39,x,pymop_libs,4.521264553070068,0.2436974048614502,3.209665536880493,0.0,7.974627494812012,4.0,WrongTypeAddedAnalysis=1;Pydocs_NoReadAfterAccess=3,2.0,WrongTypeAddedAnalysis=1;Pydocs_NoReadAfterAccess=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33={'tests/test_scripts.py::test_scripts_have_shebang'},1486.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1020<>UnsafeDictIterator=411<>ArgParse_Parent=1<>FileClosedAnalysis=16<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2,228981.0,BuiltinAllAnalysis=violation=35339<>ComparisonBehaviorAnalysis=ne_end=328<>ComparisonBehaviorAnalysis=eq_end=1280<>InPlaceSortAnalysis=list_used=4699<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1598<>NonFinitesAnalysis=non_finite_op=35240<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1768<>StringStripAnalysis=strip=18<>WrongTypeAddedAnalysis=check_append=35507<>WrongTypeAddedAnalysis=check_insert=35507<>WrongTypeAddedAnalysis=check_extend=35507<>WrongTypeAddedAnalysis=check_add=35507<>WrongTypeAddedAnalysis=check_add_assign=1768<>UnsafeListIterator=createList=2355<>UnsafeListIterator=updateList=2<>UnsafeDictIterator=createDict=432<>UnsafeDictIterator=updateDict=2062<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=3<>Pydocs_NoReadAfterAccess=vulnerable_open=3
gitted,20260324_134037,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,1748216848,#1: Refactor test scripts to use run_script helper and improve cross-platform support,False,dylin,5,0,0,0,0,0,2.69,x,dylin,4.209939002990723,0.0,4.456110000610352,0.17847585678100586,8.84452486038208,0.0,,0.0,,,,,,,
gitted,20260324_134037,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1748217054,"#1: Remove implementations from branch, pull, and push scripts; update tests",False,original,3,0,0,0,0,0,0.03,x,original,0.0,0.0,0.21335768699645996,0.0,0.21335768699645996,,,,,,,,,,
gitted,20260324_134037,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1748217054,"#1: Remove implementations from branch, pull, and push scripts; update tests",False,pymop,3,0,0,0,0,0,0.06,x,pymop,0.7857422828674316,0.3690743446350097,1.0706708431243896,0.0,2.225487470626831,3.0,Pydocs_NoReadAfterAccess=3,1.0,Pydocs_NoReadAfterAccess=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33={'tests/test_scripts.py::test_scripts_have_shebang'},40.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeListIterator=3<>Pydocs_NoReadAfterAccess=2,247.0,BuiltinAllAnalysis=violation=30<>ComparisonBehaviorAnalysis=ne_end=4<>ComparisonBehaviorAnalysis=eq_end=5<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9<>NonFinitesAnalysis=non_finite_op=30<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=30<>WrongTypeAddedAnalysis=check_insert=30<>WrongTypeAddedAnalysis=check_extend=30<>WrongTypeAddedAnalysis=check_add=30<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeListIterator=createList=3<>Pydocs_NoReadAfterAccess=access=3<>Pydocs_NoReadAfterAccess=vulnerable_open=3
gitted,20260324_134037,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1748217054,"#1: Remove implementations from branch, pull, and push scripts; update tests",False,pymop_libs,3,0,0,0,0,0,0.34,x,pymop_libs,5.210008144378662,0.323829174041748,3.521604299545288,0.0,9.055441617965698,5.0,WrongTypeAddedAnalysis=2;Pydocs_NoReadAfterAccess=3,2.0,WrongTypeAddedAnalysis=1;Pydocs_NoReadAfterAccess=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33={'tests/test_scripts.py::test_scripts_have_shebang'},1418.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=979<>UnsafeDictIterator=384<>ArgParse_Parent=1<>FileClosedAnalysis=16<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2,214301.0,BuiltinAllAnalysis=violation=33157<>ComparisonBehaviorAnalysis=ne_end=312<>ComparisonBehaviorAnalysis=eq_end=1142<>InPlaceSortAnalysis=list_used=4197<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1444<>NonFinitesAnalysis=non_finite_op=33058<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1691<>StringStripAnalysis=strip=12<>WrongTypeAddedAnalysis=check_append=33268<>WrongTypeAddedAnalysis=check_insert=33268<>WrongTypeAddedAnalysis=check_extend=33268<>WrongTypeAddedAnalysis=check_add=33268<>WrongTypeAddedAnalysis=check_add_assign=1691<>UnsafeListIterator=createList=2071<>UnsafeDictIterator=createDict=396<>UnsafeDictIterator=updateDict=1994<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=3<>Pydocs_NoReadAfterAccess=vulnerable_open=3
gitted,20260324_134037,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1748217054,"#1: Remove implementations from branch, pull, and push scripts; update tests",False,dylin,3,0,0,0,0,0,2.72,x,dylin,8.699231147766113,0.0,4.68599271774292,0.18108558654785156,13.566309452056885,0.0,,0.0,,,,,,,
gitted,20260324_134037,062796ed3f6822f67e646ad43b6ae5f3bbe29b4a,1748242216,#5: Refactor workflows and remove unused license check workflow,False,original,3,0,0,0,0,0,0.03,x,original,0.0,0.0,0.32352113723754883,0.0,0.32352113723754883,,,,,,,,,,
gitted,20260324_134037,062796ed3f6822f67e646ad43b6ae5f3bbe29b4a,1748242216,#5: Refactor workflows and remove unused license check workflow,False,pymop,3,0,0,0,0,0,0.06,x,pymop,0.7566797733306885,0.3251428604125976,2.7200875282287598,0.0,3.801910161972046,3.0,Pydocs_NoReadAfterAccess=3,1.0,Pydocs_NoReadAfterAccess=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35={'tests/test_scripts.py::test_scripts_have_shebang'},110.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeListIterator=3<>Pydocs_NoReadAfterAccess=2,352.0,BuiltinAllAnalysis=violation=30<>ComparisonBehaviorAnalysis=ne_end=4<>ComparisonBehaviorAnalysis=eq_end=5<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9<>NonFinitesAnalysis=non_finite_op=30<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=30<>WrongTypeAddedAnalysis=check_insert=30<>WrongTypeAddedAnalysis=check_extend=30<>WrongTypeAddedAnalysis=check_add=30<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeListIterator=createList=3<>Pydocs_NoReadAfterAccess=access=3<>Pydocs_NoReadAfterAccess=vulnerable_open=3
