project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
hybrid-rag-kb,20260324_134030,58030419e960cb376206354125d463f4c8ede07a,1768509133,"Refactor: Move app to src, add CLI, and update dependencies",True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.3654758930206299,0.0,1.3654758930206299,,,,,,,,,,
hybrid-rag-kb,20260324_134030,58030419e960cb376206354125d463f4c8ede07a,1768509133,"Refactor: Move app to src, add CLI, and update dependencies",True,pymop,x,x,x,x,x,x,x,x,pymop,3.4421818256378174,0.8458592891693115,11.85201120376587,0.0,16.140052318572998,0.0,,0.0,,,,155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=142,215.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=72<>FileClosedAnalysis=close=71<>FileClosedAnalysis=end=70
hybrid-rag-kb,20260324_134030,58030419e960cb376206354125d463f4c8ede07a,1768509133,"Refactor: Move app to src, add CLI, and update dependencies",True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,11.570374011993408,0.7212302684783936,40.12369656562805,0.0,52.41530084609985,3.0,WrongTypeAddedAnalysis=1;Pydocs_MustShutdownThreadPoolExecutor=1;Pydocs_UselessThreadPoolExecutor=1,3.0,WrongTypeAddedAnalysis=1;Pydocs_MustShutdownThreadPoolExecutor=1;Pydocs_UselessThreadPoolExecutor=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None};Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={None};Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={None},9230.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5630<>UnsafeDictIterator=3423<>ArgParse_Parent=1<>FileClosedAnalysis=136<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1,1459357.0,BuiltinAllAnalysis=violation=218421<>ComparisonBehaviorAnalysis=ne_end=1500<>ComparisonBehaviorAnalysis=eq_end=47094<>InPlaceSortAnalysis=list_used=24214<>InPlaceSortAnalysis=list_sorted=21<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=48582<>NonFinitesAnalysis=non_finite_op=218311<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=4428<>StringStripAnalysis=strip=20<>WrongTypeAddedAnalysis=check_append=217713<>WrongTypeAddedAnalysis=check_insert=217713<>WrongTypeAddedAnalysis=check_extend=217713<>WrongTypeAddedAnalysis=check_add=217713<>WrongTypeAddedAnalysis=check_add_assign=4428<>UnsafeListIterator=createList=11317<>UnsafeDictIterator=createDict=4919<>UnsafeDictIterator=updateDict=5014<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=69<>FileClosedAnalysis=close=68<>FileClosedAnalysis=end=67<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
hybrid-rag-kb,20260324_134030,58030419e960cb376206354125d463f4c8ede07a,1768509133,"Refactor: Move app to src, add CLI, and update dependencies",True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
hybrid-rag-kb,20260324_134030,8700a134407dc3d64a4f117c481e0e64e6593c4e,1768664035,"Persistent model config, stop command fix, CLI improvements",True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.2809433937072754,0.0,1.2809433937072754,,,,,,,,,,
hybrid-rag-kb,20260324_134030,8700a134407dc3d64a4f117c481e0e64e6593c4e,1768664035,"Persistent model config, stop command fix, CLI improvements",True,pymop,x,x,x,x,x,x,x,x,pymop,3.5053462982177734,0.8226852416992188,11.729982137680054,0.0,16.058013677597046,0.0,,0.0,,,,155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=142,215.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=72<>FileClosedAnalysis=close=71<>FileClosedAnalysis=end=70
hybrid-rag-kb,20260324_134030,8700a134407dc3d64a4f117c481e0e64e6593c4e,1768664035,"Persistent model config, stop command fix, CLI improvements",True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,10.963703393936157,0.7364692687988281,38.70186901092529,0.0,50.40204167366028,3.0,WrongTypeAddedAnalysis=1;Pydocs_MustShutdownThreadPoolExecutor=1;Pydocs_UselessThreadPoolExecutor=1,3.0,WrongTypeAddedAnalysis=1;Pydocs_MustShutdownThreadPoolExecutor=1;Pydocs_UselessThreadPoolExecutor=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None};Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={None};Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901={None},9199.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5591<>UnsafeDictIterator=3431<>ArgParse_Parent=1<>FileClosedAnalysis=136<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1,1460548.0,BuiltinAllAnalysis=violation=218571<>ComparisonBehaviorAnalysis=ne_end=1501<>ComparisonBehaviorAnalysis=eq_end=47163<>InPlaceSortAnalysis=list_used=24225<>InPlaceSortAnalysis=list_sorted=21<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=48652<>NonFinitesAnalysis=non_finite_op=218461<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=4494<>StringStripAnalysis=strip=20<>WrongTypeAddedAnalysis=check_append=217865<>WrongTypeAddedAnalysis=check_insert=217865<>WrongTypeAddedAnalysis=check_extend=217865<>WrongTypeAddedAnalysis=check_add=217865<>WrongTypeAddedAnalysis=check_add_assign=4494<>UnsafeListIterator=createList=11317<>UnsafeDictIterator=createDict=4919<>UnsafeDictIterator=updateDict=5014<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=69<>FileClosedAnalysis=close=68<>FileClosedAnalysis=end=67<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
hybrid-rag-kb,20260324_134030,8700a134407dc3d64a4f117c481e0e64e6593c4e,1768664035,"Persistent model config, stop command fix, CLI improvements",True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
hybrid-rag-kb,20260324_134030,8b16308f56bc0e06813b57ec13e4e755afc13b53,1768786621,fix timeout handling and GPU memory fallback,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,1.3823890686035156,0.0,1.3823890686035156,,,,,,,,,,
hybrid-rag-kb,20260324_134030,8b16308f56bc0e06813b57ec13e4e755afc13b53,1768786621,fix timeout handling and GPU memory fallback,True,pymop,x,x,x,x,x,x,x,x,pymop,3.5524396896362305,0.8421428203582764,11.590233325958252,0.0,15.984815835952759,0.0,,0.0,,,,155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=142,215.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=72<>FileClosedAnalysis=close=71<>FileClosedAnalysis=end=70
