project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
jedi,20260324_134031,f87342db371880e3125593bd82eadd1514f8d186,1713515593,created branch,False,original,2,0,0,0,0,0,2.96,x,original,0.0,0.0,3.4848244190216064,0.0,3.4848244190216064,,,,,,,,,,
jedi,20260324_134031,f87342db371880e3125593bd82eadd1514f8d186,1713515593,created branch,False,pymop,2,0,0,0,0,0,43.30,x,pymop,4.533118486404419,0.7199563980102539,46.68838429450989,0.0,51.94145917892456,0.0,,0.0,,,,231.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=216<>UnsafeListIterator=2,436.0,BuiltinAllAnalysis=violation=18<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=18<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=18<>WrongTypeAddedAnalysis=check_insert=18<>WrongTypeAddedAnalysis=check_extend=18<>WrongTypeAddedAnalysis=check_add=18<>FileClosedAnalysis=open=109<>FileClosedAnalysis=close=108<>FileClosedAnalysis=end=107<>UnsafeListIterator=createList=2
jedi,20260324_134031,f87342db371880e3125593bd82eadd1514f8d186,1713515593,created branch,False,pymop_libs,2,0,0,0,0,0,351.16,x,pymop_libs,11.365512132644653,0.7368149757385254,372.3192274570465,0.0,384.4215545654297,16.0,WrongTypeAddedAnalysis=1;NonFinitesAnalysis=1;InvalidComparisonAnalysis=6;ComparisonBehaviorAnalysis=5;RandomMustUseSeed=2;InPlaceSortAnalysis=1,8.0,WrongTypeAddedAnalysis=1;NonFinitesAnalysis=1;InvalidComparisonAnalysis=2;ComparisonBehaviorAnalysis=2;RandomMustUseSeed=1;InPlaceSortAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;NonFinitesAnalysis:/lib/python3.12/site-packages/matplotlib/transforms.py:666=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2460=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2470=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:914=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/_core/_internal.py:561=1;RandomMustUseSeed:/lib/python3.12/site-packages/strainjedi/quotes.py:9=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};NonFinitesAnalysis:/lib/python3.12/site-packages/matplotlib/transforms.py:666={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2460={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2470={None};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:914={None};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/_core/_internal.py:561={None};RandomMustUseSeed:/lib/python3.12/site-packages/strainjedi/quotes.py:9={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290={'tests/test_Jedi.py::TestJEDIHCN::test_partial'},27958.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=19680<>UnsafeDictIterator=8027<>ArgParse_Parent=1<>FileClosedAnalysis=210<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=1<>Thread_StartOnce=1<>RandomMustUseSeed=2,10086399.0,BuiltinAllAnalysis=violation=1550925<>ComparisonBehaviorAnalysis=ne_end=74867<>ComparisonBehaviorAnalysis=eq_end=50960<>InPlaceSortAnalysis=list_used=61008<>InPlaceSortAnalysis=list_sorted=4961<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=125817<>NonFinitesAnalysis=non_finite_op=1550826<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=13451<>StringStripAnalysis=strip=62742<>WrongTypeAddedAnalysis=check_append=1553885<>WrongTypeAddedAnalysis=check_insert=1553885<>WrongTypeAddedAnalysis=check_extend=1553885<>WrongTypeAddedAnalysis=check_add=1553885<>WrongTypeAddedAnalysis=check_add_assign=13451<>UnsafeListIterator=createList=58524<>UnsafeListIterator=createIter=144<>UnsafeListIterator=next=106<>UnsafeDictIterator=createDict=17173<>UnsafeDictIterator=updateDict=61663<>UnsafeDictIterator=createIter=1445<>UnsafeDictIterator=next=222449<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=106<>FileClosedAnalysis=close=105<>FileClosedAnalysis=end=104<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=1<>Thread_StartOnce=start=1<>RandomMustUseSeed=all=2
jedi,20260324_134031,f87342db371880e3125593bd82eadd1514f8d186,1713515593,created branch,False,dylin,2,0,0,0,0,0,5.78,x,dylin,19.071718215942383,0.0,9.309319972991943,0.397627592086792,28.778665781021118,0.0,,0.0,,,,,,,
jedi,20260324_134031,429ac0fae24310e376fb4013aefa79359e3c8ec4,1713522144,changed tcl scripts to load xF.xyz correctly,False,original,2,0,0,0,0,0,2.98,x,original,0.0,0.0,3.51987886428833,0.0,3.51987886428833,,,,,,,,,,
jedi,20260324_134031,429ac0fae24310e376fb4013aefa79359e3c8ec4,1713522144,changed tcl scripts to load xF.xyz correctly,False,pymop,2,0,0,0,0,0,42.49,x,pymop,4.502481460571289,0.7669210433959961,45.60270428657532,0.0,50.8721067905426,0.0,,0.0,,,,231.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=216<>UnsafeListIterator=2,436.0,BuiltinAllAnalysis=violation=18<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=18<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=18<>WrongTypeAddedAnalysis=check_insert=18<>WrongTypeAddedAnalysis=check_extend=18<>WrongTypeAddedAnalysis=check_add=18<>FileClosedAnalysis=open=109<>FileClosedAnalysis=close=108<>FileClosedAnalysis=end=107<>UnsafeListIterator=createList=2
jedi,20260324_134031,429ac0fae24310e376fb4013aefa79359e3c8ec4,1713522144,changed tcl scripts to load xF.xyz correctly,False,pymop_libs,2,0,0,0,0,0,357.49,x,pymop_libs,11.685682535171509,0.6627240180969238,379.54732298851013,0.0,391.89572954177856,17.0,WrongTypeAddedAnalysis=2;NonFinitesAnalysis=1;InvalidComparisonAnalysis=6;ComparisonBehaviorAnalysis=5;RandomMustUseSeed=2;InPlaceSortAnalysis=1,8.0,WrongTypeAddedAnalysis=1;NonFinitesAnalysis=1;InvalidComparisonAnalysis=2;ComparisonBehaviorAnalysis=2;RandomMustUseSeed=1;InPlaceSortAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;NonFinitesAnalysis:/lib/python3.12/site-packages/matplotlib/transforms.py:666=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2460=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2470=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:914=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/_core/_internal.py:561=1;RandomMustUseSeed:/lib/python3.12/site-packages/strainjedi/quotes.py:9=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};NonFinitesAnalysis:/lib/python3.12/site-packages/matplotlib/transforms.py:666={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2460={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2470={None};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:914={None};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/numpy/_core/_internal.py:561={None};RandomMustUseSeed:/lib/python3.12/site-packages/strainjedi/quotes.py:9={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290={'tests/test_Jedi.py::TestJEDIHCN::test_partial'},24289.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=17376<>UnsafeDictIterator=6662<>ArgParse_Parent=1<>FileClosedAnalysis=210<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=1<>Thread_StartOnce=1<>RandomMustUseSeed=2,10087695.0,BuiltinAllAnalysis=violation=1550934<>ComparisonBehaviorAnalysis=ne_end=74867<>ComparisonBehaviorAnalysis=eq_end=50960<>InPlaceSortAnalysis=list_used=61008<>InPlaceSortAnalysis=list_sorted=4961<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=125817<>NonFinitesAnalysis=non_finite_op=1550835<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=13451<>StringStripAnalysis=strip=62742<>WrongTypeAddedAnalysis=check_append=1553885<>WrongTypeAddedAnalysis=check_insert=1553885<>WrongTypeAddedAnalysis=check_extend=1553885<>WrongTypeAddedAnalysis=check_add=1553885<>WrongTypeAddedAnalysis=check_add_assign=13451<>UnsafeListIterator=createList=58529<>UnsafeListIterator=createIter=144<>UnsafeListIterator=next=106<>UnsafeDictIterator=createDict=17173<>UnsafeDictIterator=updateDict=61662<>UnsafeDictIterator=createIter=1452<>UnsafeDictIterator=next=223716<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=106<>FileClosedAnalysis=close=105<>FileClosedAnalysis=end=104<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=1<>Thread_StartOnce=start=1<>RandomMustUseSeed=all=2
jedi,20260324_134031,429ac0fae24310e376fb4013aefa79359e3c8ec4,1713522144,changed tcl scripts to load xF.xyz correctly,False,dylin,2,0,0,0,0,0,5.87,x,dylin,19.24350070953369,0.0,8.414693117141724,0.4040944576263428,28.062288284301758,0.0,,0.0,,,,,,,
jedi,20260324_134031,7ee32abef72d4cde3878e856c8862d0bc08358e7,1713528596,updated vmd_gen() style changes according to pep 8,False,original,2,0,0,0,0,0,2.96,x,original,0.0,0.0,3.5246357917785645,0.0,3.5246357917785645,,,,,,,,,,
jedi,20260324_134031,7ee32abef72d4cde3878e856c8862d0bc08358e7,1713528596,updated vmd_gen() style changes according to pep 8,False,pymop,2,0,0,0,0,0,42.95,x,pymop,4.429566860198975,0.7261736392974854,46.128135204315186,0.0,51.283875703811646,0.0,,0.0,,,,231.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=216<>UnsafeListIterator=2,436.0,BuiltinAllAnalysis=violation=18<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=18<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=18<>WrongTypeAddedAnalysis=check_insert=18<>WrongTypeAddedAnalysis=check_extend=18<>WrongTypeAddedAnalysis=check_add=18<>FileClosedAnalysis=open=109<>FileClosedAnalysis=close=108<>FileClosedAnalysis=end=107<>UnsafeListIterator=createList=2
