project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
joserfc,20260324_134003,31cc5f266563e2f5e1b490b2087a0a60ddcc55bf,1759995937,chore: release 1.4.0,False,original,232,0,0,0,0,1,8.77,99.1,original,0.0,0.0,9.321617126464844,0.0,9.321617126464844,,,,,,,,,,
joserfc,20260324_134003,31cc5f266563e2f5e1b490b2087a0a60ddcc55bf,1759995937,chore: release 1.4.0,False,pymop,232,0,0,0,0,1,16.43,99.1,pymop,2.2657766342163086,0.6233830451965332,18.70798134803772,0.0,21.59714102745056,11.0,RandomMustUseSeed=11,1.0,RandomMustUseSeed=1,RandomMustUseSeed:/src/joserfc/_keys.py:166=1,"RandomMustUseSeed:/src/joserfc/_keys.py:166={'tests/jws/test_compact.py::TestCompact::test_with_key_set', 'tests/jws/test_json.py::TestJSON::test_use_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_guess_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_alg', 'tests/jwe/test_ecdh_1pu.py::TestECDH1PUJSON::test_with_key_set', 'tests/jwe/test_compact.py::TestJWECompact::test_with_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_use', 'tests/jwk/test_jwk_set.py::TestKeySet::test_random_key'}",4718.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=374<>UnsafeListIterator=2009<>UnsafeDictIterator=2307<>RandomMustUseSeed=10<>PyDocs_MustSortBeforeGroupBy=5,773002.0,BuiltinAllAnalysis=violation=120975<>ComparisonBehaviorAnalysis=ne_end=1791<>ComparisonBehaviorAnalysis=eq_end=2737<>InPlaceSortAnalysis=list_used=8169<>InPlaceSortAnalysis=list_sorted=54<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4528<>NonFinitesAnalysis=non_finite_op=120975<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=6740<>WrongTypeAddedAnalysis=check_append=121493<>WrongTypeAddedAnalysis=check_insert=121493<>WrongTypeAddedAnalysis=check_extend=121493<>WrongTypeAddedAnalysis=check_add=121493<>WrongTypeAddedAnalysis=check_add_assign=6740<>FileClosedAnalysis=open=188<>FileClosedAnalysis=close=187<>FileClosedAnalysis=end=186<>UnsafeListIterator=createList=4053<>UnsafeListIterator=updateList=296<>UnsafeListIterator=createIter=2<>UnsafeListIterator=next=10<>UnsafeDictIterator=createDict=5401<>UnsafeDictIterator=updateDict=3980<>RandomMustUseSeed=all=11<>PyDocs_MustSortBeforeGroupBy=sort=5
joserfc,20260324_134003,31cc5f266563e2f5e1b490b2087a0a60ddcc55bf,1759995937,chore: release 1.4.0,False,pymop_libs,232,0,0,0,0,1,46.67,99.1,pymop_libs,8.368950128555298,0.42250657081604,54.56397485733032,0.0,63.35543155670166,13.0,WrongTypeAddedAnalysis=1;RandomMustUseSeed=12,3.0,WrongTypeAddedAnalysis=1;RandomMustUseSeed=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;RandomMustUseSeed:/src/joserfc/_keys.py:166=1;RandomMustUseSeed:/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py:265=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};RandomMustUseSeed:/src/joserfc/_keys.py:166={'tests/jws/test_compact.py::TestCompact::test_with_key_set', 'tests/jws/test_json.py::TestJSON::test_use_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_guess_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_alg', 'tests/jwe/test_ecdh_1pu.py::TestECDH1PUJSON::test_with_key_set', 'tests/jwe/test_compact.py::TestJWECompact::test_with_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_use', 'tests/jwk/test_jwk_set.py::TestKeySet::test_random_key'};RandomMustUseSeed:/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py:265={'tests/jwk/test_rsa_key.py::TestRSAKey::test_import_only_from_d'}",16519.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10621<>UnsafeDictIterator=5476<>ArgParse_Parent=1<>FileClosedAnalysis=368<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=2<>RandomMustUseSeed=12<>PyDocs_MustSortBeforeGroupBy=3,3784187.0,BuiltinAllAnalysis=violation=579385<>ComparisonBehaviorAnalysis=ne_end=4676<>ComparisonBehaviorAnalysis=eq_end=22079<>InPlaceSortAnalysis=list_used=81914<>InPlaceSortAnalysis=list_sorted=61<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=26745<>NonFinitesAnalysis=non_finite_op=579286<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=40466<>StringStripAnalysis=strip=728<>WrongTypeAddedAnalysis=check_append=585714<>WrongTypeAddedAnalysis=check_insert=585714<>WrongTypeAddedAnalysis=check_extend=585714<>WrongTypeAddedAnalysis=check_add=585714<>WrongTypeAddedAnalysis=check_add_assign=40466<>UnsafeListIterator=createList=41518<>UnsafeListIterator=updateList=293<>UnsafeListIterator=createIter=2<>UnsafeListIterator=next=10<>UnsafeDictIterator=createDict=8536<>UnsafeDictIterator=updateDict=14562<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=185<>FileClosedAnalysis=close=184<>FileClosedAnalysis=end=183<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>RandomMustUseSeed=all=12<>PyDocs_MustSortBeforeGroupBy=sort=5<>PyDocs_MustSortBeforeGroupBy=modify=2
joserfc,20260324_134003,31cc5f266563e2f5e1b490b2087a0a60ddcc55bf,1759995937,chore: release 1.4.0,False,dylin,x,x,x,x,x,x,x,99.1,dylin,x,0.0,x,x,x,,,,,,,,,,
joserfc,20260324_134003,a06adda82cfa9eef2722eedae1c0668065cce816,1762223906,docs: update translation for nav links,False,original,232,0,0,0,0,1,8.89,99.1,original,0.0,0.0,9.444238185882568,0.0,9.444238185882568,,,,,,,,,,
joserfc,20260324_134003,a06adda82cfa9eef2722eedae1c0668065cce816,1762223906,docs: update translation for nav links,False,pymop,232,0,0,0,0,1,16.76,99.1,pymop,2.2845098972320557,0.6346967220306396,19.063297271728516,0.0,21.98250389099121,11.0,RandomMustUseSeed=11,1.0,RandomMustUseSeed=1,RandomMustUseSeed:/src/joserfc/_keys.py:166=1,"RandomMustUseSeed:/src/joserfc/_keys.py:166={'tests/jws/test_compact.py::TestCompact::test_with_key_set', 'tests/jws/test_json.py::TestJSON::test_use_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_guess_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_alg', 'tests/jwe/test_ecdh_1pu.py::TestECDH1PUJSON::test_with_key_set', 'tests/jwe/test_compact.py::TestJWECompact::test_with_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_use', 'tests/jwk/test_jwk_set.py::TestKeySet::test_random_key'}",4880.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=374<>UnsafeListIterator=2057<>UnsafeDictIterator=2421<>RandomMustUseSeed=11<>PyDocs_MustSortBeforeGroupBy=4,772998.0,BuiltinAllAnalysis=violation=120975<>ComparisonBehaviorAnalysis=ne_end=1791<>ComparisonBehaviorAnalysis=eq_end=2737<>InPlaceSortAnalysis=list_used=8169<>InPlaceSortAnalysis=list_sorted=54<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4528<>NonFinitesAnalysis=non_finite_op=120975<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=6740<>WrongTypeAddedAnalysis=check_append=121493<>WrongTypeAddedAnalysis=check_insert=121493<>WrongTypeAddedAnalysis=check_extend=121493<>WrongTypeAddedAnalysis=check_add=121493<>WrongTypeAddedAnalysis=check_add_assign=6740<>FileClosedAnalysis=open=188<>FileClosedAnalysis=close=187<>FileClosedAnalysis=end=186<>UnsafeListIterator=createList=4050<>UnsafeListIterator=updateList=294<>UnsafeListIterator=createIter=2<>UnsafeListIterator=next=10<>UnsafeDictIterator=createDict=5401<>UnsafeDictIterator=updateDict=3980<>RandomMustUseSeed=all=11<>PyDocs_MustSortBeforeGroupBy=sort=5<>PyDocs_MustSortBeforeGroupBy=modify=1
joserfc,20260324_134003,a06adda82cfa9eef2722eedae1c0668065cce816,1762223906,docs: update translation for nav links,False,pymop_libs,232,0,0,0,0,1,44.97,99.1,pymop_libs,7.792927980422974,0.4703688621520996,51.73108148574829,0.0,59.994378328323364,13.0,WrongTypeAddedAnalysis=1;RandomMustUseSeed=12,3.0,WrongTypeAddedAnalysis=1;RandomMustUseSeed=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;RandomMustUseSeed:/src/joserfc/_keys.py:166=1;RandomMustUseSeed:/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py:265=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};RandomMustUseSeed:/src/joserfc/_keys.py:166={'tests/jws/test_compact.py::TestCompact::test_with_key_set', 'tests/jws/test_json.py::TestJSON::test_use_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_guess_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_alg', 'tests/jwe/test_ecdh_1pu.py::TestECDH1PUJSON::test_with_key_set', 'tests/jwe/test_compact.py::TestJWECompact::test_with_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_use', 'tests/jwk/test_jwk_set.py::TestKeySet::test_random_key'};RandomMustUseSeed:/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py:265={'tests/jwk/test_rsa_key.py::TestRSAKey::test_import_only_from_d'}",16208.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10480<>UnsafeDictIterator=5305<>ArgParse_Parent=1<>FileClosedAnalysis=368<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=2<>RandomMustUseSeed=12<>PyDocs_MustSortBeforeGroupBy=4,3784167.0,BuiltinAllAnalysis=violation=579374<>ComparisonBehaviorAnalysis=ne_end=4674<>ComparisonBehaviorAnalysis=eq_end=22078<>InPlaceSortAnalysis=list_used=81914<>InPlaceSortAnalysis=list_sorted=61<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=26742<>NonFinitesAnalysis=non_finite_op=579275<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=40466<>StringStripAnalysis=strip=728<>WrongTypeAddedAnalysis=check_append=585712<>WrongTypeAddedAnalysis=check_insert=585712<>WrongTypeAddedAnalysis=check_extend=585712<>WrongTypeAddedAnalysis=check_add=585712<>WrongTypeAddedAnalysis=check_add_assign=40466<>UnsafeListIterator=createList=41531<>UnsafeListIterator=updateList=297<>UnsafeListIterator=createIter=2<>UnsafeListIterator=next=10<>UnsafeDictIterator=createDict=8536<>UnsafeDictIterator=updateDict=14562<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=185<>FileClosedAnalysis=close=184<>FileClosedAnalysis=end=183<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>RandomMustUseSeed=all=12<>PyDocs_MustSortBeforeGroupBy=sort=5<>PyDocs_MustSortBeforeGroupBy=modify=1
joserfc,20260324_134003,a06adda82cfa9eef2722eedae1c0668065cce816,1762223906,docs: update translation for nav links,False,dylin,x,x,x,x,x,x,x,99.1,dylin,x,0.0,x,x,x,,,,,,,,,,
joserfc,20260324_134003,d91b358181aa68a92a791b911644d56083a27335,1762308086,fix(errors): add a base ClaimError,False,original,232,0,0,0,0,1,8.80,99.09,original,0.0,0.0,9.28605341911316,0.0,9.28605341911316,,,,,,,,,,
joserfc,20260324_134003,d91b358181aa68a92a791b911644d56083a27335,1762308086,fix(errors): add a base ClaimError,False,pymop,232,0,0,0,0,1,16.32,99.09,pymop,2.2723259925842285,0.6139669418334961,18.64405608177185,0.0,21.530349016189575,11.0,RandomMustUseSeed=11,1.0,RandomMustUseSeed=1,RandomMustUseSeed:/src/joserfc/_keys.py:166=1,"RandomMustUseSeed:/src/joserfc/_keys.py:166={'tests/jws/test_compact.py::TestCompact::test_with_key_set', 'tests/jws/test_json.py::TestJSON::test_use_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_guess_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_alg', 'tests/jwe/test_ecdh_1pu.py::TestECDH1PUJSON::test_with_key_set', 'tests/jwe/test_compact.py::TestJWECompact::test_with_key_set', 'tests/jwk/test_key_methods.py::TestKeyMethods::test_find_correct_key_with_use', 'tests/jwk/test_jwk_set.py::TestKeySet::test_random_key'}",4840.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=374<>UnsafeListIterator=2045<>UnsafeDictIterator=2393<>RandomMustUseSeed=11<>PyDocs_MustSortBeforeGroupBy=4,773235.0,BuiltinAllAnalysis=violation=121014<>ComparisonBehaviorAnalysis=ne_end=1791<>ComparisonBehaviorAnalysis=eq_end=2737<>InPlaceSortAnalysis=list_used=8169<>InPlaceSortAnalysis=list_sorted=54<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4528<>NonFinitesAnalysis=non_finite_op=121014<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=6740<>WrongTypeAddedAnalysis=check_append=121532<>WrongTypeAddedAnalysis=check_insert=121532<>WrongTypeAddedAnalysis=check_extend=121532<>WrongTypeAddedAnalysis=check_add=121532<>WrongTypeAddedAnalysis=check_add_assign=6740<>FileClosedAnalysis=open=188<>FileClosedAnalysis=close=187<>FileClosedAnalysis=end=186<>UnsafeListIterator=createList=4049<>UnsafeListIterator=updateList=293<>UnsafeListIterator=createIter=2<>UnsafeListIterator=next=10<>UnsafeDictIterator=createDict=5401<>UnsafeDictIterator=updateDict=3980<>RandomMustUseSeed=all=11<>PyDocs_MustSortBeforeGroupBy=sort=5<>PyDocs_MustSortBeforeGroupBy=modify=6
