project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
llama-stack-provider-trustyai-fms,20260324_134009,9991fd88cb856e5ead51c98d7114f81b48caac3c,1747665373,:construction: changed module imports and dealt with ShieldsWithACL registration bug,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5714035034179688,0.0,0.5714035034179688,,,,,,,,,,
llama-stack-provider-trustyai-fms,20260324_134009,9991fd88cb856e5ead51c98d7114f81b48caac3c,1747665373,:construction: changed module imports and dealt with ShieldsWithACL registration bug,True,pymop,x,x,x,x,x,x,x,x,pymop,3.0698843002319336,0.7144489288330078,5.31819748878479,0.0,9.102530717849731,0.0,,0.0,,,,97.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=84,128.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=43<>FileClosedAnalysis=close=42<>FileClosedAnalysis=end=41
llama-stack-provider-trustyai-fms,20260324_134009,9991fd88cb856e5ead51c98d7114f81b48caac3c,1747665373,:construction: changed module imports and dealt with ShieldsWithACL registration bug,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,10.220569610595703,0.6605281829833984,9.875884294509888,0.0,20.75698208808899,2.0,WrongTypeAddedAnalysis=2,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1471.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1001<>UnsafeDictIterator=345<>ArgParse_Parent=1<>FileClosedAnalysis=78<>faulthandler_disableBeforeClose=1,225486.0,BuiltinAllAnalysis=violation=35123<>ComparisonBehaviorAnalysis=ne_end=479<>ComparisonBehaviorAnalysis=eq_end=1201<>InPlaceSortAnalysis=list_used=3928<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1668<>NonFinitesAnalysis=non_finite_op=35013<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=1649<>WrongTypeAddedAnalysis=check_append=35116<>WrongTypeAddedAnalysis=check_insert=35116<>WrongTypeAddedAnalysis=check_extend=35116<>WrongTypeAddedAnalysis=check_add=35116<>WrongTypeAddedAnalysis=check_add_assign=1649<>UnsafeListIterator=createList=1825<>UnsafeDictIterator=createDict=353<>UnsafeDictIterator=updateDict=1975<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=40<>FileClosedAnalysis=close=39<>FileClosedAnalysis=end=38<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
llama-stack-provider-trustyai-fms,20260324_134009,9991fd88cb856e5ead51c98d7114f81b48caac3c,1747665373,:construction: changed module imports and dealt with ShieldsWithACL registration bug,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
llama-stack-provider-trustyai-fms,20260324_134009,e651ded5ed8a33001960126ff26d08fc6550409e,1749636837,:construction: dynamic shield registration via API Signed-off-by: m-misiura <mmisiura@redhat.com>,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5520093441009521,0.0,0.5520093441009521,,,,,,,,,,
llama-stack-provider-trustyai-fms,20260324_134009,e651ded5ed8a33001960126ff26d08fc6550409e,1749636837,:construction: dynamic shield registration via API Signed-off-by: m-misiura <mmisiura@redhat.com>,True,pymop,x,x,x,x,x,x,x,x,pymop,3.0360255241394043,0.6494534015655518,5.421334981918335,0.0,9.106813907623291,0.0,,0.0,,,,97.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=84,128.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=43<>FileClosedAnalysis=close=42<>FileClosedAnalysis=end=41
llama-stack-provider-trustyai-fms,20260324_134009,e651ded5ed8a33001960126ff26d08fc6550409e,1749636837,:construction: dynamic shield registration via API Signed-off-by: m-misiura <mmisiura@redhat.com>,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.932991743087769,0.6508147716522217,9.612188816070557,0.0,20.195995330810547,0.0,,0.0,,,,1488.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1014<>UnsafeDictIterator=349<>ArgParse_Parent=1<>FileClosedAnalysis=78<>faulthandler_disableBeforeClose=1,231319.0,BuiltinAllAnalysis=violation=36032<>ComparisonBehaviorAnalysis=ne_end=481<>ComparisonBehaviorAnalysis=eq_end=1231<>InPlaceSortAnalysis=list_used=4064<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1700<>NonFinitesAnalysis=non_finite_op=35922<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=1650<>WrongTypeAddedAnalysis=check_append=36064<>WrongTypeAddedAnalysis=check_insert=36064<>WrongTypeAddedAnalysis=check_extend=36064<>WrongTypeAddedAnalysis=check_add=36064<>WrongTypeAddedAnalysis=check_add_assign=1650<>UnsafeListIterator=createList=1842<>UnsafeDictIterator=createDict=355<>UnsafeDictIterator=updateDict=1977<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=40<>FileClosedAnalysis=close=39<>FileClosedAnalysis=end=38<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
llama-stack-provider-trustyai-fms,20260324_134009,e651ded5ed8a33001960126ff26d08fc6550409e,1749636837,:construction: dynamic shield registration via API Signed-off-by: m-misiura <mmisiura@redhat.com>,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
llama-stack-provider-trustyai-fms,20260324_134009,f60b367af8beed08f766dbbdf7ac31b9059fa562,1752250690,:construction: added tls support and changed from `logger.info` to `logger.debug`,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.5577056407928467,0.0,0.5577056407928467,,,,,,,,,,
llama-stack-provider-trustyai-fms,20260324_134009,f60b367af8beed08f766dbbdf7ac31b9059fa562,1752250690,:construction: added tls support and changed from `logger.info` to `logger.debug`,True,pymop,x,x,x,x,x,x,x,x,pymop,3.079721689224243,0.7126882076263428,5.313826084136963,0.0,9.106235980987549,0.0,,0.0,,,,97.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=84,128.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=43<>FileClosedAnalysis=close=42<>FileClosedAnalysis=end=41
