project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
mlcp,20260324_134006,0b8175fcabd1fbb450f701712a8f447e917347fd,1757769025,chore: initial commit MLSCP codebase,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.21760916709899902,0.0,0.21760916709899902,,,,,,,,,,
mlcp,20260324_134006,0b8175fcabd1fbb450f701712a8f447e917347fd,1757769025,chore: initial commit MLSCP codebase,True,pymop,x,x,x,x,x,x,x,x,pymop,0.6584701538085938,0.2814102172851562,1.0281867980957031,0.0,1.9680671691894531,0.0,,0.0,,,,33.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20,32.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9
mlcp,20260324_134006,0b8175fcabd1fbb450f701712a8f447e917347fd,1757769025,chore: initial commit MLSCP codebase,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,4.975848436355591,0.2520625591278076,3.2560713291168213,0.0,8.48398232460022,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1261.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=887<>UnsafeDictIterator=323<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,192714.0,BuiltinAllAnalysis=violation=29927<>ComparisonBehaviorAnalysis=ne_end=325<>ComparisonBehaviorAnalysis=eq_end=1001<>InPlaceSortAnalysis=list_used=3347<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1316<>NonFinitesAnalysis=non_finite_op=29828<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1607<>StringStripAnalysis=strip=15<>WrongTypeAddedAnalysis=check_append=29957<>WrongTypeAddedAnalysis=check_insert=29957<>WrongTypeAddedAnalysis=check_extend=29957<>WrongTypeAddedAnalysis=check_add=29957<>WrongTypeAddedAnalysis=check_add_assign=1607<>UnsafeListIterator=createList=1622<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=1908<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
mlcp,20260324_134006,0b8175fcabd1fbb450f701712a8f447e917347fd,1757769025,chore: initial commit MLSCP codebase,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
mlcp,20260324_134006,52f53f75e9978ec083a7ff74ec3393c39c19b23e,1757769816,chore: add LICENSE header to source files,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.21740078926086426,0.0,0.21740078926086426,,,,,,,,,,
mlcp,20260324_134006,52f53f75e9978ec083a7ff74ec3393c39c19b23e,1757769816,chore: add LICENSE header to source files,True,pymop,x,x,x,x,x,x,x,x,pymop,0.6651656627655029,0.2746741771697998,1.0329210758209229,0.0,1.9727609157562256,0.0,,0.0,,,,33.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20,32.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9
mlcp,20260324_134006,52f53f75e9978ec083a7ff74ec3393c39c19b23e,1757769816,chore: add LICENSE header to source files,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,4.819937467575073,0.2407271862030029,3.107370138168335,0.0,8.168034791946411,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1254.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=885<>UnsafeDictIterator=318<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,193224.0,BuiltinAllAnalysis=violation=30007<>ComparisonBehaviorAnalysis=ne_end=325<>ComparisonBehaviorAnalysis=eq_end=1005<>InPlaceSortAnalysis=list_used=3359<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1320<>NonFinitesAnalysis=non_finite_op=29908<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1608<>StringStripAnalysis=strip=15<>WrongTypeAddedAnalysis=check_append=30039<>WrongTypeAddedAnalysis=check_insert=30039<>WrongTypeAddedAnalysis=check_extend=30039<>WrongTypeAddedAnalysis=check_add=30039<>WrongTypeAddedAnalysis=check_add_assign=1608<>UnsafeListIterator=createList=1622<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=1908<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
mlcp,20260324_134006,52f53f75e9978ec083a7ff74ec3393c39c19b23e,1757769816,chore: add LICENSE header to source files,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
mlcp,20260324_134006,92a380b8ebb322fd71d58122cb722d22645d8d7e,1757770418,fix: normalize license headers; add minimal parser stubs and unit tests for smoke/agent/protocol,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.22500967979431152,0.0,0.22500967979431152,,,,,,,,,,
mlcp,20260324_134006,92a380b8ebb322fd71d58122cb722d22645d8d7e,1757770418,fix: normalize license headers; add minimal parser stubs and unit tests for smoke/agent/protocol,True,pymop,x,x,x,x,x,x,x,x,pymop,0.782397985458374,0.282456636428833,1.085573434829712,0.0,2.150428056716919,0.0,,0.0,,,,35.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22,35.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10
