project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
plugin.video.nhkworldtv,20260324_134024,1e4ceb77fc45874a84be766b10729382fcd067d6,1613926542,Fix unit tests,True,original,0,0,0,0,0,12,0.49,3.483,original,0.0,0.0,0.9085071086883545,0.0,0.9085071086883545,,,,,,,,,,
plugin.video.nhkworldtv,20260324_134024,1e4ceb77fc45874a84be766b10729382fcd067d6,1613926542,Fix unit tests,True,pymop,0,0,0,0,0,12,2.68,3.483,pymop,2.571976900100708,0.6792769432067871,4.815314292907715,0.0,8.06656813621521,0.0,,0.0,,,,51.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=38,59.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18
plugin.video.nhkworldtv,20260324_134024,1e4ceb77fc45874a84be766b10729382fcd067d6,1613926542,Fix unit tests,True,pymop_libs,0,0,0,0,0,12,44.53,3.483,pymop_libs,8.343297958374023,0.645592212677002,49.90335416793823,0.0,58.89224433898926,0.0,,0.0,,,,2284.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1857<>UnsafeDictIterator=358<>ArgParse_Parent=1<>FileClosedAnalysis=32<>faulthandler_disableBeforeClose=1,6217745.0,BuiltinAllAnalysis=violation=1031742<>ComparisonBehaviorAnalysis=ne_end=680<>ComparisonBehaviorAnalysis=eq_end=2120<>InPlaceSortAnalysis=list_used=7622<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2790<>NonFinitesAnalysis=non_finite_op=1031643<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3522<>StringStripAnalysis=strip=309<>WrongTypeAddedAnalysis=check_append=1031974<>WrongTypeAddedAnalysis=check_insert=1031974<>WrongTypeAddedAnalysis=check_extend=1031974<>WrongTypeAddedAnalysis=check_add=1031974<>WrongTypeAddedAnalysis=check_add_assign=3522<>UnsafeListIterator=createList=3535<>UnsafeDictIterator=createDict=370<>UnsafeDictIterator=updateDict=1914<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=17<>FileClosedAnalysis=close=16<>FileClosedAnalysis=end=15<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
plugin.video.nhkworldtv,20260324_134024,1e4ceb77fc45874a84be766b10729382fcd067d6,1613926542,Fix unit tests,True,dylin,0,0,0,0,0,12,6.57,3.483,dylin,11.636507511138916,0.0,8.78285002708435,0.4005775451660156,20.819935083389282,0.0,,0.0,,,,,,,
plugin.video.nhkworldtv,20260324_134024,0246cefa4ccd8cb2d4c9ca9a3a394b21e64ca7d5,1613979925,Improved error handling,True,original,0,0,0,0,0,12,0.53,3.478,original,0.0,0.0,1.007469892501831,0.0,1.007469892501831,,,,,,,,,,
plugin.video.nhkworldtv,20260324_134024,0246cefa4ccd8cb2d4c9ca9a3a394b21e64ca7d5,1613979925,Improved error handling,True,pymop,0,0,0,0,0,12,2.97,3.478,pymop,2.7291107177734375,0.7514908313751221,5.02135968208313,0.0,8.50196123123169,0.0,,0.0,,,,51.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=38,59.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18
plugin.video.nhkworldtv,20260324_134024,0246cefa4ccd8cb2d4c9ca9a3a394b21e64ca7d5,1613979925,Improved error handling,True,pymop_libs,0,0,0,0,0,12,48.04,3.478,pymop_libs,10.302656173706055,0.7178504467010498,54.33997106552124,0.0,65.36047768592834,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},2298.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1867<>UnsafeDictIterator=362<>ArgParse_Parent=1<>FileClosedAnalysis=32<>faulthandler_disableBeforeClose=1,6217517.0,BuiltinAllAnalysis=violation=1031704<>ComparisonBehaviorAnalysis=ne_end=680<>ComparisonBehaviorAnalysis=eq_end=2120<>InPlaceSortAnalysis=list_used=7622<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2790<>NonFinitesAnalysis=non_finite_op=1031605<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3522<>StringStripAnalysis=strip=309<>WrongTypeAddedAnalysis=check_append=1031936<>WrongTypeAddedAnalysis=check_insert=1031936<>WrongTypeAddedAnalysis=check_extend=1031936<>WrongTypeAddedAnalysis=check_add=1031936<>WrongTypeAddedAnalysis=check_add_assign=3522<>UnsafeListIterator=createList=3535<>UnsafeDictIterator=createDict=370<>UnsafeDictIterator=updateDict=1914<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=17<>FileClosedAnalysis=close=16<>FileClosedAnalysis=end=15<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
plugin.video.nhkworldtv,20260324_134024,0246cefa4ccd8cb2d4c9ca9a3a394b21e64ca7d5,1613979925,Improved error handling,True,dylin,0,0,0,0,0,12,6.39,3.478,dylin,12.009172677993774,0.0,8.173736333847046,0.409837007522583,20.592746019363403,0.0,,0.0,,,,,,,
plugin.video.nhkworldtv,20260324_134024,769ce33a32ede59ec149355f1ed7f548b02246a5,1613992849,Wait for 500ms between requests,True,original,0,0,0,0,0,12,0.53,3.4709999999999996,original,0.0,0.0,0.9484176635742188,0.0,0.9484176635742188,,,,,,,,,,
plugin.video.nhkworldtv,20260324_134024,769ce33a32ede59ec149355f1ed7f548b02246a5,1613992849,Wait for 500ms between requests,True,pymop,0,0,0,0,0,12,3.18,3.4709999999999996,pymop,2.7761032581329346,0.7076799869537354,5.182612419128418,0.0,8.666395664215088,0.0,,0.0,,,,51.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=38,59.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18
