project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
portal-checker,20260324_134003,2193f7c238eb2bff86a201721e444f33fe50a204,1709822292,"fix: drop old stuff, add nginx error",True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.38009023666381836,0.0,0.38009023666381836,,,,,,,,,,
portal-checker,20260324_134003,2193f7c238eb2bff86a201721e444f33fe50a204,1709822292,"fix: drop old stuff, add nginx error",True,pymop,x,x,x,x,x,x,x,x,pymop,2.370857000350952,0.6393184661865234,1.789686918258667,0.0,4.799862384796143,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
portal-checker,20260324_134003,2193f7c238eb2bff86a201721e444f33fe50a204,1709822292,"fix: drop old stuff, add nginx error",True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.705678462982178,0.5685632228851318,5.811338186264038,0.0,16.085579872131348,0.0,,0.0,,,,1243.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=876<>UnsafeDictIterator=322<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,184803.0,BuiltinAllAnalysis=violation=28702<>ComparisonBehaviorAnalysis=ne_end=279<>ComparisonBehaviorAnalysis=eq_end=869<>InPlaceSortAnalysis=list_used=3292<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1138<>NonFinitesAnalysis=non_finite_op=28603<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1575<>WrongTypeAddedAnalysis=check_append=28727<>WrongTypeAddedAnalysis=check_insert=28727<>WrongTypeAddedAnalysis=check_extend=28727<>WrongTypeAddedAnalysis=check_add=28727<>WrongTypeAddedAnalysis=check_add_assign=1575<>UnsafeListIterator=createList=1615<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=1875<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
portal-checker,20260324_134003,2193f7c238eb2bff86a201721e444f33fe50a204,1709822292,"fix: drop old stuff, add nginx error",True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
portal-checker,20260324_134003,1778ef8a24b6a769a52a785bd38e6926f75e25eb,1711962127,feat: review upgrade,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.40528106689453125,0.0,0.40528106689453125,,,,,,,,,,
portal-checker,20260324_134003,1778ef8a24b6a769a52a785bd38e6926f75e25eb,1711962127,feat: review upgrade,True,pymop,x,x,x,x,x,x,x,x,pymop,2.363694190979004,0.5878591537475586,1.66703200340271,0.0,4.6185853481292725,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
portal-checker,20260324_134003,1778ef8a24b6a769a52a785bd38e6926f75e25eb,1711962127,feat: review upgrade,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.379616260528564,0.5689971446990967,5.6691734790802,0.0,15.617786884307861,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1243.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=870<>UnsafeDictIterator=328<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,197712.0,BuiltinAllAnalysis=violation=30739<>ComparisonBehaviorAnalysis=ne_end=285<>ComparisonBehaviorAnalysis=eq_end=935<>InPlaceSortAnalysis=list_used=3595<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1210<>NonFinitesAnalysis=non_finite_op=30640<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1578<>WrongTypeAddedAnalysis=check_append=30807<>WrongTypeAddedAnalysis=check_insert=30807<>WrongTypeAddedAnalysis=check_extend=30807<>WrongTypeAddedAnalysis=check_add=30807<>WrongTypeAddedAnalysis=check_add_assign=1578<>UnsafeListIterator=createList=1665<>UnsafeDictIterator=createDict=334<>UnsafeDictIterator=updateDict=1881<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
portal-checker,20260324_134003,1778ef8a24b6a769a52a785bd38e6926f75e25eb,1711962127,feat: review upgrade,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
portal-checker,20260324_134003,82c401beb4ef7d0999fedc00a3bd489b07858e37,1712002813,feat: add multi arch,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3561697006225586,0.0,0.3561697006225586,,,,,,,,,,
portal-checker,20260324_134003,82c401beb4ef7d0999fedc00a3bd489b07858e37,1712002813,feat: add multi arch,True,pymop,x,x,x,x,x,x,x,x,pymop,2.3491554260253906,0.687401294708252,1.795069932937622,0.0,4.831626653671265,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
portal-checker,20260324_134003,82c401beb4ef7d0999fedc00a3bd489b07858e37,1712002813,feat: add multi arch,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.476866245269775,0.5793716907501221,5.520224571228027,0.0,15.576462507247925,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1247.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=881<>UnsafeDictIterator=321<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,189795.0,BuiltinAllAnalysis=violation=29496<>ComparisonBehaviorAnalysis=ne_end=281<>ComparisonBehaviorAnalysis=eq_end=895<>InPlaceSortAnalysis=list_used=3409<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1166<>NonFinitesAnalysis=non_finite_op=29397<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1576<>WrongTypeAddedAnalysis=check_append=29529<>WrongTypeAddedAnalysis=check_insert=29529<>WrongTypeAddedAnalysis=check_extend=29529<>WrongTypeAddedAnalysis=check_add=29529<>WrongTypeAddedAnalysis=check_add_assign=1576<>UnsafeListIterator=createList=1632<>UnsafeDictIterator=createDict=330<>UnsafeDictIterator=updateDict=1877<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
portal-checker,20260324_134003,82c401beb4ef7d0999fedc00a3bd489b07858e37,1712002813,feat: add multi arch,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
portal-checker,20260324_134003,be7fb4c05727dd3ba4792a7417d0c072a5743878,1712754652,feat: first version scale,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.34131622314453125,0.0,0.34131622314453125,,,,,,,,,,
