project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
python-flask,20260324_134026,9f1e5416dc96a310ba0fa314802945d6c37e0826,1760477173,README.md updates,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.46904659271240234,0.0,0.46904659271240234,,,,,,,,,,
python-flask,20260324_134026,9f1e5416dc96a310ba0fa314802945d6c37e0826,1760477173,README.md updates,True,pymop,x,x,x,x,x,x,x,x,pymop,3.3222477436065674,0.7380144596099854,2.1250126361846924,0.0,6.185274839401245,0.0,,0.0,,,,29.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=16,26.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7
python-flask,20260324_134026,9f1e5416dc96a310ba0fa314802945d6c37e0826,1760477173,README.md updates,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,11.752947807312012,0.7701616287231445,7.278616905212402,0.0,19.80172634124756,0.0,,0.0,,,,1366.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=970<>UnsafeDictIterator=349<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,217393.0,BuiltinAllAnalysis=violation=33866<>ComparisonBehaviorAnalysis=ne_end=339<>ComparisonBehaviorAnalysis=eq_end=1038<>InPlaceSortAnalysis=list_used=3977<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1361<>NonFinitesAnalysis=non_finite_op=33713<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1589<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=33950<>WrongTypeAddedAnalysis=check_insert=33950<>WrongTypeAddedAnalysis=check_extend=33950<>WrongTypeAddedAnalysis=check_add=33950<>WrongTypeAddedAnalysis=check_add_assign=1589<>UnsafeListIterator=createList=1797<>UnsafeDictIterator=createDict=355<>UnsafeDictIterator=updateDict=1909<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
python-flask,20260324_134026,9f1e5416dc96a310ba0fa314802945d6c37e0826,1760477173,README.md updates,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
python-flask,20260324_134026,619ca01e061f09255d11ce9e0b9c5a88a66731ae,1760480428,Added global Flask hooks,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.39989471435546875,0.0,0.39989471435546875,,,,,,,,,,
python-flask,20260324_134026,619ca01e061f09255d11ce9e0b9c5a88a66731ae,1760480428,Added global Flask hooks,True,pymop,x,x,x,x,x,x,x,x,pymop,3.229518175125122,0.8401157855987549,2.1490447521209717,0.0,6.218678712844849,0.0,,0.0,,,,29.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=16,26.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7
python-flask,20260324_134026,619ca01e061f09255d11ce9e0b9c5a88a66731ae,1760480428,Added global Flask hooks,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,11.871064186096191,0.6986374855041504,6.675195932388306,0.0,19.244897603988647,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1334.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=936<>UnsafeDictIterator=351<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,219939.0,BuiltinAllAnalysis=violation=34273<>ComparisonBehaviorAnalysis=ne_end=344<>ComparisonBehaviorAnalysis=eq_end=1049<>InPlaceSortAnalysis=list_used=4030<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1377<>NonFinitesAnalysis=non_finite_op=34120<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1590<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=34356<>WrongTypeAddedAnalysis=check_insert=34356<>WrongTypeAddedAnalysis=check_extend=34356<>WrongTypeAddedAnalysis=check_add=34356<>WrongTypeAddedAnalysis=check_add_assign=1590<>UnsafeListIterator=createList=1814<>UnsafeDictIterator=createDict=357<>UnsafeDictIterator=updateDict=1911<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
python-flask,20260324_134026,619ca01e061f09255d11ce9e0b9c5a88a66731ae,1760480428,Added global Flask hooks,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
python-flask,20260324_134026,4ee8877325da140f64c4c42047a5746fc90d07e8,1761925472,Various updates,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.9032084941864014,0.0,0.9032084941864014,,,,,,,,,,
python-flask,20260324_134026,4ee8877325da140f64c4c42047a5746fc90d07e8,1761925472,Various updates,True,pymop,x,x,x,x,x,x,x,x,pymop,2.9622559547424316,0.794567346572876,2.1293392181396484,0.0,5.886162519454956,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,47.0,BuiltinAllAnalysis=violation=3<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=3<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=3<>WrongTypeAddedAnalysis=check_insert=3<>WrongTypeAddedAnalysis=check_extend=3<>WrongTypeAddedAnalysis=check_add=3<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8
