project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
pyvisualizer,20260324_134012,61b63979ba139942269e25326040db528041a3f6,1737310099,Project_Aplha_Test: Code update,False,original,1,2,0,0,0,0,0.13,x,original,0.0,0.0,0.512317419052124,0.0,0.512317419052124,,,,,,,,,,
pyvisualizer,20260324_134012,61b63979ba139942269e25326040db528041a3f6,1737310099,Project_Aplha_Test: Code update,False,pymop,1,2,0,0,0,0,0.17,x,pymop,2.709162950515747,0.7074563503265381,1.9479670524597168,0.0,5.364586353302002,0.0,,0.0,,,,38.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18<>UnsafeListIterator=6<>UnsafeDictIterator=1,385.0,BuiltinAllAnalysis=violation=55<>ComparisonBehaviorAnalysis=eq_end=3<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3<>NonFinitesAnalysis=non_finite_op=55<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=58<>WrongTypeAddedAnalysis=check_insert=58<>WrongTypeAddedAnalysis=check_extend=58<>WrongTypeAddedAnalysis=check_add=58<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>UnsafeListIterator=createList=6<>UnsafeDictIterator=createDict=1
pyvisualizer,20260324_134012,61b63979ba139942269e25326040db528041a3f6,1737310099,Project_Aplha_Test: Code update,False,pymop_libs,1,2,0,0,0,0,1.35,x,pymop_libs,10.624091863632202,0.5728905200958252,7.396683216094971,0.0,18.593665599822998,1.0,WrongTypeAddedAnalysis=1,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1617.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1175<>UnsafeDictIterator=393<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,272893.0,BuiltinAllAnalysis=violation=42403<>ComparisonBehaviorAnalysis=ne_end=380<>ComparisonBehaviorAnalysis=eq_end=1356<>InPlaceSortAnalysis=list_used=4929<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1726<>NonFinitesAnalysis=non_finite_op=42304<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2265<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=42572<>WrongTypeAddedAnalysis=check_insert=42572<>WrongTypeAddedAnalysis=check_extend=42572<>WrongTypeAddedAnalysis=check_add=42572<>WrongTypeAddedAnalysis=check_add_assign=2265<>UnsafeListIterator=createList=2465<>UnsafeDictIterator=createDict=399<>UnsafeDictIterator=updateDict=2050<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
pyvisualizer,20260324_134012,61b63979ba139942269e25326040db528041a3f6,1737310099,Project_Aplha_Test: Code update,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
pyvisualizer,20260324_134012,f6e0874a79081691ddd0c7dc3c2fb5d97f72f501,1737324939,Upgrade 1,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.49233460426330566,0.0,0.49233460426330566,,,,,,,,,,
pyvisualizer,20260324_134012,f6e0874a79081691ddd0c7dc3c2fb5d97f72f501,1737324939,Upgrade 1,True,pymop,x,x,x,x,x,x,x,x,pymop,2.699432134628296,0.6217374801635742,2.0199859142303467,0.0,5.341155529022217,0.0,,0.0,,,,34.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18<>UnsafeListIterator=3,94.0,BuiltinAllAnalysis=violation=10<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=10<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=10<>WrongTypeAddedAnalysis=check_insert=10<>WrongTypeAddedAnalysis=check_extend=10<>WrongTypeAddedAnalysis=check_add=10<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>UnsafeListIterator=createList=3
pyvisualizer,20260324_134012,f6e0874a79081691ddd0c7dc3c2fb5d97f72f501,1737324939,Upgrade 1,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,10.196826219558716,0.5768482685089111,8.579633712768555,0.0,19.35330820083618,2.0,WrongTypeAddedAnalysis=2,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1382.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=992<>UnsafeDictIterator=341<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,399815.0,BuiltinAllAnalysis=violation=64261<>ComparisonBehaviorAnalysis=ne_end=325<>ComparisonBehaviorAnalysis=eq_end=1069<>InPlaceSortAnalysis=list_used=3806<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1384<>NonFinitesAnalysis=non_finite_op=64162<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1691<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=64326<>WrongTypeAddedAnalysis=check_insert=64326<>WrongTypeAddedAnalysis=check_extend=64326<>WrongTypeAddedAnalysis=check_add=64326<>WrongTypeAddedAnalysis=check_add_assign=1691<>UnsafeListIterator=createList=1805<>UnsafeDictIterator=createDict=344<>UnsafeDictIterator=updateDict=1910<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
pyvisualizer,20260324_134012,f6e0874a79081691ddd0c7dc3c2fb5d97f72f501,1737324939,Upgrade 1,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
pyvisualizer,20260324_134012,e08fa102ae98738c2e37604f62d40093901a8f0b,1742657856,Project Public Release,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4180266857147217,0.0,0.4180266857147217,,,,,,,,,,
pyvisualizer,20260324_134012,e08fa102ae98738c2e37604f62d40093901a8f0b,1742657856,Project Public Release,True,pymop,x,x,x,x,x,x,x,x,pymop,2.8131093978881836,0.6549491882324219,1.8640482425689697,0.0,5.332106828689575,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
