project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
quicktions,20260324_134010,35ad2811a83b4c6144afec41f6f47f4c3e49b657,1679240787,Try to fix a test that exceeds Python's maximum integer parse limit.,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4727632999420166,0.0,0.4727632999420166,,,,,,,,,,
quicktions,20260324_134010,35ad2811a83b4c6144afec41f6f47f4c3e49b657,1679240787,Try to fix a test that exceeds Python's maximum integer parse limit.,True,pymop,x,x,x,x,x,x,x,x,pymop,2.931195020675659,0.6305818557739258,2.1993179321289062,0.0,5.761094808578491,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8
quicktions,20260324_134010,35ad2811a83b4c6144afec41f6f47f4c3e49b657,1679240787,Try to fix a test that exceeds Python's maximum integer parse limit.,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,8.934578657150269,0.5259692668914795,6.626627445220947,0.0,16.087175369262695,0.0,,0.0,,,,1319.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=944<>UnsafeDictIterator=326<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,495926.0,BuiltinAllAnalysis=violation=80411<>ComparisonBehaviorAnalysis=ne_end=334<>ComparisonBehaviorAnalysis=eq_end=1000<>InPlaceSortAnalysis=list_used=3559<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1322<>NonFinitesAnalysis=non_finite_op=80301<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1667<>StringStripAnalysis=strip=31<>WrongTypeAddedAnalysis=check_append=80418<>WrongTypeAddedAnalysis=check_insert=80418<>WrongTypeAddedAnalysis=check_extend=80418<>WrongTypeAddedAnalysis=check_add=80418<>WrongTypeAddedAnalysis=check_add_assign=1667<>UnsafeListIterator=createList=1686<>UnsafeDictIterator=createDict=332<>UnsafeDictIterator=updateDict=1894<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
quicktions,20260324_134010,35ad2811a83b4c6144afec41f6f47f4c3e49b657,1679240787,Try to fix a test that exceeds Python's maximum integer parse limit.,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
quicktions,20260324_134010,ddb38184f383d2a2c622fd8866fc3f544f548a67,1679260301,Add arm64/x86_64 CFLAGS+LDFLAGS on macOS wheel builds.,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.4955143928527832,0.0,0.4955143928527832,,,,,,,,,,
quicktions,20260324_134010,ddb38184f383d2a2c622fd8866fc3f544f548a67,1679260301,Add arm64/x86_64 CFLAGS+LDFLAGS on macOS wheel builds.,True,pymop,x,x,x,x,x,x,x,x,pymop,3.1672675609588623,0.6009659767150879,2.2307238578796387,0.0,5.998957395553589,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8
quicktions,20260324_134010,ddb38184f383d2a2c622fd8866fc3f544f548a67,1679260301,Add arm64/x86_64 CFLAGS+LDFLAGS on macOS wheel builds.,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,9.60567855834961,0.509397029876709,6.745889902114868,0.0,16.860965490341187,4.0,WrongTypeAddedAnalysis=4,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1318.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=943<>UnsafeDictIterator=326<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,495998.0,BuiltinAllAnalysis=violation=80447<>ComparisonBehaviorAnalysis=ne_end=334<>ComparisonBehaviorAnalysis=eq_end=1000<>InPlaceSortAnalysis=list_used=3559<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1322<>NonFinitesAnalysis=non_finite_op=80337<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1667<>StringStripAnalysis=strip=31<>WrongTypeAddedAnalysis=check_append=80418<>WrongTypeAddedAnalysis=check_insert=80418<>WrongTypeAddedAnalysis=check_extend=80418<>WrongTypeAddedAnalysis=check_add=80418<>WrongTypeAddedAnalysis=check_add_assign=1667<>UnsafeListIterator=createList=1686<>UnsafeDictIterator=createDict=332<>UnsafeDictIterator=updateDict=1894<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
quicktions,20260324_134010,ddb38184f383d2a2c622fd8866fc3f544f548a67,1679260301,Add arm64/x86_64 CFLAGS+LDFLAGS on macOS wheel builds.,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
quicktions,20260324_134010,3bb0d0d85ff1bfd13bc7c9d833599df97c13ab1e,1679260567,"Always try to build with Cython, unless it's not installed at build time.",True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.44562363624572754,0.0,0.44562363624572754,,,,,,,,,,
quicktions,20260324_134010,3bb0d0d85ff1bfd13bc7c9d833599df97c13ab1e,1679260567,"Always try to build with Cython, unless it's not installed at build time.",True,pymop,x,x,x,x,x,x,x,x,pymop,2.937925100326538,0.6173660755157471,2.2472734451293945,0.0,5.80256462097168,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8
