project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
signwriting,20260324_134034,517e9e327bb2003d740da4ee574817e7b06b3cd1,1703935370,lint(visualizer): fix linting,False,original,11,2,0,0,0,0,1.48,87.86,original,0.0,0.0,1.8791842460632324,0.0,1.8791842460632324,,,,,,,,,,
signwriting,20260324_134034,517e9e327bb2003d740da4ee574817e7b06b3cd1,1703935370,lint(visualizer): fix linting,False,pymop,11,2,0,0,0,0,1.52,87.86,pymop,2.8193767070770264,0.7660279273986816,3.466517448425293,0.0,7.051922082901001,0.0,,0.0,,,,344.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=24<>UnsafeDictIterator=189<>UnsafeListIterator=118,132886.0,BuiltinAllAnalysis=violation=14674<>ComparisonBehaviorAnalysis=eq_end=5<>InPlaceSortAnalysis=list_used=266<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5<>NonFinitesAnalysis=non_finite_op=14674<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=21952<>WrongTypeAddedAnalysis=check_append=14680<>WrongTypeAddedAnalysis=check_insert=14680<>WrongTypeAddedAnalysis=check_extend=14680<>WrongTypeAddedAnalysis=check_add=14680<>WrongTypeAddedAnalysis=check_add_assign=21952<>FileClosedAnalysis=open=13<>FileClosedAnalysis=close=12<>FileClosedAnalysis=end=11<>UnsafeDictIterator=createDict=248<>UnsafeDictIterator=updateDict=30<>UnsafeListIterator=createList=294<>UnsafeListIterator=updateList=28
signwriting,20260324_134034,517e9e327bb2003d740da4ee574817e7b06b3cd1,1703935370,lint(visualizer): fix linting,False,pymop_libs,11,2,0,0,0,0,10.03,87.86,pymop_libs,10.344104290008545,0.6703248023986816,16.39575743675232,0.0,27.410186529159546,3.0,WrongTypeAddedAnalysis=3,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},2531.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1620<>UnsafeDictIterator=856<>ArgParse_Parent=1<>FileClosedAnalysis=18<>faulthandler_disableBeforeClose=1,1213931.0,BuiltinAllAnalysis=violation=189441<>ComparisonBehaviorAnalysis=ne_end=542<>ComparisonBehaviorAnalysis=eq_end=2448<>InPlaceSortAnalysis=list_used=8279<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2980<>NonFinitesAnalysis=non_finite_op=189342<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=26570<>StringStripAnalysis=strip=71<>WrongTypeAddedAnalysis=check_append=189856<>WrongTypeAddedAnalysis=check_insert=189856<>WrongTypeAddedAnalysis=check_extend=189856<>WrongTypeAddedAnalysis=check_add=189856<>WrongTypeAddedAnalysis=check_add_assign=26570<>UnsafeListIterator=createList=4479<>UnsafeListIterator=updateList=28<>UnsafeDictIterator=createDict=953<>UnsafeDictIterator=updateDict=2743<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
signwriting,20260324_134034,517e9e327bb2003d740da4ee574817e7b06b3cd1,1703935370,lint(visualizer): fix linting,False,dylin,x,x,x,x,x,x,x,87.86,dylin,x,0.0,x,x,x,,,,,,,,,,
signwriting,20260324_134034,a6c3b66ffb846976f0d493f0d23bfc39444eba39,1704460631,fix(visualize): use absolute path for font,False,original,13,0,0,0,0,0,0.46,91.75,original,0.0,0.0,0.8645069599151611,0.0,0.8645069599151611,,,,,,,,,,
signwriting,20260324_134034,a6c3b66ffb846976f0d493f0d23bfc39444eba39,1704460631,fix(visualize): use absolute path for font,False,pymop,13,0,0,0,0,0,1.35,91.75,pymop,2.708606243133545,0.7506349086761475,3.3341240882873535,0.0,6.793365240097046,0.0,,0.0,,,,349.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=28<>UnsafeDictIterator=191<>UnsafeListIterator=117,133707.0,BuiltinAllAnalysis=violation=14804<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=list_used=272<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=14804<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=21972<>WrongTypeAddedAnalysis=check_append=14804<>WrongTypeAddedAnalysis=check_insert=14804<>WrongTypeAddedAnalysis=check_extend=14804<>WrongTypeAddedAnalysis=check_add=14804<>WrongTypeAddedAnalysis=check_add_assign=21972<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>UnsafeDictIterator=createDict=256<>UnsafeDictIterator=updateDict=30<>UnsafeListIterator=createList=295<>UnsafeListIterator=updateList=28
signwriting,20260324_134034,a6c3b66ffb846976f0d493f0d23bfc39444eba39,1704460631,fix(visualize): use absolute path for font,False,pymop_libs,13,0,0,0,0,0,4.76,91.75,pymop_libs,11.163531303405762,0.7464032173156738,11.408006191253662,0.0,23.317940711975098,9.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=8,3.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815={'signwriting/visualizer/test_visualize.py::VisualizeCase::test_image_invalid_fsw', 'signwriting/visualizer/test_visualize.py::VisualizeCase::test_image_fsw'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818={'signwriting/visualizer/test_visualize.py::VisualizeCase::test_image_invalid_fsw', 'signwriting/visualizer/test_visualize.py::VisualizeCase::test_image_fsw'}",2481.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1537<>UnsafeDictIterator=885<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,486238.0,BuiltinAllAnalysis=violation=68760<>ComparisonBehaviorAnalysis=ne_end=504<>ComparisonBehaviorAnalysis=eq_end=2402<>InPlaceSortAnalysis=list_used=7922<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2896<>NonFinitesAnalysis=non_finite_op=68661<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=25041<>StringStripAnalysis=strip=39<>WrongTypeAddedAnalysis=check_append=69183<>WrongTypeAddedAnalysis=check_insert=69183<>WrongTypeAddedAnalysis=check_extend=69183<>WrongTypeAddedAnalysis=check_add=69183<>WrongTypeAddedAnalysis=check_add_assign=25041<>UnsafeListIterator=createList=4314<>UnsafeListIterator=updateList=28<>UnsafeDictIterator=createDict=998<>UnsafeDictIterator=updateDict=2833<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
signwriting,20260324_134034,a6c3b66ffb846976f0d493f0d23bfc39444eba39,1704460631,fix(visualize): use absolute path for font,False,dylin,x,x,x,x,x,x,x,91.75,dylin,x,0.0,x,x,x,,,,,,,,,,
signwriting,20260324_134034,1311c27d8257bb2d007119c1f953b2392003981c,1704462131,chore(): add pre commit hook,False,original,13,0,0,0,0,0,0.45,91.75,original,0.0,0.0,0.8480360507965088,0.0,0.8480360507965088,,,,,,,,,,
signwriting,20260324_134034,1311c27d8257bb2d007119c1f953b2392003981c,1704462131,chore(): add pre commit hook,False,pymop,13,0,0,0,0,0,1.34,91.75,pymop,2.709669351577759,0.7043375968933105,3.4435737133026123,0.0,6.857580661773682,0.0,,0.0,,,,348.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=28<>UnsafeDictIterator=191<>UnsafeListIterator=116,133707.0,BuiltinAllAnalysis=violation=14804<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=list_used=272<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=14804<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=21972<>WrongTypeAddedAnalysis=check_append=14804<>WrongTypeAddedAnalysis=check_insert=14804<>WrongTypeAddedAnalysis=check_extend=14804<>WrongTypeAddedAnalysis=check_add=14804<>WrongTypeAddedAnalysis=check_add_assign=21972<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>UnsafeDictIterator=createDict=256<>UnsafeDictIterator=updateDict=30<>UnsafeListIterator=createList=295<>UnsafeListIterator=updateList=28
