project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
zerochat,20260324_134009,4d674c1a0697393c3d9e5f27e9c71ec0edd9c291,1373836167,initial commit,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.33595752716064453,0.0,0.33595752716064453,,,,,,,,,,
zerochat,20260324_134009,4d674c1a0697393c3d9e5f27e9c71ec0edd9c291,1373836167,initial commit,True,pymop,x,x,x,x,x,x,x,x,pymop,2.2633705139160156,0.5535092353820801,1.7149791717529297,0.0,4.531858921051025,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
zerochat,20260324_134009,4d674c1a0697393c3d9e5f27e9c71ec0edd9c291,1373836167,initial commit,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,8.433042287826538,0.5629651546478271,4.790179014205933,0.0,13.786186456680298,2.0,WrongTypeAddedAnalysis=2,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1233.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=873<>UnsafeDictIterator=315<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,177512.0,BuiltinAllAnalysis=violation=27558<>ComparisonBehaviorAnalysis=ne_end=273<>ComparisonBehaviorAnalysis=eq_end=838<>InPlaceSortAnalysis=list_used=3125<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1101<>NonFinitesAnalysis=non_finite_op=27459<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1572<>WrongTypeAddedAnalysis=check_append=27553<>WrongTypeAddedAnalysis=check_insert=27553<>WrongTypeAddedAnalysis=check_extend=27553<>WrongTypeAddedAnalysis=check_add=27553<>WrongTypeAddedAnalysis=check_add_assign=1572<>UnsafeListIterator=createList=1567<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=1869<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
zerochat,20260324_134009,4d674c1a0697393c3d9e5f27e9c71ec0edd9c291,1373836167,initial commit,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
zerochat,20260324_134009,d7e2c0b69f63a819fd5bda8f8c21e9fe228e43ce,1373858883,added a verbose option to the server,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3654603958129883,0.0,0.3654603958129883,,,,,,,,,,
zerochat,20260324_134009,d7e2c0b69f63a819fd5bda8f8c21e9fe228e43ce,1373858883,added a verbose option to the server,True,pymop,x,x,x,x,x,x,x,x,pymop,2.27483868598938,0.6097538471221924,1.8958544731140137,0.0,4.780447006225586,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
zerochat,20260324_134009,d7e2c0b69f63a819fd5bda8f8c21e9fe228e43ce,1373858883,added a verbose option to the server,True,pymop_libs,x,x,x,x,x,x,x,x,pymop_libs,8.14195442199707,0.4952850341796875,4.833917140960693,0.0,13.471156597137451,2.0,WrongTypeAddedAnalysis=2,1.0,WrongTypeAddedAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851={None},1244.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=882<>UnsafeDictIterator=317<>ArgParse_Parent=1<>FileClosedAnalysis=8<>faulthandler_disableBeforeClose=1,177530.0,BuiltinAllAnalysis=violation=27567<>ComparisonBehaviorAnalysis=ne_end=273<>ComparisonBehaviorAnalysis=eq_end=838<>InPlaceSortAnalysis=list_used=3125<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1101<>NonFinitesAnalysis=non_finite_op=27468<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1572<>WrongTypeAddedAnalysis=check_append=27553<>WrongTypeAddedAnalysis=check_insert=27553<>WrongTypeAddedAnalysis=check_extend=27553<>WrongTypeAddedAnalysis=check_add=27553<>WrongTypeAddedAnalysis=check_add_assign=1572<>UnsafeListIterator=createList=1567<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=1869<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=5<>FileClosedAnalysis=close=4<>FileClosedAnalysis=end=3<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1
zerochat,20260324_134009,d7e2c0b69f63a819fd5bda8f8c21e9fe228e43ce,1373858883,added a verbose option to the server,True,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
zerochat,20260324_134009,0714eaa15473574c3c0cc5a972321e53802d08fc,1373858916,renamed chat_server to server,True,original,x,x,x,x,x,x,x,x,original,0.0,0.0,0.3719139099121094,0.0,0.3719139099121094,,,,,,,,,,
zerochat,20260324_134009,0714eaa15473574c3c0cc5a972321e53802d08fc,1373858916,renamed chat_server to server,True,pymop,x,x,x,x,x,x,x,x,pymop,2.2160420417785645,0.6276066303253174,1.709132432937622,0.0,4.552781105041504,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6
