timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260316_091738,44f40c3c24885ef84dc25a532e854e9861bd7041,,1712152099,add Queue-Times API Example,,,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,0,,
20260316_091738,ea9acf6265d5c0740367f267e482dad4a1498de8,44f40c3c24885ef84dc25a532e854e9861bd7041,1712800095,updating with most recent approved PR,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/44f40c3c24885ef84dc25a532e854e9861bd7041...ea9acf6265d5c0740367f267e482dad4a1498de8,13,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,e9ca5b2b651409db39c3ae439bd717526f17663e,ea9acf6265d5c0740367f267e482dad4a1498de8,1712800440,latest version of single public example,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/ea9acf6265d5c0740367f267e482dad4a1498de8...e9ca5b2b651409db39c3ae439bd717526f17663e,1,x,0,,0,,0,,0,,
20260316_091738,4f0c265c0cf643774f75cb2e7eb6bccb834ae02a,e9ca5b2b651409db39c3ae439bd717526f17663e,1712817424,split advanced and status codes into separate examples,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/e9ca5b2b651409db39c3ae439bd717526f17663e...4f0c265c0cf643774f75cb2e7eb6bccb834ae02a,9,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,0,,
20260316_091738,908077dee0cb6649d76048a298ed314b237a0214,4f0c265c0cf643774f75cb2e7eb6bccb834ae02a,1712841887,requested changes,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/4f0c265c0cf643774f75cb2e7eb6bccb834ae02a...908077dee0cb6649d76048a298ed314b237a0214,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,e341d972a8a865d20548e2918fff1141e9021862,908077dee0cb6649d76048a298ed314b237a0214,1712843405,updated docstring description,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/908077dee0cb6649d76048a298ed314b237a0214...e341d972a8a865d20548e2918fff1141e9021862,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,9b1917835c059618b52b93bce41b21512bde7050,e341d972a8a865d20548e2918fff1141e9021862,1713200343,changed to with statement and removed additional url,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/e341d972a8a865d20548e2918fff1141e9021862...9b1917835c059618b52b93bce41b21512bde7050,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,7cecdd55b1f6bc7eb1741afc291605ef2e06729c,9b1917835c059618b52b93bce41b21512bde7050,1713201373,added x emoji if response not ok,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/9b1917835c059618b52b93bce41b21512bde7050...7cecdd55b1f6bc7eb1741afc291605ef2e06729c,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,7e30fb634adbc05b75dc0a92d9aaa7a3b60bb038,7cecdd55b1f6bc7eb1741afc291605ef2e06729c,1713201569,change fetching json data to fetching URL,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/7cecdd55b1f6bc7eb1741afc291605ef2e06729c...7e30fb634adbc05b75dc0a92d9aaa7a3b60bb038,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260316_091738,5b86eb1f453954acb85922fbf244b57943be4839,7e30fb634adbc05b75dc0a92d9aaa7a3b60bb038,1713202049,change Rides to Ride and update main docstring,https://github.com/adafruit/Adafruit_CircuitPython_Requests/compare/7e30fb634adbc05b75dc0a92d9aaa7a3b60bb038...5b86eb1f453954acb85922fbf244b57943be4839,13,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
