timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134018,f8570c82e90d11a3325737d68d27db99563200ad,,1763007460,initial commit,,,x,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901,0,,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,0,,
20260324_134018,27cd11b421ba162bae09c4eca1608d9d20436243,f8570c82e90d11a3325737d68d27db99563200ad,1763761790,"11/21/20205: new functionality for git operations, new tests for new git_client features, some refactoring, updated changelog",https://github.com/bjornefisk/HelixCommit/compare/f8570c82e90d11a3325737d68d27db99563200ad...27cd11b421ba162bae09c4eca1608d9d20436243,6,x,0,,0,,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,00420099946f1a5c59395811df9e07f514cf44cd,27cd11b421ba162bae09c4eca1608d9d20436243,1763763543,"11-21-2025: autocommit, check if the repo is dirty, fetches the diff of current changes, uses promptengineering to generate a commit message, prompts user, stages changes on confirmation",https://github.com/bjornefisk/HelixCommit/compare/27cd11b421ba162bae09c4eca1608d9d20436243...00420099946f1a5c59395811df9e07f514cf44cd,6,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,75cfba376fefd0c571a66de18ae9f2bf69234e8e,00420099946f1a5c59395811df9e07f514cf44cd,1764022510,11/24/2025: began updating name to HelixCommit,https://github.com/bjornefisk/HelixCommit/compare/00420099946f1a5c59395811df9e07f514cf44cd...75cfba376fefd0c571a66de18ae9f2bf69234e8e,24,x,0,,0,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,bf62135cd4724c45d4101d948d6857415fab64be,75cfba376fefd0c571a66de18ae9f2bf69234e8e,1764027306,"new CLI command, new AI logic, and git client updates",https://github.com/bjornefisk/HelixCommit/compare/75cfba376fefd0c571a66de18ae9f2bf69234e8e...bf62135cd4724c45d4101d948d6857415fab64be,6,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,442d78f5058ca118756b03fa7617ae0c64e21b8e,bf62135cd4724c45d4101d948d6857415fab64be,1764033322,11-24-2025: update default OpenRouter model to llama-3.3-70b-instruct:free; fix example to llama-3.1-8b-instruct:free; add tests for generate-commit CLI,https://github.com/bjornefisk/HelixCommit/compare/bf62135cd4724c45d4101d948d6857415fab64be...442d78f5058ca118756b03fa7617ae0c64e21b8e,3,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,3609dec8e56d8eaf9a06c8e0367e39f50869aceb,442d78f5058ca118756b03fa7617ae0c64e21b8e,1764034172,"11-24-2025: Switch default LLM to Grok on OpenRouter, add OpenAI type hints via TYPE_CHECKING, robustify git diff/message decoding, simplify release date logic",https://github.com/bjornefisk/HelixCommit/compare/442d78f5058ca118756b03fa7617ae0c64e21b8e...3609dec8e56d8eaf9a06c8e0367e39f50869aceb,4,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,347961516bbc5651733ce7f47372bcd613bc9b47,3609dec8e56d8eaf9a06c8e0367e39f50869aceb,1764100722,"11-25-2025: Add GitLab support: platform detection, MR number extraction/enrichment, API client with caching/retries/rate limits, compare URLs, CLI option, and tests",https://github.com/bjornefisk/HelixCommit/compare/3609dec8e56d8eaf9a06c8e0367e39f50869aceb...347961516bbc5651733ce7f47372bcd613bc9b47,5,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,fe6fc35f8da9ca294c75594c66fbb59e9a8a423e,347961516bbc5651733ce7f47372bcd613bc9b47,1764101330,11-25-2025: Improve GitLab slug extraction regex and .git stripping; add tests for slug extraction (GitLab/GitHub) and PR/MR number extraction; minor import fixes,https://github.com/bjornefisk/HelixCommit/compare/347961516bbc5651733ce7f47372bcd613bc9b47...fe6fc35f8da9ca294c75594c66fbb59e9a8a423e,9,x,0,,0,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134018,2ffacc343bee8fbda8bf6ae5f029dde3496efcdf,fe6fc35f8da9ca294c75594c66fbb59e9a8a423e,1764102104,"11-25-2025: feat: add Bitbucket Cloud support with API client, PR detection, caching, retries, and tests",https://github.com/bjornefisk/HelixCommit/compare/fe6fc35f8da9ca294c75594c66fbb59e9a8a423e...2ffacc343bee8fbda8bf6ae5f029dde3496efcdf,6,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,9,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:316=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;Pydocs_MustFlushMmap:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;PyDocs_MustWaitForPopenToFinish:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
