timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134043,2b2f48a52cd71e167df6b7d3984d295dc273fd5b,,1548653034,add more compression scheme,,,x,2,ChangeListWhileIterating:/tests/test_proxy.py:43;ChangeListWhileIterating:/tests/test_proxy.py:66,0,,2,ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,0,,
20260324_134043,610b4c7064d49e096f1ff45a8558f413c60bd466,2b2f48a52cd71e167df6b7d3984d295dc273fd5b,1548653073,release,https://github.com/layertwo/aws-lambda-proxy/compare/2b2f48a52cd71e167df6b7d3984d295dc273fd5b...610b4c7064d49e096f1ff45a8558f413c60bd466,1,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,2,ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,
20260324_134043,877dfeb4fa2e18bcb2735d89b7300aabe6a9a2cc,610b4c7064d49e096f1ff45a8558f413c60bd466,1548686154,update variable names,https://github.com/layertwo/aws-lambda-proxy/compare/610b4c7064d49e096f1ff45a8558f413c60bd466...877dfeb4fa2e18bcb2735d89b7300aabe6a9a2cc,1,x,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,
20260324_134043,f28487d99e9932920e51e43b10c06fdf36e34876,877dfeb4fa2e18bcb2735d89b7300aabe6a9a2cc,1548710888,update,https://github.com/layertwo/aws-lambda-proxy/compare/877dfeb4fa2e18bcb2735d89b7300aabe6a9a2cc...f28487d99e9932920e51e43b10c06fdf36e34876,4,x,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:30=1;ChangeListWhileIterating:/tests/test_proxy.py:53=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:43=1;ChangeListWhileIterating:/tests/test_proxy.py:66=1,ChangeListWhileIterating:/tests/test_proxy.py:30<=ChangeListWhileIterating:/tests/test_proxy.py:43;ChangeListWhileIterating:/tests/test_proxy.py:53<=ChangeListWhileIterating:/tests/test_proxy.py:66
20260324_134043,a6b371865325995a3488907120131187c2e178a9,f28487d99e9932920e51e43b10c06fdf36e34876,1548728195,compress payload only if client allows it,https://github.com/layertwo/aws-lambda-proxy/compare/f28487d99e9932920e51e43b10c06fdf36e34876...a6b371865325995a3488907120131187c2e178a9,1,x,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:30=1;ChangeListWhileIterating:/tests/test_proxy.py:53=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:30=1;ChangeListWhileIterating:/tests/test_proxy.py:53=1,
20260324_134043,66eba4a848a4f082c760f62b79dde66db6524c37,a6b371865325995a3488907120131187c2e178a9,1548733186,update tests,https://github.com/layertwo/aws-lambda-proxy/compare/a6b371865325995a3488907120131187c2e178a9...66eba4a848a4f082c760f62b79dde66db6524c37,3,x,5,ChangeListWhileIterating:/tests/test_proxy.py:112;ChangeListWhileIterating:/tests/test_proxy.py:465;ChangeListWhileIterating:/tests/test_proxy.py:562;ChangeListWhileIterating:/tests/test_proxy.py:592;ChangeListWhileIterating:/tests/test_proxy.py:644,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:30=1;ChangeListWhileIterating:/tests/test_proxy.py:53=1,ChangeListWhileIterating:/tests/test_proxy.py:70<=ChangeListWhileIterating:/tests/test_proxy.py:30;ChangeListWhileIterating:/tests/test_proxy.py:93<=ChangeListWhileIterating:/tests/test_proxy.py:53
20260324_134043,a6d0ad446b337a567e480a526e83f948fffd0621,66eba4a848a4f082c760f62b79dde66db6524c37,1548789577,version bump,https://github.com/layertwo/aws-lambda-proxy/compare/66eba4a848a4f082c760f62b79dde66db6524c37...a6d0ad446b337a567e480a526e83f948fffd0621,1,x,0,,0,,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,
20260324_134043,fa3a0d534ebbe3a4955e5771743331a5ca4e25e3,a6d0ad446b337a567e480a526e83f948fffd0621,1548792760,add examples,https://github.com/layertwo/aws-lambda-proxy/compare/a6d0ad446b337a567e480a526e83f948fffd0621...fa3a0d534ebbe3a4955e5771743331a5ca4e25e3,3,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,
20260324_134043,fd2bf873867cfd94db664a331476f074034a02c0,fa3a0d534ebbe3a4955e5771743331a5ca4e25e3,1548792805,fix url,https://github.com/layertwo/aws-lambda-proxy/compare/fa3a0d534ebbe3a4955e5771743331a5ca4e25e3...fd2bf873867cfd94db664a331476f074034a02c0,1,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,
20260324_134043,7829b95a7a9fa8ebf2887c2ae6c51cb637c7d048,fd2bf873867cfd94db664a331476f074034a02c0,1549174755,fix None QueryString,https://github.com/layertwo/aws-lambda-proxy/compare/fd2bf873867cfd94db664a331476f074034a02c0...7829b95a7a9fa8ebf2887c2ae6c51cb637c7d048,3,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:519=1;ChangeListWhileIterating:/tests/test_proxy.py:616=1;ChangeListWhileIterating:/tests/test_proxy.py:646=1;ChangeListWhileIterating:/tests/test_proxy.py:698=1,7,ChangeListWhileIterating:/tests/test_proxy.py:70=1;ChangeListWhileIterating:/tests/test_proxy.py:93=1;ChangeListWhileIterating:/tests/test_proxy.py:112=1;ChangeListWhileIterating:/tests/test_proxy.py:465=1;ChangeListWhileIterating:/tests/test_proxy.py:562=1;ChangeListWhileIterating:/tests/test_proxy.py:592=1;ChangeListWhileIterating:/tests/test_proxy.py:644=1,ChangeListWhileIterating:/tests/test_proxy.py:70<=ChangeListWhileIterating:/tests/test_proxy.py:70;ChangeListWhileIterating:/tests/test_proxy.py:93<=ChangeListWhileIterating:/tests/test_proxy.py:93;ChangeListWhileIterating:/tests/test_proxy.py:112<=ChangeListWhileIterating:/tests/test_proxy.py:112;ChangeListWhileIterating:/tests/test_proxy.py:519<=ChangeListWhileIterating:/tests/test_proxy.py:465;ChangeListWhileIterating:/tests/test_proxy.py:616<=ChangeListWhileIterating:/tests/test_proxy.py:562;ChangeListWhileIterating:/tests/test_proxy.py:646<=ChangeListWhileIterating:/tests/test_proxy.py:592;ChangeListWhileIterating:/tests/test_proxy.py:698<=ChangeListWhileIterating:/tests/test_proxy.py:644
