timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134050,55bf944135b542ea889a9adeee90931ba6c677c5,,1585769837,PD-6144 Add 'credentials' field for KongConsumer,,,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,0,,
20260324_134050,d64c87777340d8ef11dcdff6dea63a4ab0380ace,55bf944135b542ea889a9adeee90931ba6c677c5,1586803373,Support for DNSEndpoint CRD,https://github.com/ApplauseOSS/deploy-config-generator/compare/55bf944135b542ea889a9adeee90931ba6c677c5...d64c87777340d8ef11dcdff6dea63a4ab0380ace,2,x,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,3449e138cb594ff47c5400812f73914a8eefb49b,d64c87777340d8ef11dcdff6dea63a4ab0380ace,1587730899,Move kong ingress upstream slots to correct place,https://github.com/ApplauseOSS/deploy-config-generator/compare/d64c87777340d8ef11dcdff6dea63a4ab0380ace...3449e138cb594ff47c5400812f73914a8eefb49b,2,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,2ddd6b14426697b7fb64f88872e0e6dcb5c3e387,3449e138cb594ff47c5400812f73914a8eefb49b,1587931816,Add route.path_handling field to kube_kong_ingress plugin,https://github.com/ApplauseOSS/deploy-config-generator/compare/3449e138cb594ff47c5400812f73914a8eefb49b...2ddd6b14426697b7fb64f88872e0e6dcb5c3e387,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,f643d3424b248eff265b4cdb68179869e7b299e6,2ddd6b14426697b7fb64f88872e0e6dcb5c3e387,1588790570,Error on missing nested required fields,https://github.com/ApplauseOSS/deploy-config-generator/compare/2ddd6b14426697b7fb64f88872e0e6dcb5c3e387...f643d3424b248eff265b4cdb68179869e7b299e6,3,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,c5da5f0c731a7fb2cfee0ecfb7245da45c170456,f643d3424b248eff265b4cdb68179869e7b299e6,1589288937,Make sure all plugins have the 'enabled' config option,https://github.com/ApplauseOSS/deploy-config-generator/compare/f643d3424b248eff265b4cdb68179869e7b299e6...c5da5f0c731a7fb2cfee0ecfb7245da45c170456,2,x,0,,0,,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,a99c2bd393619371a50e4946899e99363f2ccc6a,c5da5f0c731a7fb2cfee0ecfb7245da45c170456,1589984650,Check for OMIT_TOKEN after rendering template,https://github.com/ApplauseOSS/deploy-config-generator/compare/c5da5f0c731a7fb2cfee0ecfb7245da45c170456...a99c2bd393619371a50e4946899e99363f2ccc6a,2,x,0,,0,,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,9f22b8496fe1e7fcf0183b3d1d1c6006de6041c2,a99c2bd393619371a50e4946899e99363f2ccc6a,1592904283,Kubernetes PDB output plugin,https://github.com/ApplauseOSS/deploy-config-generator/compare/a99c2bd393619371a50e4946899e99363f2ccc6a...9f22b8496fe1e7fcf0183b3d1d1c6006de6041c2,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,1,WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,ae77459305c72a95ad64d5cb6b49f1ee063f5364,9f22b8496fe1e7fcf0183b3d1d1c6006de6041c2,1592919908,Support more complex merging of defaults,https://github.com/ApplauseOSS/deploy-config-generator/compare/9f22b8496fe1e7fcf0183b3d1d1c6006de6041c2...ae77459305c72a95ad64d5cb6b49f1ee063f5364,2,x,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
20260324_134050,88c0a609c157542dc4b8b72d6d2457058f037d64,ae77459305c72a95ad64d5cb6b49f1ee063f5364,1592939820,Add 'https_redirect_status_code' field for kongingress route,https://github.com/ApplauseOSS/deploy-config-generator/compare/ae77459305c72a95ad64d5cb6b49f1ee063f5364...88c0a609c157542dc4b8b72d6d2457058f037d64,2,x,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/deploy_config_generator/vars.py:190=1,
