timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134037,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,,1748216848,#1: Refactor test scripts to use run_script helper and improve cross-platform support,,,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,0,,
20260324_134037,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,94b0ae50585842e16681fd8ba9bbf7bdaf9c996a,1748217054,"#1: Remove implementations from branch, pull, and push scripts; update tests",https://github.com/yegor256/gitted/compare/94b0ae50585842e16681fd8ba9bbf7bdaf9c996a...064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1,x,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33<=Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33
20260324_134037,062796ed3f6822f67e646ad43b6ae5f3bbe29b4a,064ef6302854e95b4dc1aa6d938b89ba50afe4d1,1748242216,#5: Refactor workflows and remove unused license check workflow,https://github.com/yegor256/gitted/compare/064ef6302854e95b4dc1aa6d938b89ba50afe4d1...062796ed3f6822f67e646ad43b6ae5f3bbe29b4a,1,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35<=Pydocs_NoReadAfterAccess:/tests/test_scripts.py:33
20260324_134037,b8e54ebaaf8aae0c0a89846e64b9315f9205e69b,062796ed3f6822f67e646ad43b6ae5f3bbe29b4a,1748242360,#5: Add requirements.txt and update REUSE.toml; fix script formatting issues,https://github.com/yegor256/gitted/compare/062796ed3f6822f67e646ad43b6ae5f3bbe29b4a...b8e54ebaaf8aae0c0a89846e64b9315f9205e69b,1,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36<=Pydocs_NoReadAfterAccess:/tests/test_scripts.py:35
20260324_134037,73d49ac6de16b985e917e31d5ce98c124eb3cd46,b8e54ebaaf8aae0c0a89846e64b9315f9205e69b,1748531790,#5: Replace shebang in scripts from /usr/bin/env bash to /bin/bash,https://github.com/yegor256/gitted/compare/b8e54ebaaf8aae0c0a89846e64b9315f9205e69b...73d49ac6de16b985e917e31d5ce98c124eb3cd46,1,x,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36<=Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36
20260324_134037,59f8fcdb7b18ef1650b07ba6ac937d8ef74c6ca2,73d49ac6de16b985e917e31d5ce98c124eb3cd46,1748541901,#10 rename,https://github.com/yegor256/gitted/compare/73d49ac6de16b985e917e31d5ce98c124eb3cd46...59f8fcdb7b18ef1650b07ba6ac937d8ef74c6ca2,1,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,
20260324_134037,47112e3e7af40a5f022c87c7dfca345ae8c5201d,59f8fcdb7b18ef1650b07ba6ac937d8ef74c6ca2,1748589976,#10 polished,https://github.com/yegor256/gitted/compare/59f8fcdb7b18ef1650b07ba6ac937d8ef74c6ca2...47112e3e7af40a5f022c87c7dfca345ae8c5201d,3,100.0,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,
20260324_134037,cad1aee037b189c0b22b0d13e870ff38b6da2237,47112e3e7af40a5f022c87c7dfca345ae8c5201d,1748590809,#10 tests fixed,https://github.com/yegor256/gitted/compare/47112e3e7af40a5f022c87c7dfca345ae8c5201d...cad1aee037b189c0b22b0d13e870ff38b6da2237,2,100.0,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,
20260324_134037,834d89c4d636318eb4e9d0a6558509198c2cf479,cad1aee037b189c0b22b0d13e870ff38b6da2237,1748591288,#10 unused import,https://github.com/yegor256/gitted/compare/cad1aee037b189c0b22b0d13e870ff38b6da2237...834d89c4d636318eb4e9d0a6558509198c2cf479,1,100.0,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,
20260324_134037,3660ddd6d66dea688cef27f9826d10db42f5d0b3,834d89c4d636318eb4e9d0a6558509198c2cf479,1752835936,#35: add tests for functions,https://github.com/yegor256/gitted/compare/834d89c4d636318eb4e9d0a6558509198c2cf479...3660ddd6d66dea688cef27f9826d10db42f5d0b3,3,97.61999999999999,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:40=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:348=1;Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36=1,Pydocs_NoReadAfterAccess:/tests/test_scripts.py:40<=Pydocs_NoReadAfterAccess:/tests/test_scripts.py:36
